Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Gunnedah (A)",70,10,13,22,38,70,114,114,158,109,132,65,114,36,24,71,68,25,17,77,4152,5510,
"Gwydir (A)",49,0,7,20,28,45,46,42,33,23,21,12,17,0,0,11,12,10,17,40,2176,2605,
"Hawkesbury (C)",226,59,59,125,122,231,317,437,476,515,714,598,1093,471,370,862,1127,416,267,443,15170,24098,
"Hay (A)",15,0,3,15,16,32,37,27,28,21,10,10,10,4,0,3,3,4,0,15,1338,1574,
"Hilltops (A)",109,12,33,84,79,167,235,213,225,168,168,75,127,44,28,46,48,15,25,130,6917,8939,
"Hornsby (A)",704,175,175,314,255,371,508,705,733,820,869,665,1809,746,980,1675,3577,1655,1203,723,32846,51505,
"Hunters Hill (A)",73,11,11,15,16,24,30,55,37,35,42,29,100,30,49,57,209,199,362,82,3786,5262,
"Inner West (A)",678,176,153,255,228,378,496,703,790,779,892,696,1727,665,805,1516,3668,2147,2242,693,60936,80616,
"Inverell (A)",62,12,27,63,66,175,187,226,199,137,139,87,106,30,26,42,49,12,18,93,5535,7284,
"Junee (A)",36,4,4,14,22,46,82,89,83,36,51,32,43,8,7,19,20,5,7,34,1701,2342,
"Kempsey (A)",83,32,50,136,106,192,300,307,368,286,245,133,172,71,31,94,69,41,30,158,10739,13640,
"Kiama (A)",82,32,31,57,35,74,95,115,151,128,151,153,267,120,101,236,312,105,60,107,7542,9962,
"Ku-ring-gai (A)",775,140,105,163,147,203,251,455,353,430,394,320,1157,339,533,748,2489,1964,2903,672,27968,42512,
"Kyogle (A)",36,6,31,55,61,100,97,95,100,70,71,38,45,21,15,23,31,13,11,61,3537,4514,
"Lachlan (A)",45,0,15,22,28,53,84,58,46,19,29,16,14,10,4,6,16,3,7,30,2407,2917,
"Lake Macquarie (C)",701,229,289,602,489,877,1249,1549,2125,2134,2781,2023,3341,1323,796,2032,1856,538,340,997,56337,82595,
"Lane Cove (A)",186,40,25,45,40,52,86,128,148,154,188,151,402,152,213,319,724,463,714,208,11129,15569,
"Leeton (A)",41,9,13,34,44,90,123,142,163,107,105,43,86,29,5,40,33,15,14,66,3566,4764,
"Lismore (C)",156,51,85,170,137,320,369,426,607,524,544,331,400,140,79,221,195,56,60,221,14009,19100,
"Lithgow (C)",55,15,33,80,62,136,202,234,276,200,213,114,191,69,32,122,107,27,23,117,7397,9714,
"Liverpool (C)",667,147,147,327,302,457,739,1097,1332,1385,1843,1395,2978,1269,1134,2526,3255,883,553,1139,42359,65923,
"Liverpool Plains (A)",46,0,12,25,44,63,81,87,60,69,55,34,41,18,4,14,17,4,22,41,2987,3717,
"Lockhart (A)",32,5,9,13,18,35,49,42,42,12,15,9,13,4,3,9,10,5,5,26,1074,1423,
"Maitland (C)",215,69,89,207,162,335,521,634,987,947,1217,860,1342,536,301,783,640,193,88,371,20131,30635,
"Mid-Coast (A)",310,98,149,343,285,577,762,813,1073,826,802,535,665,232,125,342,333,108,72,424,38672,47544,
"Mid-Western Regional (A)",70,11,27,98,76,128,159,192,224,211,278,218,266,113,76,179,162,63,43,113,8824,11531,
"Moree Plains (A)",67,4,3,32,38,73,112,137,128,98,89,43,72,19,14,33,40,24,16,84,5078,6191,
"Mosman (A)",176,30,15,50,32,30,63,104,91,78,75,52,227,56,83,107,382,304,813,166,10301,13245,
"Murray River (A)",75,16,17,52,48,88,117,115,118,77,115,60,120,35,18,42,41,17,15,89,4638,5907,
"Murrumbidgee (A)",34,4,7,18,20,37,47,38,30,25,20,6,4,3,0,0,3,5,5,28,1566,1903,
"Muswellbrook (A)",32,3,10,31,31,64,98,139,198,156,214,132,189,76,55,113,127,30,16,100,5487,7293,
"Nambucca (A)",44,19,34,85,90,148,178,185,228,178,141,90,132,34,18,75,50,12,9,95,7659,9518,
"Narrabri (A)",66,7,12,47,36,77,109,113,151,119,135,71,106,42,21,49,48,15,21,91,4675,6008,
"Narrandera (A)",31,8,13,29,36,74,95,69,71,41,33,7,24,6,4,16,12,11,4,39,2187,2805,
"Narromine (A)",55,5,9,34,25,56,75,83,64,56,42,25,31,7,9,19,19,11,15,38,2213,2878,
"Newcastle (C)",501,179,191,379,378,610,872,1128,1507,1539,1895,1401,2240,886,624,1435,1467,534,388,693,50169,69019,
"North Sydney (A)",322,71,43,72,74,90,167,248,209,261,242,201,567,220,278,471,1121,656,980,252,30306,36849,
"Northern Beaches (A)",1036,258,233,388,372,496,639,994,1088,1047,1248,963,2461,985,1277,2346,6033,3930,4071,1473,70293,101626,
"Oberon (A)",21,0,4,17,18,30,47,58,83,56,55,28,50,13,16,34,25,12,14,28,2007,2612,
"Orange (C)",102,22,35,93,80,221,313,352,520,487,564,353,493,201,110,284,270,77,55,168,12656,17453,
"Parkes (A)",60,12,24,48,52,115,135,195,201,148,125,69,107,28,23,56,45,19,10,78,5227,6780,
"Parramatta (C)",919,252,190,338,318,490,675,960,1225,1265,1434,1167,2808,1084,1191,2057,3615,1419,968,899,62448,85723,
"Penrith (C)",555,147,179,397,350,618,913,1258,1601,1715,2409,2059,3404,1552,1162,2775,2669,660,450,1121,45107,71111,
"Port Macquarie-Hastings (A)",261,66,108,207,183,304,489,575,719,764,880,680,887,346,221,497,451,137,95,352,28472,36686,
"Port Stephens (A)",202,64,93,190,176,317,413,530,734,741,792,543,899,381,208,535,559,164,101,365,25136,33142,
"Queanbeyan-Palerang Regional (A)",167,56,64,128,117,207,311,407,467,492,642,493,900,441,291,825,1205,392,254,329,15832,24037,
"Randwick (C)",524,102,96,144,135,182,300,411,416,404,446,343,962,343,470,848,2042,1316,1646,593,46988,58707,
"Richmond Valley (A)",61,19,44,110,80,162,219,293,333,198,240,127,141,63,34,86,70,22,14,118,7891,10319,
"Rockdale (C)",408,89,99,183,128,238,322,459,566,563,699,519,1341,472,500,1005,1657,720,490,567,32296,43315,
"Ryde (C)",574,133,105,195,188,237,391,505,546,528,557,476,1314,432,533,937,1944,1107,930,561,34066,46242,
"Shellharbour (C)",193,62,89,177,139,274,370,477,644,654,832,688,1109,506,253,747,687,196,88,333,17932,26456,
"Shoalhaven (C)",351,117,195,291,284,501,692,870,1047,974,1063,638,975,350,208,527,484,173,118,501,44145,54518,
"Singleton (A)",69,21,20,33,31,77,114,164,243,233,282,221,371,147,102,287,294,87,34,129,6394,9355,
"Snowy Monaro Regional (A)",72,16,25,79,79,174,235,260,249,182,164,97,198,68,40,117,111,34,35,131,9695,12077,
"Snowy Valleys (A)",58,9,19,45,39,127,160,183,180,141,141,90,105,37,22,57,56,17,11,89,5386,6969,
"Strathfield (A)",179,35,26,41,49,52,102,172,160,175,195,164,441,141,157,248,438,265,379,167,10892,14472,
"Sutherland Shire (A)",830,238,232,432,350,545,804,1139,1259,1215,1537,1178,2856,1288,1197,3021,5869,2517,1838,1293,54895,84526,
"Sydney (C)",740,125,120,187,155,264,393,601,674,768,863,702,1768,684,858,1419,3085,1542,1662,570,92847,110036,
"Tamworth Regional (A)",183,29,77,174,172,349,514,650,815,689,729,437,611,199,134,318,258,79,68,297,19346,26131,
"Temora (A)",42,5,11,39,27,55,67,67,82,53,40,13,42,6,3,22,13,6,3,33,2205,2825,
"Tenterfield (A)",37,10,12,51,33,57,71,74,54,50,38,22,38,3,0,17,8,5,4,28,3087,3713,
"The Hills Shire (A)",765,188,171,276,242,369,508,791,836,796,927,737,2149,819,1011,1946,4524,2195,1643,1022,29920,51834,
"Tweed (A)",314,97,129,270,203,414,537,615,860,781,936,702,1105,437,311,779,722,213,144,483,32752,42793,
"Upper Hunter Shire (A)",55,7,19,38,43,74,109,135,135,135,150,93,167,64,35,118,127,41,29,80,4899,6548,
"Upper Lachlan Shire (A)",34,8,9,32,32,59,73,83,93,70,81,40,68,35,20,54,46,14,18,48,3394,4311,
"Uralla (A)",24,5,12,29,36,52,65,78,74,78,63,49,70,19,10,27,31,8,5,40,1979,2739,
"Wagga Wagga (C)",206,43,61,146,131,292,515,689,916,847,900,514,703,220,141,330,346,121,65,310,18679,26183,
"Walcha (A)",31,4,6,9,13,18,19,31,15,12,14,3,15,8,0,10,15,0,5,23,1354,1603,
"Walgett (A)",62,4,6,18,20,38,29,27,20,16,14,4,8,0,0,0,5,0,5,28,3410,3715,
"Warren (A)",28,3,3,11,13,32,37,25,15,13,10,13,9,0,0,0,10,0,8,10,1103,1335,
"Warrumbungle Shire (A)",69,3,31,53,57,91,95,90,76,45,45,18,24,11,8,17,19,5,9,64,3971,4791,
"Waverley (A)",301,54,46,70,58,93,116,191,179,171,182,148,449,146,202,339,984,711,1292,324,25498,31561,
"Weddin (A)",31,3,11,34,18,36,44,40,18,23,19,9,22,0,0,7,6,7,4,28,1511,1872,
"Wentworth (A)",34,0,9,25,23,76,115,74,84,62,63,30,45,15,10,17,18,10,17,53,2524,3295,
"Western Plains Regional (A)",142,23,48,148,133,290,467,571,768,600,667,397,524,177,116,236,227,73,42,277,15250,21194,
"Willoughby (C)",463,88,62,108,95,120,153,245,205,242,213,152,599,176,292,387,1264,849,1403,337,22586,30015,
"Wingecarribee (A)",204,61,54,131,101,182,257,301,425,438,522,444,635,278,192,447,525,217,190,284,15800,21681,
"Wollondilly (A)",142,50,45,115,101,167,265,303,423,444,587,476,901,391,325,854,1102,357,185,382,9190,16780,
"Wollongong (C)",563,203,199,473,340,720,978,1175,1594,1594,2071,1549,2758,1263,799,2187,2563,767,477,830,60945,84057,
"Woollahra (A)",352,38,31,58,41,52,73,121,116,127,111,91,332,120,158,230,737,581,1406,313,21197,26285,
"Yass Valley (A)",65,31,29,45,37,52,115,131,151,158,198,152,254,104,72,237,362,103,77,91,4056,6525,
"Unincorporated NSW",14,0,0,0,4,4,0,6,3,0,0,0,10,0,0,0,8,5,4,7,545,613,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,
"Total",28354,6869,8097,16521,14570,25924,36726,46620,57016,54395,64214,46469,89566,35675,30695,65354,98772,42058,39072,37417,2222609,3066981,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
