Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"McKinlay (S)",8,0,0,5,3,3,0,4,0,5,0,4,3,0,0,0,3,0,0,10,477,521,
"Mapoon (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,117,
"Maranoa (R)",119,7,11,30,32,56,108,110,106,83,111,66,91,27,32,54,73,21,25,100,5285,6573,
"Mareeba (S)",61,14,23,59,48,105,145,193,226,188,206,117,204,77,47,94,110,39,23,109,7557,9661,
"Moreton Bay (R)",1268,529,614,1116,968,1751,2437,3162,4344,4771,6062,4701,6807,3218,2035,4128,4009,1151,623,2229,111064,166978,
"Mornington (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,332,
"Mount Isa (C)",49,9,3,24,29,37,88,112,126,177,228,191,314,126,74,155,123,53,29,87,6561,8602,
"Murweh (S)",43,4,9,29,21,51,52,54,34,29,19,13,18,8,4,6,9,0,8,31,1868,2316,
"Napranum (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,274,
"Noosa (S)",234,73,88,179,147,255,333,417,537,474,586,404,671,267,211,436,483,168,123,331,20509,26926,
"North Burnett (R)",60,7,21,53,54,99,110,106,82,63,45,24,57,20,9,17,30,9,23,62,4714,5668,
"Northern Peninsula Area (R)",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,991,
