Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Maribyrnong (C)",329,83,93,182,141,253,350,528,597,702,663,518,1082,407,454,824,1247,415,238,345,26286,35738,
"Maroondah (C)",422,150,208,386,322,545,724,1010,1203,1293,1450,1094,1919,889,714,1262,1404,365,221,692,28230,44501,
"Melbourne (C)",572,78,66,137,105,206,313,503,612,675,666,533,1114,422,537,615,1067,472,520,342,66260,75805,
"Melton (C)",491,141,203,399,348,655,1052,1569,2217,2157,2447,1710,2697,1022,696,1268,1230,400,224,1016,24767,46705,
"Mildura (RC)",155,53,99,231,213,537,786,939,905,601,549,243,368,103,72,128,132,41,37,306,17594,24104,
"Mitchell (S)",128,52,73,135,125,258,388,518,647,674,717,467,645,227,128,329,276,92,61,351,10037,16324,
"Moira (S)",142,16,43,139,125,233,391,391,430,286,283,138,193,50,39,83,82,54,39,203,10431,13794,
"Monash (C)",951,236,208,385,376,479,654,953,995,1095,1067,822,2022,697,915,1251,2561,990,780,762,52421,70623,
"Moonee Valley (C)",500,138,118,246,213,326,445,638,728,723,801,592,1313,474,596,970,1829,753,645,654,37463,50167,
"Moorabool (S)",107,41,67,128,108,207,327,395,563,503,596,388,504,156,131,243,248,60,26,251,8079,13123,
"Moreland (C)",532,181,147,351,292,483,725,1064,1136,1194,1446,1125,2087,826,812,1416,1997,721,387,762,53027,70711,
"Mornington Peninsula (S)",677,186,233,515,456,770,1027,1286,1717,1586,1791,1355,2296,828,701,1368,1742,584,427,1079,68473,89110,
"Mount Alexander (S)",82,27,69,113,95,188,233,279,303,216,236,131,162,54,33,71,75,22,12,117,6776,9307,
"Moyne (S)",126,20,34,74,65,132,160,208,215,158,154,114,136,59,33,82,79,32,35,124,6040,8072,
"Murrindindi (S)",55,13,31,61,72,102,156,192,214,176,176,107,147,63,25,68,97,32,18,111,5642,7560,
"Nillumbik (S)",269,106,128,215,166,270,406,515,565,621,644,497,1159,449,467,859,1262,412,288,449,11990,21755,
"Northern Grampians (S)",41,14,35,90,85,189,211,167,130,90,74,29,38,7,11,23,17,8,7,75,4792,6116,
"Port Phillip (C)",401,110,78,161,149,202,336,458,545,569,632,508,1090,397,486,679,1393,837,1043,449,47337,57869,
"Pyrenees (S)",34,3,21,45,49,97,104,108,90,65,58,22,25,6,12,8,12,5,3,63,2744,3579,
"Queenscliffe (B)",3,0,6,5,0,11,20,18,19,13,18,9,19,6,5,11,22,13,6,13,2575,2807,
"South Gippsland (S)",148,34,76,159,125,253,343,366,412,332,295,186,246,107,66,116,138,35,49,205,12219,15911,
"Southern Grampians (S)",109,16,37,103,98,224,219,226,210,140,96,52,72,25,15,38,47,23,18,104,6144,8003,
"Stonnington (C)",562,87,82,142,121,184,270,430,448,491,465,366,949,310,375,518,1238,883,1453,519,44276,54176,
"Strathbogie (S)",43,8,25,58,60,115,127,136,144,97,89,48,57,19,17,26,35,17,9,72,4479,5681,
"Surf Coast (S)",112,38,44,91,79,109,197,238,295,242,307,220,444,178,147,313,385,117,87,191,14425,18264,
"Swan Hill (RC)",71,23,33,95,73,211,296,273,240,182,167,67,140,35,18,34,48,26,17,129,7029,9204,
"Towong (S)",31,0,9,46,29,79,90,99,54,39,45,24,29,11,11,13,26,3,12,45,2403,3114,
"Wangaratta (RC)",89,33,54,129,101,231,354,429,489,366,334,179,234,77,49,109,107,35,18,167,9481,13073,
"Warrnambool (C)",103,29,59,118,88,189,294,414,507,459,460,287,318,101,46,156,116,40,34,154,11212,15183,
"Wellington (S)",185,43,107,227,209,397,577,632,627,532,455,244,345,95,69,170,172,50,59,251,16797,22242,
"West Wimmera (S)",44,0,15,43,37,62,43,16,20,10,10,7,4,0,4,3,7,5,13,27,1859,2238,
"Whitehorse (C)",904,242,229,437,380,531,750,1043,1021,1151,1049,853,2052,783,915,1337,2636,987,710,750,47133,65881,
"Whittlesea (C)",652,183,267,471,451,761,1075,1594,2131,2622,3141,2583,3916,1532,1065,1717,1650,483,362,1247,43134,71013,
"Wodonga (C)",101,42,48,118,113,246,370,514,695,565,598,326,394,112,69,172,152,56,23,198,11601,16517,
"Wyndham (C)",780,201,232,466,471,824,1354,2040,3077,3485,3894,2929,4129,1600,1214,1766,1797,526,403,1350,42762,75310,
"Yarra (C)",354,98,61,132,133,171,231,363,371,406,441,349,833,331,417,601,1277,652,600,310,35892,44033,
"Yarra Ranges (S)",576,269,310,574,578,889,1336,1657,2210,2122,2431,1918,2909,1313,923,1605,1564,460,262,1208,33861,58971,
"Yarriambiack (S)",44,5,35,88,61,115,66,62,47,14,12,5,13,6,0,3,4,4,8,46,2912,3565,
"Unincorporated Vic",3,0,3,3,0,3,4,0,0,4,0,9,6,0,0,0,12,0,8,3,1445,1507,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,
"Total",24198,6949,8745,17892,16139,28836,40537,53177,63926,62793,66745,47396,79046,29520,25289,42477,58575,22756,20448,34950,1775150,2525539,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
