Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"MRERD Mortgage Repayments (monthly) Ranges","Nil repayments","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,999","$3,000-$3,999","$4,000-$4,999","$5000 and over","Not stated","Not applicable","Total",
"LGA",
"Gnowangerup (S)",14,0,4,6,10,12,11,9,7,12,6,0,3,0,0,0,0,0,0,8,559,657,
"Goomalling (S)",12,0,3,7,3,6,13,18,7,5,5,0,6,0,0,0,10,0,0,9,422,524,
"Gosnells (C)",526,130,160,388,339,574,769,1018,1349,1567,1913,1458,2275,1047,800,1574,1366,378,238,679,25863,44408,
"Greater Geraldton (C)",106,32,46,123,109,199,294,340,416,406,465,310,535,202,159,391,346,95,66,170,12726,17538,
"Halls Creek (S)",6,3,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,1414,1441,
"Harvey (S)",96,23,28,74,65,119,179,194,268,328,430,314,534,253,138,290,304,78,48,166,7037,10977,
"Irwin (S)",16,9,5,6,10,21,27,25,27,31,28,33,40,18,9,23,32,8,5,22,1575,1988,
"Jerramungup (S)",28,0,0,4,6,7,7,8,13,9,0,4,3,6,0,0,0,0,7,3,721,821,
"Joondalup (C)",753,272,257,554,422,753,938,1250,1386,1342,1589,1246,2674,1201,1255,2491,3635,1197,751,956,35425,60348,
"Kalamunda (S)",263,72,73,144,149,268,333,467,642,548,731,612,1142,612,477,936,987,293,168,373,13505,22786,
"Kalgoorlie/Boulder (C)",69,15,15,36,55,119,182,293,390,378,410,371,512,247,151,312,322,94,49,164,8866,13047,
"Karratha (C)",20,0,7,5,12,16,23,23,36,45,50,39,102,31,35,82,185,99,82,34,8891,9815,
"Katanning (S)",17,4,10,12,27,40,55,52,71,26,36,14,17,5,3,9,5,4,4,18,1407,1835,
"Kellerberrin (S)",11,0,0,8,4,17,17,11,9,4,5,5,3,0,0,0,8,0,0,13,450,566,
"Kent (S)",11,0,0,4,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,5,271,304,
"Kojonup (S)",19,4,0,9,8,15,16,23,20,8,9,6,6,5,0,4,4,5,5,8,812,970,
"Kondinin (S)",11,0,0,4,3,8,10,8,3,4,7,0,0,0,0,0,0,0,0,0,386,445,
