Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"INCP Total Personal Income (weekly) by LGA (UR) by INDP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Negative income"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"Derwent Valley (M)",12,0,10,0,17,3,48,30,9,0,0,3,3,12,11,16,35,3,11,15,9,703,940,
"Devonport (C)",28,6,45,0,41,8,111,95,34,6,5,0,21,39,12,58,125,12,54,23,9,1780,2515,
"Dorset (M)",43,0,12,0,14,0,21,17,4,0,0,4,4,10,5,16,19,8,8,0,10,478,684,
"Flinders (M)",5,0,0,0,0,0,5,6,0,0,0,0,0,3,3,0,0,0,0,4,0,59,89,
"George Town (M)",15,0,11,0,20,0,29,10,5,0,3,5,4,6,3,11,33,0,5,4,3,520,695,
"Glamorgan/Spring Bay (M)",14,0,3,0,14,4,17,37,7,0,0,5,5,9,3,7,9,4,0,8,4,379,534,
"Glenorchy (C)",11,0,63,3,61,17,199,166,80,11,8,14,32,58,33,94,187,32,90,40,19,3173,4393,
"Hobart (C)",16,0,39,4,27,15,226,296,28,26,17,13,72,48,29,137,154,71,48,32,13,2071,3393,
"Huon Valley (M)",41,0,25,3,39,12,64,62,19,10,3,8,19,24,15,37,51,10,36,13,9,1042,1533,
"Kentish (M)",25,0,14,0,13,5,19,19,10,0,0,5,9,9,5,12,32,6,20,5,3,429,642,
"King Island (M)",8,0,3,0,0,0,6,0,0,0,0,0,3,6,0,0,5,0,0,5,0,90,137,
"Kingborough (M)",15,0,39,0,57,18,151,95,23,11,4,8,36,46,34,101,130,21,42,12,11,1798,2662,
"Latrobe (M)",28,0,14,0,17,7,51,33,10,0,0,8,6,12,5,15,58,8,14,14,0,652,957,
"Launceston (C)",45,0,72,3,88,37,330,283,58,11,12,10,52,104,41,167,289,44,93,36,20,3793,5597,
"Meander Valley (M)",74,0,35,3,40,11,78,62,21,6,7,4,21,22,15,53,85,4,32,9,8,1161,1744,
"Northern Midlands (M)",41,0,20,6,17,11,48,28,10,6,5,3,4,23,16,23,49,6,17,18,3,762,1110,
"Sorell (M)",25,0,28,0,26,3,69,44,15,5,6,3,11,20,11,36,55,10,18,18,7,860,1272,
"Southern Midlands (M)",27,0,8,3,8,4,25,19,13,0,0,0,5,12,9,11,23,3,13,9,6,348,545,
"Tasman (M)",10,0,4,0,9,0,3,13,0,0,4,0,3,5,0,5,4,3,8,3,0,184,261,
"Waratah/Wynyard (M)",34,3,20,4,28,14,61,34,14,0,6,5,3,23,11,25,51,5,11,12,7,1007,1366,
"West Coast (M)",0,8,0,0,3,0,14,39,8,0,0,0,0,0,3,12,10,0,8,0,4,297,406,
"West Tamar (M)",32,0,40,0,40,6,106,73,25,8,13,8,32,21,17,58,96,12,48,19,9,1311,1974,
"No usual address (Tas.)",0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,72,98,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Total",719,22,667,48,766,224,2293,1864,520,129,134,129,464,683,366,1165,2016,329,794,384,197,30606,44520,


" $500-$649 ($26,000-$33,799)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",27,0,11,0,9,5,28,45,8,0,4,3,7,8,4,19,46,0,11,4,0,214,460,
"Brighton (M)",14,0,35,6,62,16,120,61,34,3,7,4,14,31,29,52,145,25,62,24,8,446,1183,
"Burnie (C)",32,3,41,0,40,18,141,84,30,6,3,9,25,63,18,62,136,3,50,19,10,574,1358,
"Central Coast (M)",81,0,65,4,67,15,148,75,31,7,12,13,39,35,35,75,155,14,54,28,11,707,1677,
"Central Highlands (M)",26,0,4,0,5,0,8,11,0,0,0,0,3,5,3,0,13,6,0,4,4,55,143,
"Circular Head (M)",96,0,17,0,23,4,41,57,19,0,5,3,8,19,9,21,44,0,15,11,3,184,584,
"Clarence (C)",34,5,77,6,158,29,351,196,79,26,50,31,78,93,101,200,443,38,120,41,12,1903,4065,
"Derwent Valley (M)",31,0,19,4,38,7,65,27,14,5,0,3,13,25,13,35,126,6,25,15,6,318,793,
"Devonport (C)",71,5,91,5,64,28,182,102,44,4,13,16,37,51,21,75,221,8,62,41,9,865,2019,
"Dorset (M)",90,0,29,0,14,5,32,30,15,0,0,4,4,9,4,12,39,5,21,14,4,217,554,
"Flinders (M)",14,0,7,0,9,0,0,3,5,0,0,0,0,0,0,7,4,0,0,0,0,22,67,
"George Town (M)",4,3,25,0,19,0,44,24,8,0,0,0,6,11,3,17,39,0,0,13,0,232,453,
"Glamorgan/Spring Bay (M)",27,0,14,0,14,3,23,32,4,0,0,0,7,7,9,10,22,3,10,7,6,206,406,
"Glenorchy (C)",22,0,103,4,132,44,319,227,99,24,30,18,41,89,95,140,441,52,136,62,23,1509,3621,
"Hobart (C)",25,0,71,0,62,20,247,350,43,31,20,21,90,72,64,224,281,77,75,40,14,1628,3453,
"Huon Valley (M)",78,0,31,0,53,7,82,56,26,12,10,6,39,23,25,57,99,21,28,34,0,455,1133,
"Kentish (M)",28,0,15,0,20,0,27,28,17,0,0,0,13,8,12,20,50,6,20,11,4,166,436,
"King Island (M)",27,0,3,0,5,0,8,6,8,0,0,0,3,0,4,0,6,0,6,0,0,40,120,
"Kingborough (M)",51,0,76,9,114,21,201,107,46,14,25,11,66,44,60,175,264,32,83,34,11,1113,2548,
"Latrobe (M)",54,0,33,3,29,14,72,30,21,4,3,12,17,23,10,30,101,10,31,19,8,419,924,
"Launceston (C)",82,0,182,15,178,58,532,297,103,24,54,39,108,129,44,236,520,58,169,69,37,2128,5058,
"Meander Valley (M)",121,0,43,10,68,19,132,84,28,7,13,13,23,20,22,73,175,21,45,28,12,591,1537,
"Northern Midlands (M)",66,0,60,0,36,12,88,49,17,0,10,4,15,18,11,40,105,10,43,18,3,369,986,
"Sorell (M)",26,0,49,4,51,8,119,72,40,13,8,10,15,27,17,54,103,10,26,26,6,421,1103,
"Southern Midlands (M)",56,0,12,3,15,5,34,17,9,0,3,3,3,7,15,22,44,7,9,6,3,131,415,
"Tasman (M)",14,0,3,0,4,0,6,9,4,0,0,0,4,5,0,8,7,14,4,6,4,95,193,
"Waratah/Wynyard (M)",51,7,36,0,38,15,73,36,33,0,4,3,19,29,15,47,122,7,16,25,3,422,989,
"West Coast (M)",4,4,4,0,11,0,19,33,7,0,4,0,0,9,5,12,10,0,6,0,3,91,221,
"West Tamar (M)",37,4,60,0,74,22,150,95,46,10,7,15,35,25,27,95,153,18,58,20,10,649,1609,
"No usual address (Tas.)",0,0,3,0,0,0,0,4,0,0,0,0,0,5,0,3,3,0,0,0,0,33,54,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,
"Total",1279,35,1211,83,1396,374,3302,2230,839,211,304,253,737,895,667,1825,3894,434,1178,620,216,16188,38177,


" $650-$799 ($33,800-$41,599)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",30,0,13,5,25,3,43,28,15,5,0,5,4,6,5,16,45,0,7,5,0,155,421,
"Brighton (M)",15,3,73,10,82,29,178,45,60,9,9,16,21,43,42,43,164,22,56,35,10,232,1193,
"Burnie (C)",35,10,93,4,60,20,186,60,35,9,14,11,23,77,38,54,161,4,55,34,7,344,1334,
"Central Coast (M)",79,0,93,4,100,26,170,58,47,7,12,19,30,52,44,76,175,12,55,33,13,410,1518,
"Central Highlands (M)",27,0,10,0,3,3,7,10,6,0,0,0,0,3,5,7,9,0,3,4,0,27,134,
"Circular Head (M)",116,0,97,0,31,9,50,34,18,3,0,5,7,5,8,24,36,5,12,7,7,84,574,
"Clarence (C)",46,3,138,22,221,73,387,162,119,42,56,49,108,96,143,198,469,52,137,56,30,1083,3690,
"Derwent Valley (M)",35,0,44,4,55,17,68,20,29,0,10,9,10,20,27,25,104,5,24,24,10,164,694,
"Devonport (C)",91,4,124,10,89,39,216,85,84,10,17,21,37,42,40,86,192,7,68,33,8,498,1794,
"Dorset (M)",98,0,22,0,19,11,44,12,11,0,3,8,3,10,15,7,38,7,17,8,3,124,463,
"Flinders (M)",6,0,0,0,9,0,6,4,0,0,0,0,0,0,6,3,8,0,0,0,0,15,62,
"George Town (M)",15,4,44,4,21,9,42,13,16,0,4,0,4,13,11,21,44,3,16,14,9,101,402,
"Glamorgan/Spring Bay (M)",47,0,21,0,16,5,34,48,0,0,0,0,0,6,17,7,16,0,5,6,0,112,358,
"Glenorchy (C)",40,6,178,14,187,85,460,212,132,40,47,40,77,115,100,158,512,37,144,81,18,805,3493,
"Hobart (C)",31,0,91,11,106,27,284,272,56,43,39,37,160,62,103,201,340,77,85,51,28,910,3013,
"Huon Valley (M)",121,0,77,5,68,16,92,38,17,5,15,16,31,14,41,71,132,17,33,28,4,293,1136,
"Kentish (M)",33,0,26,0,21,6,35,27,25,0,0,0,8,14,15,17,37,5,14,11,4,109,414,
"King Island (M)",31,0,25,0,3,0,15,0,8,0,0,0,0,0,9,10,14,0,0,0,0,18,141,
"Kingborough (M)",69,0,67,12,144,30,237,116,51,23,27,24,94,39,78,158,327,36,74,47,13,723,2391,
"Latrobe (M)",73,4,56,4,61,13,67,34,34,3,12,3,15,17,15,39,91,0,26,15,7,206,795,
"Launceston (C)",84,0,323,27,262,139,578,285,164,51,77,58,139,102,104,243,600,60,179,103,25,1109,4722,
"Meander Valley (M)",118,0,88,4,97,34,153,55,33,13,26,7,27,33,42,79,191,18,53,20,11,285,1385,
"Northern Midlands (M)",90,5,109,10,51,20,113,42,51,3,15,13,15,13,30,34,103,18,37,26,4,190,985,
"Sorell (M)",38,7,53,0,85,17,99,55,51,8,6,19,23,25,46,42,150,6,45,23,8,247,1061,
"Southern Midlands (M)",57,6,28,5,39,13,39,15,26,3,5,3,5,14,17,24,52,7,23,13,9,110,489,
"Tasman (M)",20,0,0,0,9,0,0,19,4,0,0,4,3,0,3,5,16,15,0,0,0,61,166,
"Waratah/Wynyard (M)",72,12,50,4,51,21,108,42,14,8,8,8,29,39,17,50,117,0,41,21,3,236,944,
"West Coast (M)",9,5,7,0,10,0,11,31,3,0,0,0,0,10,11,13,9,3,9,0,0,55,196,
"West Tamar (M)",37,10,67,8,120,36,167,77,57,4,23,26,40,30,33,74,201,20,61,25,9,401,1532,
"No usual address (Tas.)",0,0,3,0,0,0,3,4,0,0,0,0,4,0,0,5,4,0,0,4,0,15,50,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Total",1564,76,2028,176,2052,717,3897,1913,1166,291,430,406,943,910,1055,1792,4346,441,1279,723,227,9114,35549,


" $800-$999 ($41,600-$51,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",34,0,7,6,23,3,23,14,10,0,0,5,8,7,26,13,23,4,4,3,0,86,310,
"Brighton (M)",18,4,80,9,126,36,151,50,71,9,26,18,23,38,62,54,169,22,50,43,10,137,1218,
"Burnie (C)",54,11,111,12,92,31,119,44,56,6,15,16,36,45,57,82,165,3,56,35,11,189,1250,
"Central Coast (M)",108,5,115,10,139,43,117,60,54,11,14,20,39,33,75,82,163,11,57,32,4,227,1419,
"Central Highlands (M)",47,0,3,4,12,0,5,10,0,0,0,0,4,0,13,4,7,0,9,0,0,29,146,
"Circular Head (M)",129,5,137,3,40,20,34,24,19,0,3,0,8,7,10,31,32,3,19,24,4,58,603,
"Clarence (C)",63,0,190,38,364,87,398,200,148,63,100,67,151,119,297,247,488,66,149,59,19,855,4174,
"Derwent Valley (M)",37,0,47,9,84,15,60,23,32,9,7,8,12,17,54,33,93,4,21,17,5,96,701,
"Devonport (C)",81,7,126,8,150,46,152,73,93,13,20,22,66,48,53,85,169,11,72,35,13,299,1655,
"Dorset (M)",95,0,34,4,20,6,29,17,21,0,0,0,15,3,23,16,18,9,12,12,10,60,404,
"Flinders (M)",12,0,0,0,3,0,3,0,4,0,0,0,0,6,11,3,3,0,0,0,0,10,64,
"George Town (M)",22,5,46,8,32,12,29,10,12,0,0,7,7,4,21,28,25,4,12,6,0,70,359,
"Glamorgan/Spring Bay (M)",28,0,14,4,26,3,14,61,17,0,0,4,6,15,20,14,19,6,0,15,0,62,325,
"Glenorchy (C)",19,5,251,48,284,127,411,196,192,71,103,32,110,108,228,161,526,63,130,94,28,460,3647,
"Hobart (C)",35,0,90,19,137,34,257,286,56,78,61,28,206,75,172,269,374,84,79,37,7,806,3198,
"Huon Valley (M)",151,0,55,9,103,20,76,29,28,17,11,13,33,24,71,59,93,12,36,20,0,193,1039,
"Kentish (M)",37,5,27,6,33,8,20,40,22,0,3,3,5,10,19,18,34,9,6,9,0,58,364,
"King Island (M)",29,3,18,0,8,6,14,5,8,0,0,0,0,0,7,6,0,4,0,0,0,10,122,
"Kingborough (M)",56,5,85,22,216,48,205,107,64,54,58,34,124,64,148,179,324,19,85,38,6,549,2501,
"Latrobe (M)",75,3,61,7,78,23,75,20,45,3,9,10,20,18,25,37,76,0,23,11,11,107,732,
"Launceston (C)",93,6,310,55,357,190,485,212,185,56,120,79,184,104,170,268,645,59,157,111,31,659,4527,
"Meander Valley (M)",123,10,90,9,104,45,149,48,73,11,37,18,54,25,63,59,145,17,36,28,9,176,1330,
"Northern Midlands (M)",133,5,96,9,70,44,76,25,57,4,15,13,26,15,29,42,103,3,36,28,3,124,961,
"Sorell (M)",29,3,63,25,123,30,118,42,67,10,24,14,36,43,84,54,116,18,44,34,7,160,1135,
"Southern Midlands (M)",51,3,27,4,57,12,35,14,28,8,0,6,7,7,33,33,48,3,23,12,0,55,479,
"Tasman (M)",12,3,0,0,11,0,0,3,4,0,0,3,0,0,7,3,16,14,3,0,0,25,110,
"Waratah/Wynyard (M)",64,17,57,4,73,17,65,27,33,4,6,16,27,25,28,63,115,7,28,24,0,141,850,
"West Coast (M)",8,15,6,5,10,3,20,20,14,0,0,0,3,12,17,17,10,4,10,6,0,33,210,
"West Tamar (M)",40,16,110,8,145,60,161,57,59,21,42,26,65,22,61,110,237,22,43,42,5,288,1634,
"No usual address (Tas.)",0,0,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,3,0,0,0,17,38,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Total",1692,145,2267,343,2930,969,3307,1720,1474,442,692,478,1287,884,1871,2080,4250,487,1191,783,198,6041,35525,


" $1,000-$1,249 ($52,000-$64,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",17,5,9,5,21,0,12,8,3,5,0,0,0,6,20,23,30,4,3,3,0,57,239,
"Brighton (M)",17,0,90,28,142,16,88,37,84,13,34,14,22,29,129,60,137,16,39,22,5,75,1109,
"Burnie (C)",30,24,130,10,105,28,75,37,78,6,12,10,33,36,104,84,171,4,44,22,8,148,1180,
"Central Coast (M)",77,12,108,16,140,39,64,31,76,4,18,15,36,27,114,103,180,3,43,29,5,173,1316,
"Central Highlands (M)",42,0,6,5,9,0,0,4,0,0,0,0,0,0,4,10,12,0,0,0,0,20,117,
"Circular Head (M)",157,9,125,7,44,15,12,13,23,0,6,6,14,3,30,25,30,0,12,12,0,39,568,
"Clarence (C)",46,0,161,48,414,63,220,129,162,60,129,46,192,109,532,338,599,62,132,65,11,692,4210,
"Derwent Valley (M)",32,0,64,13,86,8,31,18,23,5,9,10,16,11,51,26,104,3,24,20,7,56,619,
"Devonport (C)",51,9,155,18,145,55,96,41,120,16,26,12,55,37,87,84,193,5,54,21,5,155,1442,
"Dorset (M)",90,3,22,3,35,7,17,17,15,3,3,5,10,7,25,18,28,0,0,7,0,50,374,
"Flinders (M)",15,0,0,4,8,3,4,4,8,0,0,0,0,0,7,7,7,0,5,0,0,8,76,
"George Town (M)",10,4,47,8,31,4,18,5,25,3,4,4,3,4,25,19,20,3,5,6,3,46,296,
"Glamorgan/Spring Bay (M)",33,7,15,5,18,3,6,41,3,0,0,6,3,8,10,9,11,7,3,0,0,39,231,
"Glenorchy (C)",32,3,221,73,298,79,244,127,194,72,107,34,117,71,411,183,464,53,108,48,16,315,3266,
"Hobart (C)",43,0,79,33,166,48,163,220,69,72,101,43,282,63,464,347,567,96,93,40,13,661,3652,
"Huon Valley (M)",155,4,66,15,100,22,54,17,34,17,18,12,34,10,91,67,96,7,41,22,8,144,1027,
"Kentish (M)",38,3,33,8,36,4,14,24,22,0,6,0,8,19,22,27,37,8,5,5,6,50,368,
"King Island (M)",20,0,21,0,11,0,0,3,7,0,0,0,0,0,4,7,11,0,0,0,0,16,115,
"Kingborough (M)",75,0,123,23,260,42,152,73,78,61,76,30,165,50,299,234,315,49,76,43,3,402,2639,
"Latrobe (M)",56,6,62,11,72,22,38,9,50,3,9,8,29,19,40,42,82,9,21,9,0,98,684,
"Launceston (C)",62,9,262,72,415,151,255,148,212,69,142,49,188,77,318,333,694,64,101,92,15,481,4210,
"Meander Valley (M)",124,14,67,18,128,43,84,29,62,12,37,13,36,24,108,65,162,26,34,27,5,108,1215,
"Northern Midlands (M)",107,3,88,18,80,34,50,10,45,3,21,7,25,16,56,34,97,16,25,20,9,75,842,
"Sorell (M)",27,4,78,30,154,22,65,18,61,10,25,22,44,25,130,55,121,17,42,18,3,102,1067,
"Southern Midlands (M)",45,0,30,6,55,12,10,4,13,0,3,3,9,9,35,24,44,4,19,11,4,56,404,
"Tasman (M)",10,0,3,0,9,0,4,8,9,0,0,0,0,5,4,8,12,15,0,4,0,23,112,
"Waratah/Wynyard (M)",52,21,79,6,51,25,38,10,45,3,5,4,20,20,56,59,108,0,30,20,3,103,767,
"West Coast (M)",20,39,3,0,10,0,6,8,12,0,0,0,9,11,20,13,15,0,3,0,0,21,193,
"West Tamar (M)",39,13,77,19,146,51,92,33,57,6,57,12,74,32,96,137,221,14,41,32,3,187,1454,
"No usual address (Tas.)",3,0,0,0,8,0,5,3,0,0,0,0,0,0,4,0,4,0,0,0,0,4,35,
"Migratory - Offshore - Shipping (Tas.)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,
"Total",1532,214,2233,499,3187,795,1914,1127,1572,449,841,373,1428,718,3303,2451,4568,504,995,623,132,4388,33831,


" $1,250-$1,499 ($65,000-$77,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",14,9,10,3,10,0,0,3,0,0,0,3,4,0,6,21,22,0,0,0,0,20,132,
"Brighton (M)",9,0,58,22,83,12,28,6,43,21,13,5,12,16,95,38,59,9,12,13,0,30,594,
"Burnie (C)",26,19,85,4,64,23,27,14,47,3,12,9,24,17,68,57,106,0,13,8,0,47,681,
"Central Coast (M)",47,26,103,14,82,24,24,9,44,4,8,3,28,20,67,76,109,3,17,18,0,61,792,
"Central Highlands (M)",28,0,6,0,5,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,5,65,
"Circular Head (M)",79,10,70,0,19,7,7,0,10,0,0,0,5,0,8,25,13,3,14,0,0,4,289,
"Clarence (C)",42,8,103,69,276,35,106,47,100,46,91,38,172,53,528,285,331,53,83,34,7,240,2739,
"Derwent Valley (M)",20,6,25,9,40,4,6,0,24,0,5,3,9,10,58,25,41,6,11,6,6,16,309,
"Devonport (C)",40,15,93,11,82,27,35,19,79,3,13,14,39,12,72,76,111,9,27,18,3,76,858,
"Dorset (M)",61,0,20,0,17,7,3,3,10,0,0,0,9,0,8,17,6,4,3,3,0,18,189,
"Flinders (M)",9,0,0,0,5,0,0,4,3,0,0,0,0,0,0,0,7,0,0,0,0,8,41,
"George Town (M)",14,4,46,0,14,10,3,0,18,0,5,0,6,0,15,7,16,0,5,7,0,22,194,
"Glamorgan/Spring Bay (M)",7,0,8,0,10,0,5,12,5,0,0,5,4,0,8,7,6,5,3,0,0,33,127,
"Glenorchy (C)",19,6,151,61,182,40,92,36,92,39,59,25,76,27,346,143,267,32,46,33,7,111,1905,
"Hobart (C)",27,0,59,47,122,20,98,81,45,61,62,24,246,33,444,340,421,80,59,41,4,371,2689,
"Huon Valley (M)",106,3,39,11,81,15,15,9,16,9,12,3,32,6,65,50,61,13,14,7,0,46,615,
"Kentish (M)",16,0,24,3,20,10,0,0,7,4,3,0,3,6,17,13,25,0,9,3,5,11,188,
"King Island (M)",18,0,10,0,11,0,3,0,3,3,0,0,0,0,5,7,5,0,0,0,0,3,79,
"Kingborough (M)",56,0,80,41,213,17,78,30,35,41,56,14,122,27,337,204,238,35,54,28,6,194,1905,
"Latrobe (M)",28,8,44,11,49,12,13,6,35,4,8,8,7,4,26,39,62,8,3,13,4,35,421,
"Launceston (C)",34,3,167,48,243,90,140,46,99,36,89,23,104,41,250,333,431,29,65,32,19,179,2491,
"Meander Valley (M)",66,16,59,10,75,28,34,11,46,8,27,5,38,12,74,58,99,8,18,13,7,46,766,
"Northern Midlands (M)",73,0,50,11,52,13,21,3,36,3,18,7,6,7,40,28,46,4,15,13,0,29,495,
"Sorell (M)",20,0,34,28,92,18,23,8,38,12,9,4,27,9,128,40,61,6,18,7,6,36,628,
"Southern Midlands (M)",29,0,18,6,34,5,3,7,12,0,4,0,7,6,17,13,15,5,4,5,0,6,186,
"Tasman (M)",5,0,4,0,5,0,0,0,6,0,0,0,0,0,13,4,3,14,0,0,0,11,70,
"Waratah/Wynyard (M)",40,29,64,6,37,15,18,4,22,3,14,4,9,8,46,37,73,0,16,5,0,40,485,
"West Coast (M)",15,45,5,3,10,0,5,9,5,0,0,0,0,0,7,13,10,4,4,0,0,3,145,
"West Tamar (M)",23,14,73,29,100,29,49,9,41,16,31,7,37,19,97,91,118,12,27,17,0,68,907,
"No usual address (Tas.)",0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,21,
"Migratory - Offshore - Shipping (Tas.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",983,222,1521,456,2031,457,834,395,925,326,540,217,1036,341,2865,2061,2776,335,536,342,71,1776,21022,


" $1,500-$1,749 ($78,000-$90,999)"
"INDP - 1 Digit Level","Agriculture, Forestry and Fishing","Mining","Manufacturing","Electricity, Gas, Water and Waste Services","Construction","Wholesale Trade","Retail Trade","Accommodation and Food Services","Transport, Postal and Warehousing","Information Media and Telecommunications","Financial and Insurance Services","Rental, Hiring and Real Estate Services","Professional, Scientific and Technical Services","Administrative and Support Services","Public Administration and Safety","Education and Training","Health Care and Social Assistance","Arts and Recreation Services","Other Services","Inadequately described","Not stated","Not applicable","Total",
"LGA (UR)",
"Break O'Day (M)",14,3,7,5,5,0,4,3,5,0,0,3,0,0,3,20,7,0,0,0,0,22,106,
"Brighton (M)",3,3,48,27,55,14,21,4,22,4,14,5,9,10,68,38,42,3,6,12,3,23,437,
"Burnie (C)",18,56,63,7,20,6,18,4,32,3,7,4,7,9,56,73,87,3,19,3,0,24,530,
"Central Coast (M)",40,40,92,21,55,20,22,6,54,7,7,3,21,5,64,116,85,8,4,11,0,34,712,
"Central Highlands (M)",16,0,7,3,0,0,0,3,3,0,0,0,0,0,0,4,8,0,0,0,0,6,57,
"Circular Head (M)",39,21,42,3,14,6,5,0,6,0,7,0,0,3,3,25,11,0,6,9,0,10,220,
"Clarence (C)",44,9,123,70,229,39,85,35,54,43,60,30,143,19,460,372,236,26,33,28,3,182,2332,
"Derwent Valley (M)",12,4,57,24,31,3,6,0,12,6,4,4,6,4,37,19,32,7,4,4,0,10,277,
"Devonport (C)",24,25,67,17,50,29,12,0,54,5,14,15,19,9,51,85,62,8,14,11,0,35,607,
"Dorset (M)",45,3,21,6,8,0,6,7,4,0,0,0,0,0,18,7,5,0,0,7,0,8,147,
"Flinders (M)",8,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,0,0,5,30,
"George Town (M)",0,10,77,6,5,3,0,0,14,0,7,0,0,0,9,22,19,0,0,6,0,9,189,
"Glamorgan/Spring Bay (M)",10,0,4,11,11,5,0,0,3,0,0,0,0,0,0,6,4,0,0,4,0,12,85,
"Glenorchy (C)",12,22,144,65,92,25,28,18,54,38,32,15,64,14,257,176,163,16,23,18,5,43,1321,
"Hobart (C)",39,8,60,61,96,27,69,48,23,65,65,38,225,18,458,449,366,37,37,26,7,280,2505,
"Huon Valley (M)",50,3,9,11,40,5,11,7,4,13,11,8,30,3,60,47,40,5,17,6,0,28,398,
"Kentish (M)",7,11,33,4,10,3,5,8,8,0,0,0,0,0,15,16,11,0,4,0,0,9,144,
"King Island (M)",26,0,9,4,0,0,0,0,8,0,0,0,0,0,0,3,7,0,4,0,0,0,66,
"Kingborough (M)",49,6,68,46,115,12,42,23,22,41,36,13,151,14,275,306,174,21,27,23,7,111,1570,
"Latrobe (M)",13,12,35,16,38,10,5,0,30,3,5,4,16,11,21,49,36,5,4,8,0,24,349,
"Launceston (C)",29,25,127,56,135,45,66,21,90,30,78,21,99,26,168,415,341,21,40,30,3,128,1991,
