"5368.0 International Trade in Goods and Services, Australia",,,,,,
"TABLE 14a. MERCHANDISE EXPORTS, Country and Country Groups, FOB Value",,,,,,total trade all countries
Marshall Islands,USD,Y,Y,0,3,3
Mauritania,MRU,N,Y,0,12,12
Mauritius,MUR,N,Y,24,95,119
Mexico,MXN,Y,Y,3198,212,3410
Micronesia Fed States of,USD,Y,Y,0,3,3
Midway Islands,USD,Y,N,0,0,0
Moldova,MDL,N,N,0,0,0
Mongolia,MNT,N,Y,1,29,30
Montenegro,EUR,N,Y,0,2,2
Montserrat,XCD,N,N,0,0,0
Morocco,MAD,Y,Y,43,21,64
Mozambique,MZN,N,Y,33,607,640
"Myanmar, Republic of",MMK,N,Y,39,153,192
Namibia,NAD,N,Y,13,10,23
Nauru,AUD,N,Y,3,48,51
Nepal,NPR,N,Y,11,51,62
Netherlands,EUR,Y,Y,2675,3105,5780
Netherlands Antilles,EUR,Y,N,1,0,1
New Caledonia,XPF,Y,N,45,428,473
New Zealand,NZD,Y,Y,7856,9231,17087
Nicaragua,NIO,N,Y,24,0,24
Niger,XOF,Y,Y,0,4,4
Nigeria,NGN,N,Y,963,210,1173
Niue,NZD,Y,N,0,0,0
No Country Details,N/A,N,N,12024,5396,17420
Norfolk Island,AUD,N,N,0,11,11
Norway,NOK,Y,Y,417,120,537
Oil-blended in Bond,N/A,N,N,0,0,0
Oman,OMR,Y,Y,49,374,423
Pakistan,PKR,Y,Y,284,490,774
Palau,USD,Y,Y,0,0,0
"Palestine, Terr Admin By",ILS,Y,N,0,0,0
Panama,USD,Y,Y,15,160,175
Papua New Guinea,PGK,Y,Y,3205,1864,5069
Paraguay,PYG,N,Y,1,1,2
Peru,PEN,Y,Y,265,56,321
Philippines,PHP,Y,Y,670,2003,2673
Pitcairn Island,NZD,Y,N,0,0,0
Poland,PLN,Y,Y,1053,416,1469
Portugal,EUR,Y,Y,279,35,314
Puerto Rico,USD,Y,N,339,1,340
Qatar,QAR,N,Y,334,652,986
Reunion,EUR,Y,N,0,5,5
Romania,RON,N,Y,197,46,243
Ross Dependency,NZD,Y,N,0,0,0
Russian Federation,RUB,Y,Y,291,612,903
Rwanda,RWF,N,Y,0,0,0
Samoa,WST,N,Y,6,38,44
Samoa (American),WST,N,N,10,8,18
Sao Tome and Principe,STN,N,Y,0,0,0
Saudi Arabia,SAR,Y,Y,458,813,1271
Senegal,XOF,Y,Y,0,34,34
Serbia,RSD,N,Y,31,0,31
Serbia and Montenegro,RSD,N,N,0,0,0
Seychelles,SCR,Y,Y,3,6,9
Ship & Aircraft Stores,N/A,N,N,0,1802,1802
Sierra Leone,SLL,N,Y,5,1,6
Singapore,SGD,Y,Y,9366,7949,17315
Slovak Republic,EUR,Y,Y,310,0,310
Slovenia,EUR,Y,Y,171,92,263
Solomon Islands,SBD,N,Y,9,125,134
Somalia,SOS,N,Y,0,0,0
South Africa,ZAR,Y,Y,1110,1588,2698
South Sudan,SSP,N,Y,0,0,0
Spain,EUR,Y,Y,2488,710,3198
Sri Lanka,LKR,Y,Y,245,258,503
St Christopher and Nevis,XCS,N,N,0,0,0
St Pierre and Miquelon,EUR,Y,N,0,0,0
St. Helena,SHP,N,N,0,0,0
St. Lucia,XCD,N,N,0,0,0
St. Vincent & Grenadines,XCD,N,N,0,0,0
Former Sudan,SSP,N,N,0,0,0
Sudan,SDG,N,Y,0,9,9
Suriname,SRD,N,Y,0,1,1
Swaziland,SZL,N,N,1,0,1
Sweden,SEK,Y,Y,2668,333,3001
Switzerland,CHF,Y,Y,3431,1377,4808
Syria,SYP,N,Y,0,0,0
Taiwan,TWD,Y,N,4281,9174,13455
Tajikistan,TJS,N,Y,0,0,0
Tanzania,TZS,Y,Y,7,49,56
Thailand,THB,Y,Y,14999,5308,20307
Timor-Leste,USD,Y,Y,1,27,28
Togo,XOF,Y,Y,25,12,37
Tokelau,NZD,Y,N,0,0,0
Tonga,TOP,N,Y,0,15,15
Trinidad and Tobago,TTD,N,Y,13,25,38
Trust Territory Pac Isld,N/A,N,N,0,0,0
Tunisia,TND,N,Y,33,4,37
Turkey,TRY,Y,Y,927,1101,2028
Turkmenistan,TMT,N,Y,0,1,1
Turks and Caicos Islands,USD,Y,N,0,0,0
Tuvalu,AUD,N,Y,0,1,1
U.S. Misc Pacific Islnds,USD,Y,Y,0,0,0
U.S.S.R.,RUB,Y,N,0,0,0
Uganda,UGX,N,Y,0,4,4
Ukraine,UAH,N,Y,48,31,79
Unidentified,N/A,N,N,0,0,0
United Arab Emirates,AED,Y,Y,2627,3572,6199
United Kingdom,GBP,Y,Y,7281,6287,13568
United States of America,USD,Y,Y,29757,11675,41432
United States Virgin Is,USD,Y,Y,0,0,0
Uruguay,UYU,N,Y,11,7,18
US Minor Outlying Islands,USD,Y,Y,0,0,0
Uzbekistan,UZS,N,Y,0,2,2
Vanuatu,VUV,N,Y,0,76,76
Venezuela,VES,N,Y,1,0,1
Viet Nam,VND,Y,Y,5404,4475,9879
"Virgin Islands, British",USD,N,N,10,0,10
Wake Island,USD,Y,N,0,0,0
Wallis & Futuna Islands,XPF,Y,N,0,2,2
Western Sahara,MRU,N,N,0,0,0
Yemen,YER,N,Y,0,189,189
Zambia,ZMW,N,Y,0,13,13
Zimbabwe,USD,Y,Y,1,1,2
