"Taxation statistics 2015–16 Companies: Key items, by industry code, 2015-16 income year1",,,,,,,,,
,,,,,,,,,
Industry code,Business description,Number of companies,Total income no.,Total income $,Total expenses no.,Total expenses $,Taxable income or loss no.,Taxable income or loss $,
33110,Wool Wholesaling,118,108,"2,364,715,229",114,"2,414,678,123",100,"382,200",
33120,Cereal Grain Wholesaling,178,160,"12,499,311,096",166,"12,538,194,795",146,"-160,514,637",
33190,Other Agricultural Product Wholesaling,"1,667","1,526","11,941,368,483","1,601","11,543,830,642","1,336","502,655,919",
33210,Petroleum Product Wholesaling,405,366,"30,285,101,652",386,"29,592,625,949",324,"371,824,048",
33221,Metal Waste and Scrap Wholesaling,519,468,"1,823,851,316",495,"1,800,197,754",425,"30,027,736",
33229,Other Metal and Mineral Wholesaling,231,201,"7,624,220,708",217,"8,001,795,083",185,"82,717,801",
33230,Industrial and Agricultural Chemical Product Wholesaling,"1,163","1,073","10,935,555,089","1,134","10,731,791,312",967,"330,389,806",
33310,Timber Wholesaling,565,528,"3,640,362,216",553,"3,470,847,831",449,"154,933,262",
33320,Plumbing Goods Wholesaling,428,403,"4,394,556,590",418,"3,948,312,813",349,"450,336,906",
33390,Other Hardware Goods Wholesaling,"2,162","2,009","10,941,628,116","2,101","10,481,513,354","1,751","437,890,393",
34110,Agricultural and Construction Machinery Wholesaling,438,418,"6,952,778,757",430,"6,653,157,485",363,"338,696,706",
34190,Other Specialised Industrial Machinery and Equipment Wholesaling,"1,388","1,278","12,956,408,920","1,343","12,600,961,033","1,133","282,170,801",
34910,Professional and Scientific Goods Wholesaling,"1,101","1,031","9,209,560,565","1,076","8,793,637,263",925,"546,604,496",
34920,Computer and Computer Peripheral Wholesaling,749,684,"20,729,216,084",707,"20,275,920,528",566,"790,721,550",
34930,Telecommunication Goods Wholesaling,317,299,"2,522,275,926",309,"2,472,740,091",247,"116,752,489",
34940,Other Electrical and Electronic Goods Wholesaling,"2,812","2,611","29,826,599,273","2,728","29,350,598,878","2,297","923,655,825",
34990,Other Machinery and Equipment Wholesaling n.e.c.,"1,498","1,407","7,465,550,107","1,463","7,331,656,217","1,238","202,620,117",
35010,Car Wholesaling,422,374,"41,728,832,826",391,"40,064,457,852",320,"1,742,244,700",
35020,Commercial Vehicle Wholesaling,166,156,"2,423,659,084",161,"2,385,433,849",130,"52,683,325",
35030,Trailer and Other Motor Vehicle Wholesaling,114,101,"802,320,756",107,"769,369,188",86,"42,193,262",
35040,Motor Vehicle New Parts Wholesaling,"1,273","1,192","7,606,892,126","1,228","7,290,904,072","1,016","348,657,793",
35050,Motor Vehicle Dismantling and Used Parts Wholesaling,512,480,"737,532,165",494,"723,897,870",389,"6,658,203",
36010,General Line Grocery Wholesaling,159,151,"633,452,095",155,"635,504,209",131,"3,628,435",
36020,"Meat, Poultry and Smallgoods Wholesaling",817,747,"8,251,137,070",791,"8,064,408,069",679,"181,041,731",
36030,Dairy Produce Wholesaling,247,222,"2,945,109,004",234,"2,917,181,822",197,"-93,538,322",
36040,Fish and Seafood Wholesaling,488,449,"3,369,514,635",472,"3,260,268,556",394,"107,414,059",
36050,Fruit and Vegetable Wholesaling,846,783,"6,750,360,250",808,"6,558,486,545",714,"218,768,884",
36061,Liquor Wholesaling,"1,180","1,019","3,217,791,773","1,129","3,131,854,608",987,"76,371,287",
36062,Tobacco Product Wholesaling,228,218,"6,855,972,191",224,"5,875,653,884",208,"1,188,671,459",
36090,Other Grocery Wholesaling,"2,294","2,111","32,853,030,420","2,217","31,805,255,398","1,893","1,082,409,846",
37110,Textile Product Wholesaling,475,437,"1,541,902,703",455,"1,464,190,583",387,"39,667,290",
37120,Clothing and Footwear Wholesaling,"1,579","1,417","8,039,595,946","1,502","7,663,129,927","1,238","439,369,798",
37200,Pharmaceutical and Toiletry Goods Wholesaling,861,766,"26,553,000,970",825,"25,625,448,533",723,"1,205,151,251",
37310,Furniture and Floor Covering Wholesaling,963,885,"2,964,009,122",936,"2,864,766,920",761,"91,186,597",
37320,Jewellery and Watch Wholesaling,522,480,"1,757,998,254",505,"1,657,642,028",401,"99,800,026",
37330,Kitchen and Diningware Wholesaling,391,364,"1,238,118,418",383,"1,178,003,430",309,"45,637,247",
37340,Toy and Sporting Goods Wholesaling,693,648,"3,211,251,293",676,"2,899,093,476",540,"315,708,736",
37350,Book and Magazine Wholesaling,224,203,"319,786,821",214,"306,658,148",180,"14,160,890",
37360,Paper Product Wholesaling,419,391,"4,636,919,272",409,"4,593,602,788",336,"78,358,193",
37390,Other Goods Wholesaling n.e.c.,"9,039","8,169","40,139,367,877","8,714","39,611,666,886","7,189","1,893,884,078",
38000,Commission-Based Wholesaling,"1,061",900,"4,048,443,136",998,"3,676,417,152",863,"153,834,662",
39110,Car Retailing,"2,204","2,079","49,531,833,295","2,119","48,118,013,860","1,765","1,482,802,550",
39120,Motor Cycle Retailing,429,413,"2,584,792,633",417,"2,488,364,272",329,"85,075,651",
39130,Trailer and Other Motor Vehicle Retailing,363,338,"1,414,517,431",353,"1,374,500,336",293,"34,103,549",
39211,Motor Vehicle Battery Retailing,140,131,"168,680,010",136,"168,454,457",120,"642,869",
39219,Motor Vehicle Parts Retailing n.e.c.,685,638,"1,859,492,472",662,"1,826,313,394",532,"58,147,509",
39220,Tyre Retailing,919,875,"2,923,606,431",894,"2,837,245,496",780,"81,546,834",
40000,Fuel Retailing,"1,699","1,614","16,250,573,203","1,639","16,069,402,757","1,442","213,970,420",
41100,Supermarket and Grocery Stores,"3,027","2,855","129,218,108,532","2,913","129,055,394,362","2,522","5,567,657,309",
41211,Meat Retailing (Except Poultry or Canned Meat),"1,000",954,"1,630,265,766",978,"1,611,064,454",828,"29,184,981",
41212,Fresh Fish Retailing,311,293,"496,274,660",300,"482,164,104",254,"12,054,933",
41213,Fresh Poultry Retailing,107,103,"187,460,705",104,"171,553,631",89,"14,406,772",
41220,Fruit and Vegetable Retailing,810,763,"2,442,916,499",790,"2,390,906,365",676,"48,652,700",
41230,Liquor Retailing,"1,071",997,"1,980,920,375","1,041","1,943,950,088",881,"29,970,665",
41290,Other Specialised Food Retailing,"3,471","3,201","3,307,308,350","3,340","3,243,464,976","2,827","73,889,735",
42110,Furniture Retailing,"1,825","1,684","5,953,190,172","1,755","5,838,363,218","1,425","167,409,582",
42120,Floor Coverings Retailing,"1,257","1,196","2,718,610,347","1,222","2,610,973,908",995,"99,365,141",
42130,Houseware Retailing,665,624,"795,253,530",646,"757,232,576",525,"38,999,375",
42140,Manchester and Other Textile Goods Retailing,511,469,"2,519,826,329",487,"1,986,047,694",398,"431,882,617",
42210,"Electrical, Electronic and Gas Appliance Retailing","2,310","2,136","10,895,554,412","2,237","10,601,315,421","1,856","430,045,103",
42220,Computer and Computer Peripheral Retailing,"1,366","1,266","3,337,958,981","1,322","3,276,098,458","1,077","125,760,730",
42290,Other Electrical and Electronic Goods Retailing,683,626,"842,648,991",653,"838,801,342",537,"7,259,496",
42310,Hardware and Building Supplies Retailing,"1,856","1,748","7,145,022,463","1,806","10,133,967,340","1,496","-160,508,352",
42320,Garden Supplies Retailing,928,874,"2,261,112,960",903,"2,170,201,170",736,"82,877,322",
42410,Sport and Camping Equipment Retailing,"1,497","1,400","1,842,228,830","1,451","1,799,396,242","1,185","41,451,312",
42420,Entertainment Media Retailing,413,357,"401,258,276",396,"376,339,293",316,"18,367,334",
42430,Toy and Game Retailing,575,511,"1,601,253,110",552,"1,554,735,773",446,"53,211,050",
42441,Newsagents,"1,084","1,022","950,519,736","1,040","940,467,803",842,"7,676,848",
42442,Book Retailing,322,293,"752,765,163",309,"724,820,415",249,"25,663,426",
42450,Marine Equipment Retailing,691,617,"1,347,941,041",663,"1,325,549,116",517,"30,980,982",
42510,Clothing Retailing,"4,182","3,789","14,603,602,682","4,017","14,232,920,950","3,283","540,051,202",
42520,Footwear Retailing,531,494,"2,136,259,178",517,"2,084,248,117",437,"71,294,033",
42530,Watch and Jewellery Retailing,564,523,"941,203,793",551,"896,980,562",443,"46,730,611",
42590,Other Personal Accessory Retailing,424,391,"801,535,684",415,"748,518,585",334,"41,447,938",
42600,Department Stores,64,60,"5,608,447,293",62,"5,395,468,725",57,"187,696,360",
42711,Chemist or Pharmacy Operations,"1,723","1,636","7,843,815,356","1,637","7,279,598,158","1,475","590,679,177",
42712,"Cosmetics, Perfumes and Toiletry Goods Retailing (Except Direct Marketing) n.e.c.",371,338,"549,971,303",357,"541,499,456",294,"14,743,841",
42720,Stationery Goods Retailing,398,373,"602,645,589",382,"579,232,222",309,"20,346,599",
42731,Pawnbroking,147,141,"96,504,816",145,"87,257,030",116,"8,626,501",
42732,Antiques Retailing (Except Pawnbroking or Disposal Stores),198,180,"85,432,406",190,"77,720,055",149,"6,383,129",
42733,Disposal Stores (Second Hand Goods Retailing Except Pawnbroking and Antiques),284,263,"419,039,562",274,"414,547,407",209,"4,122,536",
42740,Flower Retailing,448,417,"260,394,966",433,"252,745,371",336,"4,182,697",
42791,Swimming Pool and Spa Retailing,398,373,"426,662,619",383,"413,135,329",310,"15,582,786",
42792,Art Dealers (Including Retail Art Gallery Operation Except by Direct Marketing),480,423,"211,240,760",455,"200,454,281",366,"11,818,910",
42793,Adult Sex Shop Operation,140,125,"107,850,120",134,"97,218,065",111,"10,683,143",
42794,Pets Retailing,405,383,"502,867,290",394,"481,709,200",338,"21,353,915",
42799,Other Store-Based Retailing n.e.c.,"7,531","6,985","15,925,225,393","7,285","15,509,710,980","5,996","530,181,258",
43101,"Cosmetics, Perfumes and Toiletry Goods Retailing by Direct Marketing (Except Commission Based)",334,299,"587,283,590",324,"574,396,143",277,"20,282,832",
43102,Jewellery Retailing by Direct Marketing (Except Commission Based),646,597,"2,640,076,239",627,"2,456,186,847",502,"177,248,753",
43109,Non-Store Retailing n.e.c.,"2,039","1,818","2,743,324,234","1,954","2,669,524,835","1,600","94,806,223",
43201,"Cosmetics, Perfumes and Toiletry Goods Retailing Commission Based",85,77,"49,949,806",83,"47,822,400",70,"2,494,502",
43202,Jewellery Retailing Commission Based,42,40,"32,323,981",40,"29,798,391",35,"2,470,551",
43209,Retail Commission-Based Buying and/or Selling n.e.c.,"1,217","1,072","634,495,984","1,151","615,033,184",930,"22,813,623",
44000,Accommodation,"4,499","4,245","13,372,780,707","4,341","12,118,658,340","3,550","639,302,398",
45110,Cafes and Restaurants,"16,524","15,446","14,558,839,854","16,026","14,432,601,919","13,281","105,891,304",
45120,Takeaway Food Services,"6,851","6,450","6,945,696,300","6,632","6,095,296,819","5,546","522,561,385",
45130,Catering Services,"1,195","1,099","3,339,418,399","1,149","3,343,802,981",933,"34,020,301",
45200,"Pubs, Taverns and Bars","2,174","2,040","10,053,419,024","2,101","9,485,954,550","1,780","751,563,382",
45301,Licensed Clubs (Hospitality) Operation,611,597,"4,907,291,852",600,"4,518,418,808",453,"29,873,084",
45302,Unlicensed Clubs (Hospitality) Operation,64,58,"182,314,640",61,"173,462,683",53,"1,562,199",
46100,Road Freight Transport,"16,547","15,708","21,400,066,399","16,022","20,672,408,545","12,500","795,988,102",
46210,Interurban and Rural Bus Transport,276,259,"959,547,350",264,"941,789,966",206,"23,730,949",
46220,Urban Bus Transport (Including Tramway),621,603,"2,990,423,467",610,"2,789,678,296",501,"222,227,906",
46231,Taxi Service Operation,"1,064","1,007","788,377,778","1,026","758,301,446",769,"76,156,318",
46239,Other Road Transport (Except Taxi),891,832,"903,881,561",860,"847,381,449",662,"63,030,232",
47100,Rail Freight Transport,49,43,"9,385,155,160",48,"8,518,028,542",43,"901,626,716",
47200,Rail Passenger Transport,<10,na,"273,583",na,"344,703",na,"-60,487",
48100,Water Freight Transport,375,338,"3,837,956,830",350,"3,608,694,389",294,"278,088,098",
48200,Water Passenger Transport,410,372,"596,676,661",390,"577,349,308",309,"-746,539",
49001,Aircraft Charter and Lease,885,781,"3,385,173,408",854,"3,451,740,442",659,"-69,087,293",
49009,Other Air and Space Transport,113,104,"23,335,326,798",106,"22,324,420,366",93,"-622,840,998",
50100,Scenic and Sightseeing Transport,412,368,"472,411,284",395,"444,044,639",304,"23,831,251",
50210,Pipeline Transport,35,32,"289,723,816",33,"232,897,521",30,"52,520,730",
50290,Other Transport n.e.c.,"4,623","4,343","9,602,478,160","4,465","9,523,013,491","3,501","210,976,205",
51010,Postal Services,"2,047","1,977","7,371,794,200","2,017","7,295,599,214","1,510","182,450,481",
51020,Courier Pick-up and Delivery Services,"6,230","5,943","3,204,847,388","6,064","3,187,412,391","4,314","35,852,008",
52110,Stevedoring Services,50,45,"869,382,369",47,"1,087,361,108",41,"-240,581,208",
52120,Port and Water Transport Terminal Operations,96,87,"1,433,237,016",91,"1,565,984,222",73,"61,284,524",
52190,Other Water Transport Support Services,535,501,"3,465,098,367",519,"3,196,156,860",421,"213,868,620",
52200,Airport Operations and Other Air Transport Support Services,488,431,"6,448,866,604",470,"5,213,212,531",386,"724,997,808",
52910,Customs Agency Services,600,533,"1,665,743,809",571,"1,611,346,503",477,"63,061,158",
52920,Freight Forwarding Services,"1,050",991,"11,849,068,005","1,014","11,671,696,633",853,"148,150,113",
52991,Taxi Driver,120,112,"8,820,531",117,"8,968,755",78,"-356,073",
52999,Other Transport Support Services n.e.c.,760,708,"5,361,443,562",734,"4,949,679,747",598,"151,630,021",
53010,Grain Storage Services,130,121,"4,965,905,385",127,"4,543,163,009",109,"-22,547,020",
53090,Other Warehousing and Storage Services,956,880,"3,974,565,629",923,"3,840,186,379",777,"164,815,724",
54110,Newspaper Publishing,286,274,"6,860,944,748",280,"6,718,022,543",216,"313,195,671",
54120,Magazine and Other Periodical Publishing,399,368,"812,203,478",384,"921,229,658",299,"2,976,978",
54130,Book Publishing,756,655,"2,155,364,279",713,"2,034,865,461",572,"150,201,858",
54140,Directory and Mailing List Publishing,39,32,"766,830,270",35,"667,909,000",30,"52,180,857",
54190,"Other Publishing (except Software, Music and Internet)",168,140,"58,399,291",153,"47,909,618",134,"12,536,414",
54200,Software Publishing,"1,499","1,202","2,535,778,013","1,432","2,658,233,732","1,239","208,514,337",
55110,Motion Picture and Video Production,"3,555","3,095","3,321,030,995","3,399","3,190,659,032","2,688","-125,585,767",
55120,Motion Picture and Video Distribution,224,199,"2,430,007,747",215,"2,373,488,988",165,"-10,530,125",
55130,Motion Picture Exhibition,167,155,"1,306,175,593",162,"1,092,844,232",124,"204,669,396",
55140,Post-production Services and Other Motion Picture and Video Activities,111,103,"86,636,055",109,"74,849,488",88,"13,319,683",
55210,Music Publishing,78,67,"37,227,465",76,"36,599,961",69,"839,170",
55220,Music and Other Sound Recording Activities,498,451,"141,079,896",480,"126,866,937",381,"13,771,436",
56100,Radio Broadcasting,140,125,"730,038,577",135,"639,124,978",111,"135,102,891",
56210,Free-to-Air Television Broadcasting,127,110,"4,083,830,467",115,"3,579,081,689",86,"346,376,923",
56220,Cable and Other Subscription Broadcasting,138,130,"3,236,368,361",131,"3,183,114,504",108,"49,845,110",
57000,Internet Publishing and Broadcasting,408,336,"328,778,443",385,"308,265,865",322,"30,472,581",
58010,Wired Telecommunications Network Operation,"2,455","2,280","51,754,382,513","2,386","45,436,693,132","1,856","4,698,304,317",
58020,Other Telecommunications Network Operation,346,318,"718,933,433",333,"884,142,051",264,"45,899,548",
58090,Other Telecommunications Services,"1,187","1,081","2,628,451,619","1,150","2,597,495,721",921,"62,495,542",
59100,Internet Service Providers and Web Search Portals,712,601,"1,021,966,030",678,"1,035,213,260",563,"30,418,761",
59210,Data Processing and Web Hosting Services,614,542,"997,551,806",595,"1,016,249,522",485,"35,998,133",
59220,Electronic Information Storage Services,353,302,"1,040,665,404",334,"1,020,612,058",268,"89,414,456",
60100,Libraries and Archives,81,74,"300,067,481",79,"279,492,344",58,"16,893,889",
60200,Other Information Services,706,589,"275,661,547",644,"275,484,443",542,"17,337,449",
62100,Central Banking,<10,na,"9,700,107",na,"3,971,635",na,"6,005,578",
62300,Non-Depository Financing,"1,447","1,220","5,497,851,798","1,305","5,087,309,127","1,107","321,913,534",
62400,Financial Asset Investing,"114,679","89,439","105,577,292,347","90,526","69,903,234,613","94,860","43,231,718,681",
63100,Life Insurance,24,22,"42,215,973,935",22,"40,450,887,691",19,"7,029,201,074",
63210,Health Insurance,36,34,"17,940,017,260",35,"16,846,711,661",28,"1,092,095,927",
63220,General Insurance,812,755,"44,890,705,604",770,"42,269,305,046",673,"2,787,633,867",
63300,Superannuation Funds,121,15,"312,849,823",18,"299,579,109",17,"24,925,406",
64110,Financial Asset Broking Services,"8,245","7,567","23,505,836,908","7,942","21,729,387,271","6,442","485,982,279",
64190,Other Auxiliary Finance and Investment Services,"40,290","24,543","33,500,138,621","24,838","25,774,342,941","24,565","7,706,606,603",
64200,Auxiliary Insurance Services,"3,053","2,738","7,227,550,428","2,912","6,029,339,886","2,517","1,500,567,229",
66110,Passenger Car Rental and Hiring,"1,421","1,293","3,775,131,798","1,365","3,409,618,112","1,077","246,274,581",
66190,Other Motor Vehicle and Transport Equipment Rental and Hiring,"1,419","1,316","2,505,652,675","1,382","2,453,421,790","1,138","75,643,388",
66200,Farm Animal and Bloodstock Leasing,80,73,"27,782,827",75,"27,295,125",57,"-431,312",
66310,Heavy Machinery and Scaffolding Rental and Hiring,"2,879","2,634","8,457,599,693","2,759","6,128,739,718","2,302","523,706,165",
66320,Video and Other Electronic Media Rental and Hiring,261,230,"133,992,988",247,"124,819,148",198,"5,352,089",
66390,Other Goods and Equipment Rental and Hiring n.e.c.,"4,511","4,094","4,541,379,182","4,328","4,314,868,493","3,393","385,662,741",
66400,Non-Financial Intangible Assets (Except Copyrights) Leasing,502,415,"566,331,481",469,"387,240,264",410,"185,430,174",
67110,Residential Property Operators,"48,291","34,389","3,795,839,208","39,110","3,197,019,348","38,922","559,440,366",
67120,Non-Residential Property Operators,"16,614","15,264","16,575,581,011","15,858","11,471,353,602","13,691","3,737,449,994",
67200,Real Estate Services,"36,283","29,436","14,625,707,480","34,557","12,947,448,473","31,737","1,599,007,234",
69100,Scientific Research Services,"2,877","2,275","2,934,849,006","2,743","3,813,086,958","2,335","-143,450,158",
69210,Architectural Services,"5,753","5,378","3,612,842,994","5,604","3,139,716,459","4,530","479,295,322",
69220,Surveying and Mapping Services,"2,167","2,007","4,406,196,756","2,116","4,350,704,910","1,790","180,734,280",
69230,Engineering Design and Engineering Consulting Services,"22,666","20,384","67,442,085,557","21,816","64,739,687,826","17,716","3,749,520,122",
69240,Other Specialised Design Services,"4,070","3,799","2,287,568,900","3,955","2,094,969,835","3,138","198,734,703",
69250,Scientific Testing and Analysis Services,"1,975","1,792","3,190,488,681","1,926","3,298,093,081","1,551","108,852,596",
69310,Legal Services,"4,886","4,614","5,013,097,077","4,747","5,384,576,623","4,062","729,585,637",
69320,Accounting Services,"11,602","10,728","5,427,445,336","11,082","4,670,077,366","8,924","754,925,793",
69400,Advertising Services,"6,230","5,580","12,651,313,232","5,971","11,221,482,240","4,932","1,821,217,580",
69500,Market Research and Statistical Services,"1,445","1,274","1,679,248,089","1,384","1,538,033,226","1,128","164,422,356",
69610,Corporate Head Office Management Services,962,769,"1,461,863,112",802,"1,586,507,236",709,"211,099,460",
69621,Environmental Management Consultancy,"2,086","1,877","1,437,075,328","2,017","1,353,288,605","1,628","126,864,928",
69622,OHAS Consultancy,"1,113","1,012","322,455,725","1,076","292,594,273",852,"35,810,110",
69629,Management Advice and Related Consulting Services n.e.c.,"43,063","37,362","30,634,307,319","40,326","27,458,073,969","32,391","3,293,359,141",
69700,Veterinary Services,"1,279","1,234","2,049,434,873","1,255","1,852,893,493","1,122","195,635,263",
69910,Professional Photographic Services,"1,770","1,650","540,899,781","1,719","508,923,767","1,328","29,809,384",
69990,"Other Professional, Scientific and Technical Services n.e.c.","2,353","2,110","1,044,583,075","2,257","934,184,814","1,775","148,742,813",
70000,Computer System Design and Related Services,"25,986","22,943","36,427,784,759","25,080","35,646,351,157","20,010","2,602,705,498",
72110,Employment Placement and Recruitment Services,"3,343","3,001","15,478,495,027","3,201","15,223,117,404","2,706","485,951,543",
72120,Labour Supply Services,"3,871","3,551","11,550,440,693","3,709","11,368,308,838","3,005","306,485,842",
72200,Travel Agency and Tour Arrangement Services,"3,925","3,574","11,016,120,523","3,776","10,480,189,234","3,046","565,704,525",
72910,Office Administrative Services,"1,404","1,131","618,218,653","1,190","565,499,714",959,"58,550,147",
72920,Document Preparation Services,137,123,"74,265,495",132,"75,528,444",95,"757,715",
72930,Credit Reporting and Debt Collection Services,485,445,"1,695,755,918",464,"1,399,449,775",378,"257,018,959",
72940,Call Centre Operation,78,74,"212,022,822",74,"201,662,044",64,"10,983,327",
72990,Other Administrative Services n.e.c.,"3,020","2,410","2,366,902,410","2,538","2,197,249,071","2,227","192,925,786",
73110,Building and Other Industrial Cleaning Services,"7,768","7,353","6,096,471,710","7,510","5,822,863,848","5,922","286,715,691",
73120,Building Pest Control Services,"1,214","1,144","794,800,827","1,174","744,399,038",923,"65,015,829",
73130,Gardening Services,"1,682","1,600","673,611,433","1,636","641,960,549","1,276","31,520,227",
73200,Packaging Services,460,430,"1,042,376,333",439,"1,001,644,038",374,"46,276,984",
75100,Central Government Administration,<10,na,"7,159,120",na,"7,985,467",na,"-795,878",
75200,State Government Administration,43,40,"15,113,671",41,"12,026,750",33,"3,208,644",
75300,Local Government Administration,22,17,"3,935,043",18,"3,290,105",15,"569,675",
75400,Justice,44,40,"19,306,867",41,"16,767,671",33,"2,282,392",
75510,Domestic Government Representation,<10,na,"248,885",na,"163,186",na,0,
75520,Foreign Government Representation,27,21,"43,416,862",26,"40,027,207",20,"4,643,788",
76000,Defence,49,45,"1,358,548,191",48,"1,237,672,524",41,"172,449,621",
77110,Police Services,63,59,"4,496,772",60,"3,636,107",49,"1,858,614",
77120,Investigation and Security Services,"3,073","2,803","4,041,626,209","2,937","3,893,824,527","2,378","173,933,425",
77130,Fire Protection and Other Emergency Services,491,462,"778,348,746",477,"732,656,250",416,"34,035,445",
77140,Correctional and Detention Services,<10,na,"1,376,240,868",na,"1,240,253,082",na,"13,487,653",
77190,Other Public Order and Safety Services,373,334,"198,646,003",361,"191,802,824",289,"10,387,840",
77200,Regulatory Services,"5,275","2,659","114,483,084","3,807","91,927,233","3,723","22,756,738",
80100,Preschool Education,261,240,"213,575,248",257,"183,673,740",234,"28,472,363",
80210,Primary Education,15,13,"2,542,454",14,"2,383,265",9,"43,169",
80220,Secondary Education,33,32,"70,399,334",33,"71,140,073",23,"-1,673,204",
80230,Combined Primary and Secondary Education,38,36,"9,374,537",35,"14,908,459",27,"-5,186,059",
80240,Special School Education,79,70,"35,853,517",77,"32,286,226",68,"3,521,022",
81011,Computer Training (Vocational),442,398,"239,534,229",423,"223,015,396",311,"15,509,397",
81019,Technical and Vocational Education and Training n.e.c.,"3,330","3,006","3,608,867,689","3,202","3,320,898,131","2,603","310,416,923",
81020,Higher Education,113,94,"248,626,818",105,"197,264,683",84,"52,130,465",
82110,Sports and Physical Recreation Instruction,"1,743","1,622","522,077,780","1,694","488,032,529","1,292","29,248,777",
82120,Arts Education,431,401,"134,617,440",420,"130,863,094",318,"3,208,239",
82191,Flying School Operation,130,124,"165,310,803",128,"156,818,273",106,"6,452,921",
82199,"Adult, Community and Other Education n.e.c.","3,815","3,424","3,950,938,944","3,665","3,597,554,054","2,969","351,443,420",
82200,Educational Support Services,"1,350","1,208","912,610,358","1,306","755,179,497","1,055","160,020,941",
84010,Hospitals (Except Psychiatric Hospitals),93,83,"5,121,540,117",90,"4,451,109,045",78,"655,755,170",
84020,Psychiatric Hospitals,13,13,"33,970,995",13,"31,804,359",11,"3,827,731",
85110,General Practice Medical Services,"9,787","9,390","5,074,681,580","9,505","4,634,184,375","6,615","440,781,736",
85121,Anaesthetist (Own Account),394,386,"195,647,864",387,"174,308,088",192,"19,549,046",
85122,Specialist Medical Clinic Operation,"1,174","1,123","1,824,090,074","1,146","1,594,034,419",872,"217,808,390",
85123,Dermatologist (Own Account),88,86,"66,616,445",87,"58,183,345",58,"8,929,412",
85124,Gynaecologist and Obstetrician (Own Account),201,196,"146,792,822",197,"130,789,844",128,"16,148,853",
85125,Psychiatrist (Own Account),572,550,"172,646,622",562,"156,956,452",368,"13,662,067",
85129,Specialist Medical Services n.e.c.,"4,324","4,094","4,929,053,297","4,200","4,475,593,049","2,936","583,433,443",
85201,X-Ray Clinic Operation,53,50,"103,529,784",53,"107,070,835",43,"-4,053,860",
85202,Pathologist (Own Account),96,83,"2,410,664,899",93,"2,089,240,832",87,"144,933,599",
85203,Radiologist (Own Account),336,313,"990,514,451",325,"871,490,832",255,"131,939,864",
85209,Other Pathology and Diagnostic Imaging Services,167,149,"957,375,912",158,"925,865,182",137,"47,863,265",
85310,Dental Services,"3,597","3,436","2,819,180,627","3,490","2,495,529,035","2,805","327,979,273",
85320,Optometry and Optical Dispensing,"1,320","1,274","2,649,684,441","1,289","2,514,924,348","1,143","136,721,074",
85330,Physiotherapy Services,"2,023","1,939","1,009,030,019","1,975","910,159,502","1,671","106,182,267",
85340,Chiropractic and Osteopathic Services,"1,525","1,482","475,404,485","1,494","438,430,060","1,169","36,724,024",
85391,Complementary and Alternative Services,"1,204","1,153","284,068,989","1,176","275,006,713",900,"3,492,921",
85399,Other Allied Health Services (Mainstream),"2,828","2,678","1,841,376,086","2,762","1,652,764,396","2,205","181,669,747",
85910,Ambulance Services,24,22,"16,149,252",24,"15,680,459",20,"193,990",
85990,Other Health Care Services n.e.c.,"2,591","2,381","5,464,942,267","2,501","5,243,256,990","1,931","185,532,192",
86011,Retirement Village Operation,226,203,"2,504,423,723",221,"2,308,274,019",194,"166,231,161",
86012,Accommodation for the Aged Operation,256,233,"1,890,176,444",247,"1,649,603,661",214,"96,083,451",
86090,Other Residential Care Services,130,122,"70,961,782",128,"67,305,065",105,"3,548,919",
87100,Child Care Services,"2,152","1,961","3,513,187,793","2,072","3,159,576,202","1,827","395,378,085",
87900,Other Social Assistance Services,719,639,"402,374,177",666,"404,356,797",546,"8,981,395",
89100,Museum Operation,33,26,"18,925,279",31,"17,616,288",23,"-5,509,768",
89210,Zoological and Botanical Gardens Operation,61,56,"235,854,883",59,"223,435,354",47,"-4,267,861",
89220,Nature Reserves and Conservation Parks Operation,136,122,"76,943,679",128,"69,309,981",101,"7,621,443",
90010,Performing Arts Operation,502,466,"432,446,675",487,"410,969,587",379,"9,564,352",
90020,Comedian,77,72,"20,000,329",74,"16,378,416",62,"2,899,803",
90021,Musicians and Entertainers,"1,583","1,474","704,820,939","1,525","562,086,618","1,269","137,548,895",
90029,"Other Creative Artists, Writers and Performers","1,376","1,260","518,127,288","1,344","464,065,618","1,052","54,459,622",
90030,Performing Arts Venue Operation,432,386,"392,880,421",416,"370,004,831",344,"24,258,388",
91110,Health and Fitness Centres and Gymnasia Operation,"3,320","3,090","2,026,357,804","3,232","1,833,651,727","2,512","24,606,807",
91121,Jockeys,12,12,"2,943,988",10,"2,688,329",11,"-5,052",
91122,Professional Basketballers,<10,na,"289,008",na,"332,499",na,"-44,288",
91123,Professional Cricketers,<10,na,"3,835,303",na,"67,237",na,"3,772,096",
91124,Professional Footballers,18,16,"351,299",16,"92,548",16,"261,419",
91126,Professional Sportspersons n.e.c.,166,153,"40,702,041",160,"29,273,250",134,"9,600,056",
91129,Sports and Physical Recreation Clubs n.e.c.,254,234,"217,930,487",243,"234,629,107",182,"-5,851,355",
91131,Squash and Tennis Court Operation,85,83,"27,283,703",83,"26,978,705",65,"246,973",
91139,"Sports and Physical Recreation Venues, Grounds and Facilities Operation n.e.c.",664,610,"650,331,787",641,"662,922,596",522,"12,286,468",
91140,Sports and Physical Recreation Administrative Service,528,472,"497,597,656",506,"503,801,581",408,"-13,499,652",
