Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"LGA",
"Nannup (S)",242,152,3,113,13,0,11,59,236,824,
"Narembeen (S)",151,54,4,61,20,0,5,39,91,419,
"Narrogin (S)",623,553,6,542,37,11,8,236,287,2310,
"Nedlands (C)",3173,2204,9,1507,74,84,26,353,922,8353,
"Ngaanyatjarraku (S)",18,0,0,294,61,0,10,87,99,578,
"Northam (S)",1338,1412,14,993,54,8,22,415,746,5002,
"Northampton (S)",885,300,7,377,59,11,27,319,636,2613,
"Nungarin (S)",50,15,0,30,10,0,0,5,27,130,
"Peppermint Grove (S)",254,123,0,113,8,0,4,46,67,614,
"Perenjori (S)",91,36,0,39,18,0,4,18,56,261,
"Perth (C)",1282,1810,30,5637,115,19,36,1952,2535,13415,
"Pingelly (S)",206,116,3,99,26,0,3,55,112,613,
"Plantagenet (S)",791,592,3,370,74,7,14,202,407,2463,
"Port Hedland (T)",377,433,8,3286,259,3,49,1072,2184,7662,
"Quairading (S)",211,69,0,80,30,0,0,62,83,539,
"Ravensthorpe (S)",236,117,0,225,35,0,4,99,506,1228,
"Rockingham (C)",10015,20158,204,10908,240,192,111,3397,5709,50929,
"Sandstone (S)",25,4,0,3,12,0,0,11,33,87,
"Serpentine-Jarrahdale (S)",1833,5241,41,1075,83,5,29,544,774,9623,
"Shark Bay (S)",452,68,0,212,46,3,13,138,160,1092,
"South Perth (C)",5111,4664,19,5943,224,179,78,1372,2632,20231,
"Stirling (C)",24321,27812,240,26164,706,557,272,6358,10193,96610,
"Subiaco (C)",2269,1786,17,3531,94,132,32,657,1356,9866,
"Swan (C)",9865,23586,318,9597,324,59,153,3245,4272,51418,
"Tammin (S)",61,31,6,29,12,0,5,23,49,204,
"Three Springs (S)",93,41,0,63,24,5,7,21,77,316,
"Toodyay (S)",720,734,0,210,30,3,10,217,449,2370,
"Trayning (S)",71,18,0,29,15,0,0,31,50,217,
"Upper Gascoyne (S)",37,3,0,34,18,0,3,30,29,148,
"Victoria Park (T)",2851,4011,27,6002,128,258,50,1412,2212,16949,
"Victoria Plains (S)",150,69,0,78,39,0,5,26,111,476,
"Vincent (C)",3205,4333,10,5440,112,62,53,1420,2198,16841,
"Wagin (S)",315,216,0,154,22,0,4,91,145,948,
"Wandering (S)",78,51,0,21,19,0,4,24,33,227,
"Wanneroo (C)",12056,33319,354,13675,346,644,207,4102,5654,70352,
"Waroona (S)",553,531,5,277,34,16,0,187,458,2058,
"West Arthur (S)",171,63,0,66,30,0,0,37,107,473,
"Westonia (S)",47,13,0,19,9,0,0,17,28,131,
"Wickepin (S)",136,58,0,46,12,0,5,29,99,397,
"Williams (S)",152,90,0,66,30,3,3,31,80,463,
"Wiluna (S)",35,3,0,55,34,0,6,40,70,243,
"Wongan-Ballidu (S)",236,132,0,150,35,0,7,24,177,761,
"Woodanilling (S)",69,41,0,19,14,0,0,12,38,204,
"Wyalkatchem (S)",103,40,0,57,8,0,0,45,69,318,
"Wyndham-East Kimberley (S)",892,399,0,1424,136,10,49,612,632,4149,
"Yalgoo (S)",17,8,0,21,5,0,4,23,24,102,
"Yilgarn (S)",189,94,0,105,36,0,4,64,217,699,
"York (S)",636,426,7,261,33,11,9,178,372,1928,
"Migratory - Offshore - Shipping (WA)",0,0,0,0,0,0,0,0,154,154,
"Total",256084,343205,3018,240450,11037,5958,3982,74352,135628,1073719,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
