            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Total Income, 2011-16 Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,,,,
20570,Ballarat (C)," 49,501 "," 50,277 "," 50,627 "," 51,629 "," 52,840 "," 53,932 ", 42 , 42 , 42 , 42 , 43 , 43 ," 2,270,000,000 "," 2,430,000,000 "," 2,540,000,000 "," 2,650,000,000 "," 2,790,000,000 "," 2,930,000,000 "," 38,574 "," 40,244 "," 41,752 "," 42,779 "," 43,852 "," 44,953 "," 45,799 "," 48,258 "," 50,174 "," 51,368 "," 52,709 "," 54,393 ",,,,
20660,Banyule (C)," 68,777 "," 68,876 "," 69,051 "," 69,751 "," 71,103 "," 72,824 ", 42 , 43 , 43 , 43 , 44 , 43 ," 3,850,000,000 "," 4,020,000,000 "," 4,160,000,000 "," 4,320,000,000 "," 4,570,000,000 "," 4,790,000,000 "," 44,072 "," 46,039 "," 47,550 "," 48,836 "," 50,400 "," 51,515 "," 55,947 "," 58,386 "," 60,312 "," 61,870 "," 64,275 "," 65,721 ",,,,
20740,Bass Coast (S)," 15,177 "," 15,292 "," 15,520 "," 15,849 "," 16,384 "," 16,986 ", 47 , 48 , 48 , 48 , 48 , 49 ," 620,000,000 "," 647,000,000 "," 634,000,000 "," 669,000,000 "," 722,000,000 "," 757,000,000 "," 32,355 "," 33,513 "," 32,944 "," 34,051 "," 35,605 "," 35,998 "," 40,864 "," 42,322 "," 40,847 "," 42,224 "," 44,061 "," 44,549 ",,,,
20830,Baw Baw (S)," 23,749 "," 24,163 "," 24,544 "," 25,139 "," 25,859 "," 26,913 ", 45 , 45 , 45 , 46 , 46 , 46 ," 1,060,000,000 "," 1,130,000,000 "," 1,150,000,000 "," 1,240,000,000 "," 1,310,000,000 "," 1,370,000,000 "," 36,939 "," 38,067 "," 38,514 "," 40,483 "," 41,353 "," 41,961 "," 44,794 "," 46,667 "," 47,000 "," 49,344 "," 50,748 "," 51,058 ",,,,
20910,Bayside (C)," 56,236 "," 57,346 "," 58,202 "," 59,596 "," 61,557 "," 62,817 ", 47 , 47 , 48 , 48 , 48 , 48 ," 4,770,000,000 "," 5,050,000,000 "," 5,260,000,000 "," 5,670,000,000 "," 5,980,000,000 "," 6,230,000,000 "," 49,640 "," 52,228 "," 53,880 "," 55,569 "," 57,355 "," 58,909 "," 84,885 "," 88,051 "," 90,428 "," 95,108 "," 97,137 "," 99,195 ",,,,
21010,Benalla (RC)," 7,549 "," 7,542 "," 7,480 "," 7,391 "," 7,491 "," 7,438 ", 48 , 49 , 49 , 50 , 50 , 50 ," 298,000,000 "," 308,000,000 "," 315,000,000 "," 321,000,000 "," 331,000,000 "," 338,000,000 "," 34,378 "," 36,210 "," 36,536 "," 37,229 "," 37,449 "," 38,821 "," 39,482 "," 40,802 "," 42,132 "," 43,466 "," 44,183 "," 45,470 ",,,,
21110,Boroondara (C)," 100,533 "," 101,723 "," 102,944 "," 104,451 "," 107,148 "," 109,911 ", 44 , 45 , 45 , 45 , 45 , 45 ," 8,330,000,000 "," 8,810,000,000 "," 9,150,000,000 "," 9,670,000,000 "," 10,000,000,000 "," 10,500,000,000 "," 49,342 "," 51,548 "," 53,693 "," 55,069 "," 56,451 "," 57,306 "," 82,849 "," 86,633 "," 88,928 "," 92,562 "," 93,643 "," 95,770 ",,,,
21180,Brimbank (C)," 90,768 "," 91,137 "," 91,177 "," 93,047 "," 96,330 "," 99,557 ", 38 , 39 , 39 , 39 , 39 , 39 ," 3,880,000,000 "," 4,060,000,000 "," 4,200,000,000 "," 4,350,000,000 "," 4,580,000,000 "," 4,840,000,000 "," 38,289 "," 39,888 "," 41,045 "," 41,599 "," 42,123 "," 42,978 "," 42,711 "," 44,590 "," 46,043 "," 46,786 "," 47,561 "," 48,627 ",,,,
21270,Buloke (S)," 3,616 "," 3,638 "," 3,590 "," 3,544 "," 3,535 "," 3,382 ", 49 , 49 , 50 , 50 , 51 , 51 ," 144,000,000 "," 147,000,000 "," 162,000,000 "," 150,000,000 "," 124,000,000 "," 116,000,000 "," 32,335 "," 33,875 "," 35,261 "," 34,643 "," 29,397 "," 28,980 "," 39,730 "," 40,296 "," 45,248 "," 42,303 "," 35,168 "," 34,346 ",,,,
21370,Campaspe (S)," 19,794 "," 20,066 "," 19,907 "," 20,181 "," 20,655 "," 20,822 ", 45 , 46 , 46 , 46 , 46 , 46 ," 763,000,000 "," 836,000,000 "," 841,000,000 "," 906,000,000 "," 962,000,000 "," 946,000,000 "," 33,419 "," 35,836 "," 36,792 "," 38,676 "," 40,081 "," 39,782 "," 38,537 "," 41,685 "," 42,257 "," 44,869 "," 46,582 "," 45,443 ",,,,
21450,Cardinia (S)," 40,629 "," 42,901 "," 44,346 "," 46,356 "," 49,198 "," 52,004 ", 40 , 41 , 41 , 41 , 41 , 40 ," 1,910,000,000 "," 2,110,000,000 "," 2,250,000,000 "," 2,400,000,000 "," 2,620,000,000 "," 2,830,000,000 "," 40,640 "," 42,257 "," 43,599 "," 44,716 "," 46,041 "," 47,316 "," 47,132 "," 49,242 "," 50,683 "," 51,782 "," 53,216 "," 54,332 ",,,,
21610,Casey (C)," 134,484 "," 137,365 "," 140,427 "," 146,508 "," 153,331 "," 161,779 ", 40 , 40 , 40 , 40 , 40 , 40 ," 6,280,000,000 "," 6,680,000,000 "," 7,010,000,000 "," 7,450,000,000 "," 7,930,000,000 "," 8,570,000,000 "," 41,153 "," 42,665 "," 44,037 "," 44,833 "," 45,726 "," 46,719 "," 46,667 "," 48,621 "," 49,897 "," 50,822 "," 51,733 "," 52,989 ",,,,
21670,Central Goldfields (S)," 5,580 "," 5,599 "," 5,659 "," 5,600 "," 5,653 "," 5,607 ", 47 , 47 , 48 , 48 , 48 , 48 ," 196,000,000 "," 208,000,000 "," 217,000,000 "," 218,000,000 "," 224,000,000 "," 224,000,000 "," 30,358 "," 32,370 "," 33,898 "," 35,181 "," 35,590 "," 35,144 "," 35,105 "," 37,202 "," 38,357 "," 38,994 "," 39,612 "," 40,020 ",,,,
21750,Colac-Otway (S)," 12,082 "," 12,051 "," 12,034 "," 12,057 "," 12,222 "," 12,418 ", 45 , 46 , 46 , 46 , 46 , 46 ," 480,000,000 "," 500,000,000 "," 491,000,000 "," 527,000,000 "," 547,000,000 "," 567,000,000 "," 34,368 "," 35,851 "," 35,636 "," 37,530 "," 38,634 "," 39,721 "," 39,690 "," 41,464 "," 40,797 "," 43,679 "," 44,759 "," 45,677 ",,,,
21830,Corangamite (S)," 9,174 "," 9,245 "," 9,138 "," 9,204 "," 9,312 "," 9,090 ", 47 , 47 , 47 , 48 , 48 , 48 ," 374,000,000 "," 387,000,000 "," 341,000,000 "," 425,000,000 "," 439,000,000 "," 401,000,000 "," 34,742 "," 35,615 "," 32,413 "," 38,371 "," 39,657 "," 37,852 "," 40,755 "," 41,851 "," 37,335 "," 46,198 "," 47,152 "," 44,116 ",,,,
21890,Darebin (C)," 71,900 "," 72,901 "," 74,143 "," 75,882 "," 78,669 "," 81,790 ", 38 , 38 , 39 , 39 , 39 , 38 ," 3,620,000,000 "," 3,860,000,000 "," 4,050,000,000 "," 4,250,000,000 "," 4,550,000,000 "," 4,870,000,000 "," 41,385 "," 43,311 "," 44,838 "," 45,812 "," 47,153 "," 48,679 "," 50,397 "," 52,965 "," 54,685 "," 56,064 "," 57,820 "," 59,598 ",,,,
22110,East Gippsland (S)," 22,362 "," 22,458 "," 22,423 "," 22,730 "," 23,006 "," 23,136 ", 49 , 49 , 49 , 49 , 49 , 50 ," 869,000,000 "," 907,000,000 "," 934,000,000 "," 983,000,000 "," 1,020,000,000 "," 1,040,000,000 "," 31,769 "," 33,066 "," 34,232 "," 35,309 "," 36,706 "," 37,018 "," 38,877 "," 40,366 "," 41,663 "," 43,225 "," 44,494 "," 44,876 ",,,,
22170,Frankston (C)," 68,823 "," 69,959 "," 70,048 "," 71,210 "," 73,181 "," 74,898 ", 41 , 41 , 42 , 42 , 42 , 42 ," 3,150,000,000 "," 3,340,000,000 "," 3,460,000,000 "," 3,600,000,000 "," 3,820,000,000 "," 4,040,000,000 "," 40,235 "," 41,874 "," 43,217 "," 44,371 "," 45,704 "," 47,260 "," 45,814 "," 47,717 "," 49,419 "," 50,591 "," 52,171 "," 53,979 ",,,,
22250,Gannawarra (S)," 5,685 "," 5,691 "," 5,588 "," 5,625 "," 5,740 "," 5,600 ", 48 , 49 , 49 , 49 , 49 , 49 ," 197,000,000 "," 214,000,000 "," 220,000,000 "," 232,000,000 "," 240,000,000 "," 226,000,000 "," 29,466 "," 33,116 "," 34,224 "," 36,351 "," 36,970 "," 35,804 "," 34,666 "," 37,602 "," 39,281 "," 41,327 "," 41,849 "," 40,388 ",,,,
22310,Glen Eira (C)," 78,406 "," 79,937 "," 81,106 "," 82,642 "," 84,886 "," 86,962 ", 41 , 42 , 42 , 43 , 43 , 42 ," 4,790,000,000 "," 5,130,000,000 "," 5,430,000,000 "," 5,760,000,000 "," 6,080,000,000 "," 6,390,000,000 "," 44,594 "," 46,881 "," 49,300 "," 50,588 "," 51,971 "," 53,099 "," 61,096 "," 64,171 "," 66,987 "," 69,739 "," 71,635 "," 73,518 ",,,,
22410,Glenelg (S)," 10,779 "," 10,726 "," 10,527 "," 10,545 "," 10,599 "," 10,535 ", 46 , 46 , 47 , 47 , 48 , 48 ," 484,000,000 "," 504,000,000 "," 483,000,000 "," 510,000,000 "," 539,000,000 "," 546,000,000 "," 37,272 "," 38,840 "," 37,408 "," 39,694 "," 41,437 "," 42,409 "," 44,945 "," 47,014 "," 45,862 "," 48,407 "," 50,878 "," 51,827 ",,,,
22490,Golden Plains (S)," 10,457 "," 10,792 "," 11,144 "," 11,410 "," 11,925 "," 12,145 ", 44 , 44 , 44 , 44 , 44 , 44 ," 463,000,000 "," 506,000,000 "," 537,000,000 "," 570,000,000 "," 611,000,000 "," 643,000,000 "," 38,827 "," 40,338 "," 41,594 "," 42,933 "," 44,314 "," 45,217 "," 44,319 "," 46,927 "," 48,197 "," 49,916 "," 51,278 "," 52,940 ",,,,
22620,Greater Bendigo (C)," 54,629 "," 55,518 "," 55,794 "," 56,605 "," 58,375 "," 59,396 ", 43 , 43 , 43 , 44 , 44 , 44 ," 2,390,000,000 "," 2,560,000,000 "," 2,680,000,000 "," 2,790,000,000 "," 2,980,000,000 "," 3,080,000,000 "," 37,518 "," 39,450 "," 40,894 "," 41,878 "," 43,191 "," 44,261 "," 43,793 "," 46,194 "," 48,046 "," 49,243 "," 51,028 "," 51,879 ",,,,
22670,Greater Dandenong (C)," 65,071 "," 66,075 "," 66,428 "," 68,301 "," 71,582 "," 75,264 ", 38 , 38 , 39 , 39 , 38 , 38 ," 2,500,000,000 "," 2,650,000,000 "," 2,770,000,000 "," 2,900,000,000 "," 3,120,000,000 "," 3,330,000,000 "," 35,052 "," 36,584 "," 37,724 "," 38,429 "," 39,273 "," 39,845 "," 38,439 "," 40,151 "," 41,693 "," 42,402 "," 43,523 "," 44,286 ",,,,
22750,Greater Geelong (C)," 115,914 "," 117,325 "," 118,036 "," 120,583 "," 124,454 "," 127,878 ", 43 , 43 , 43 , 43 , 43 , 43 ," 5,630,000,000 "," 5,890,000,000 "," 6,130,000,000 "," 6,440,000,000 "," 6,840,000,000 "," 7,140,000,000 "," 38,925 "," 40,904 "," 42,365 "," 43,176 "," 44,227 "," 45,141 "," 48,559 "," 50,229 "," 51,926 "," 53,384 "," 54,937 "," 55,829 ",,,,
22830,Greater Shepparton (C)," 33,310 "," 33,656 "," 33,563 "," 33,861 "," 34,765 "," 35,175 ", 43 , 43 , 43 , 44 , 43 , 43 ," 1,370,000,000 "," 1,460,000,000 "," 1,500,000,000 "," 1,570,000,000 "," 1,660,000,000 "," 1,700,000,000 "," 35,442 "," 37,328 "," 38,217 "," 39,787 "," 41,062 "," 41,806 "," 41,180 "," 43,235 "," 44,568 "," 46,309 "," 47,691 "," 48,405 ",,,,
22910,Hepburn (S)," 7,458 "," 7,633 "," 7,746 "," 7,908 "," 8,093 "," 8,084 ", 48 , 48 , 49 , 49 , 49 , 49 ," 306,000,000 "," 327,000,000 "," 342,000,000 "," 357,000,000 "," 374,000,000 "," 386,000,000 "," 32,720 "," 34,239 "," 35,332 "," 35,858 "," 37,067 "," 37,838 "," 41,020 "," 42,889 "," 44,134 "," 45,117 "," 46,187 "," 47,711 ",,,,
22980,Hindmarsh (S)," 3,133 "," 3,201 "," 3,139 "," 3,116 "," 3,092 "," 2,983 ", 49 , 49 , 49 , 50 , 50 , 50 ," 143,000,000 "," 136,000,000 "," 135,000,000 "," 161,000,000 "," 148,000,000 "," 116,000,000 "," 36,565 "," 36,620 "," 36,161 "," 41,245 "," 39,860 "," 36,147 "," 45,582 "," 42,475 "," 42,985 "," 51,524 "," 47,925 "," 38,828 ",,,,
23110,Hobsons Bay (C)," 45,871 "," 46,388 "," 46,703 "," 48,017 "," 49,170 "," 50,281 ", 41 , 41 , 41 , 42 , 42 , 41 ," 2,490,000,000 "," 2,650,000,000 "," 2,780,000,000 "," 2,940,000,000 "," 3,110,000,000 "," 3,310,000,000 "," 44,515 "," 46,824 "," 48,966 "," 50,034 "," 51,621 "," 53,505 "," 54,277 "," 57,082 "," 59,588 "," 61,144 "," 63,290 "," 65,766 ",,,,
23190,Horsham (RC)," 11,197 "," 11,386 "," 11,348 "," 11,500 "," 11,560 "," 11,642 ", 45 , 45 , 45 , 45 , 46 , 46 ," 479,000,000 "," 503,000,000 "," 535,000,000 "," 571,000,000 "," 544,000,000 "," 533,000,000 "," 37,099 "," 38,594 "," 40,065 "," 41,807 "," 41,185 "," 41,072 "," 42,799 "," 44,201 "," 47,165 "," 49,623 "," 47,085 "," 45,744 ",,,,
23270,Hume (C)," 81,625 "," 83,203 "," 85,019 "," 88,429 "," 92,704 "," 96,993 ", 39 , 40 , 40 , 40 , 39 , 39 ," 3,690,000,000 "," 3,920,000,000 "," 4,140,000,000 "," 4,360,000,000 "," 4,660,000,000 "," 5,000,000,000 "," 40,000 "," 41,564 "," 42,871 "," 43,381 "," 44,084 "," 45,331 "," 45,183 "," 47,058 "," 48,699 "," 49,343 "," 50,228 "," 51,585 ",,,,
23350,Indigo (S)," 8,769 "," 8,913 "," 8,983 "," 9,189 "," 9,369 "," 9,470 ", 47 , 48 , 48 , 49 , 48 , 48 ," 388,000,000 "," 403,000,000 "," 415,000,000 "," 442,000,000 "," 471,000,000 "," 480,000,000 "," 37,885 "," 39,051 "," 40,159 "," 41,225 "," 43,281 "," 44,465 "," 44,259 "," 45,264 "," 46,187 "," 48,132 "," 50,260 "," 50,730 ",,,,
23430,Kingston (C) (Vic.)," 82,446 "," 83,314 "," 83,971 "," 85,658 "," 87,723 "," 89,217 ", 42 , 42 , 43 , 43 , 43 , 43 ," 4,220,000,000 "," 4,430,000,000 "," 4,640,000,000 "," 4,870,000,000 "," 5,130,000,000 "," 5,380,000,000 "," 42,174 "," 43,945 "," 45,681 "," 46,765 "," 48,063 "," 49,506 "," 51,193 "," 53,192 "," 55,311 "," 56,863 "," 58,501 "," 60,309 ",,,,
23670,Knox (C)," 88,493 "," 88,950 "," 88,694 "," 89,546 "," 91,153 "," 92,522 ", 42 , 43 , 43 , 43 , 43 , 43 ," 4,290,000,000 "," 4,480,000,000 "," 4,610,000,000 "," 4,750,000,000 "," 4,940,000,000 "," 5,130,000,000 "," 41,567 "," 43,092 "," 44,268 "," 45,213 "," 46,226 "," 47,258 "," 48,435 "," 50,400 "," 51,983 "," 52,997 "," 54,175 "," 55,495 ",,,,
23810,Latrobe (C) (Vic.)," 37,030 "," 36,943 "," 36,302 "," 36,521 "," 37,023 "," 36,880 ", 42 , 43 , 44 , 44 , 44 , 44 ," 1,860,000,000 "," 1,930,000,000 "," 1,970,000,000 "," 2,040,000,000 "," 2,140,000,000 "," 2,160,000,000 "," 39,812 "," 41,461 "," 42,920 "," 43,967 "," 45,400 "," 46,527 "," 50,349 "," 52,368 "," 54,392 "," 55,813 "," 57,741 "," 58,647 ",,,,
23940,Loddon (S)," 3,730 "," 3,767 "," 3,786 "," 3,762 "," 3,799 "," 3,612 ", 50 , 50 , 50 , 50 , 51 , 51 ," 127,000,000 "," 135,000,000 "," 149,000,000 "," 150,000,000 "," 158,000,000 "," 135,000,000 "," 28,131 "," 30,081 "," 33,427 "," 33,680 "," 34,351 "," 30,965 "," 33,987 "," 35,733 "," 39,438 "," 39,770 "," 41,535 "," 37,264 ",,,,
24130,Macedon Ranges (S)," 23,985 "," 24,592 "," 25,009 "," 25,695 "," 26,346 "," 26,711 ", 45 , 45 , 46 , 46 , 46 , 46 ," 1,270,000,000 "," 1,360,000,000 "," 1,420,000,000 "," 1,520,000,000 "," 1,600,000,000 "," 1,660,000,000 "," 41,518 "," 43,510 "," 44,166 "," 45,522 "," 47,135 "," 48,734 "," 53,119 "," 55,310 "," 56,659 "," 59,097 "," 60,678 "," 62,307 ",,,,
24210,Manningham (C)," 67,738 "," 68,380 "," 68,639 "," 69,166 "," 70,589 "," 71,403 ", 46 , 46 , 47 , 47 , 47 , 47 ," 3,870,000,000 "," 4,050,000,000 "," 4,190,000,000 "," 4,320,000,000 "," 4,500,000,000 "," 4,650,000,000 "," 39,900 "," 41,465 "," 42,971 "," 43,403 "," 44,288 "," 45,208 "," 57,183 "," 59,266 "," 61,069 "," 62,522 "," 63,703 "," 65,099 ",,,,
24250,Mansfield (S)," 4,476 "," 4,564 "," 4,632 "," 4,724 "," 4,827 "," 4,907 ", 49 , 49 , 49 , 50 , 50 , 50 ," 172,000,000 "," 179,000,000 "," 185,000,000 "," 194,000,000 "," 208,000,000 "," 219,000,000 "," 30,312 "," 31,308 "," 31,787 "," 32,333 "," 33,443 "," 34,811 "," 38,328 "," 39,279 "," 39,911 "," 41,031 "," 43,138 "," 44,666 ",,,,
24330,Maribyrnong (C)," 38,673 "," 40,047 "," 41,264 "," 42,855 "," 45,175 "," 47,414 ", 36 , 36 , 36 , 36 , 36 , 36 ," 1,940,000,000 "," 2,120,000,000 "," 2,270,000,000 "," 2,400,000,000 "," 2,610,000,000 "," 2,810,000,000 "," 42,387 "," 44,891 "," 46,544 "," 47,362 "," 48,594 "," 49,523 "," 50,161 "," 52,824 "," 55,066 "," 56,097 "," 57,698 "," 59,248 ",,,,
24410,Maroondah (C)," 60,064 "," 60,618 "," 60,784 "," 61,859 "," 63,406 "," 64,889 ", 42 , 43 , 43 , 43 , 43 , 43 ," 2,950,000,000 "," 3,100,000,000 "," 3,220,000,000 "," 3,360,000,000 "," 3,540,000,000 "," 3,710,000,000 "," 41,694 "," 43,485 "," 44,991 "," 45,859 "," 47,198 "," 48,386 "," 49,186 "," 51,202 "," 53,045 "," 54,345 "," 55,791 "," 57,194 ",,,,
24600,Melbourne (C)," 54,361 "," 58,003 "," 62,723 "," 66,318 "," 72,498 "," 78,681 ", 31 , 31 , 31 , 31 , 32 , 32 ," 3,660,000,000 "," 3,860,000,000 "," 4,240,000,000 "," 4,680,000,000 "," 5,010,000,000 "," 5,520,000,000 "," 44,649 "," 45,937 "," 47,005 "," 47,829 "," 47,334 "," 47,273 "," 67,381 "," 66,592 "," 67,542 "," 70,543 "," 69,071 "," 70,094 ",,,,
24650,Melton (C)," 56,387 "," 58,544 "," 60,192 "," 62,785 "," 66,163 "," 69,110 ", 38 , 38 , 39 , 39 , 39 , 39 ," 2,680,000,000 "," 2,910,000,000 "," 3,090,000,000 "," 3,280,000,000 "," 3,530,000,000 "," 3,790,000,000 "," 43,473 "," 45,000 "," 46,306 "," 47,021 "," 48,080 "," 49,402 "," 47,512 "," 49,694 "," 51,409 "," 52,249 "," 53,324 "," 54,876 ",,,,
24780,Mildura (RC)," 26,772 "," 27,365 "," 27,475 "," 28,176 "," 28,521 "," 29,024 ", 43 , 43 , 44 , 43 , 44 , 44 ," 1,070,000,000 "," 1,150,000,000 "," 1,210,000,000 "," 1,270,000,000 "," 1,330,000,000 "," 1,390,000,000 "," 34,644 "," 36,695 "," 38,097 "," 39,241 "," 40,523 "," 41,184 "," 39,953 "," 41,939 "," 43,928 "," 45,202 "," 46,650 "," 47,926 ",,,,
24850,Mitchell (S)," 18,061 "," 18,627 "," 19,056 "," 19,972 "," 20,650 "," 21,358 ", 42 , 43 , 43 , 43 , 43 , 43 ," 831,000,000 "," 905,000,000 "," 953,000,000 "," 1,020,000,000 "," 1,080,000,000 "," 1,140,000,000 "," 40,175 "," 42,406 "," 43,912 "," 44,612 "," 46,233 "," 47,325 "," 46,029 "," 48,592 "," 50,021 "," 50,928 "," 52,400 "," 53,408 ",,,,
24900,Moira (S)," 14,674 "," 14,830 "," 14,806 "," 14,927 "," 15,258 "," 15,410 ", 46 , 46 , 46 , 47 , 47 , 47 ," 547,000,000 "," 588,000,000 "," 606,000,000 "," 652,000,000 "," 692,000,000 "," 678,000,000 "," 31,731 "," 34,222 "," 35,558 "," 37,281 "," 38,317 "," 38,265 "," 37,263 "," 39,643 "," 40,900 "," 43,646 "," 45,322 "," 44,027 ",,,,
24970,Monash (C)," 97,090 "," 98,003 "," 98,647 "," 99,802 "," 101,731 "," 102,911 ", 42 , 43 , 43 , 43 , 43 , 43 ," 4,830,000,000 "," 5,100,000,000 "," 5,350,000,000 "," 5,560,000,000 "," 5,790,000,000 "," 6,000,000,000 "," 38,414 "," 40,404 "," 42,029 "," 43,047 "," 44,205 "," 44,817 "," 49,766 "," 52,011 "," 54,247 "," 55,688 "," 56,953 "," 58,286 ",,,,
25060,Moonee Valley (C)," 62,024 "," 62,659 "," 63,477 "," 65,165 "," 67,621 "," 69,124 ", 41 , 41 , 42 , 42 , 42 , 42 ," 3,620,000,000 "," 3,840,000,000 "," 4,040,000,000 "," 4,250,000,000 "," 4,530,000,000 "," 4,790,000,000 "," 45,855 "," 48,304 "," 49,892 "," 50,811 "," 52,289 "," 53,959 "," 58,404 "," 61,271 "," 63,628 "," 65,234 "," 67,036 "," 69,316 ",,,,
25150,Moorabool (S)," 15,247 "," 15,844 "," 16,152 "," 16,660 "," 17,314 "," 17,539 ", 43 , 44 , 44 , 44 , 44 , 44 ," 732,000,000 "," 796,000,000 "," 850,000,000 "," 890,000,000 "," 961,000,000 "," 998,000,000 "," 40,961 "," 43,641 "," 44,775 "," 45,869 "," 47,385 "," 48,582 "," 47,998 "," 50,233 "," 52,610 "," 53,399 "," 55,481 "," 56,903 ",,,,
25250,Moreland (C)," 78,786 "," 80,683 "," 83,007 "," 85,607 "," 89,403 "," 92,396 ", 37 , 37 , 37 , 37 , 37 , 37 ," 3,880,000,000 "," 4,170,000,000 "," 4,460,000,000 "," 4,680,000,000 "," 5,060,000,000 "," 5,410,000,000 "," 41,513 "," 43,557 "," 45,223 "," 45,834 "," 47,327 "," 49,012 "," 49,203 "," 51,666 "," 53,748 "," 54,614 "," 56,582 "," 58,512 ",,,,
25340,Mornington Peninsula (S)," 80,821 "," 81,438 "," 82,168 "," 84,399 "," 87,338 "," 88,691 ", 46 , 47 , 47 , 47 , 47 , 48 ," 3,970,000,000 "," 4,200,000,000 "," 4,380,000,000 "," 4,660,000,000 "," 4,970,000,000 "," 5,250,000,000 "," 36,826 "," 38,347 "," 39,518 "," 40,529 "," 42,104 "," 43,223 "," 49,108 "," 51,518 "," 53,281 "," 55,238 "," 56,915 "," 59,164 ",,,,
25430,Mount Alexander (S)," 9,145 "," 9,326 "," 9,336 "," 9,569 "," 9,707 "," 9,649 ", 49 , 49 , 49 , 50 , 50 , 50 ," 366,000,000 "," 390,000,000 "," 405,000,000 "," 416,000,000 "," 435,000,000 "," 444,000,000 "," 33,288 "," 35,020 "," 35,878 "," 36,936 "," 37,342 "," 38,383 "," 40,070 "," 41,791 "," 43,430 "," 43,457 "," 44,834 "," 45,996 ",,,,
25490,Moyne (S)," 9,345 "," 9,477 "," 9,435 "," 9,541 "," 9,818 "," 9,652 ", 46 , 46 , 46 , 46 , 46 , 47 ," 416,000,000 "," 415,000,000 "," 384,000,000 "," 443,000,000 "," 477,000,000 "," 472,000,000 "," 36,173 "," 36,826 "," 34,911 "," 38,614 "," 40,288 "," 41,085 "," 44,530 "," 43,747 "," 40,660 "," 46,476 "," 48,581 "," 48,930 ",,,,
25620,Murrindindi (S)," 7,284 "," 7,267 "," 7,353 "," 7,441 "," 7,600 "," 7,733 ", 47 , 48 , 48 , 48 , 48 , 49 ," 292,000,000 "," 300,000,000 "," 311,000,000 "," 318,000,000 "," 342,000,000 "," 359,000,000 "," 32,709 "," 34,647 "," 35,315 "," 35,895 "," 37,269 "," 37,674 "," 40,031 "," 41,317 "," 42,323 "," 42,790 "," 44,945 "," 46,452 ",,,,
25710,Nillumbik (S)," 37,539 "," 37,818 "," 37,815 "," 38,102 "," 38,832 "," 39,096 ", 45 , 45 , 45 , 46 , 46 , 46 ," 2,220,000,000 "," 2,330,000,000 "," 2,410,000,000 "," 2,470,000,000 "," 2,570,000,000 "," 2,670,000,000 "," 45,123 "," 46,925 "," 48,285 "," 49,437 "," 50,750 "," 52,439 "," 59,250 "," 61,607 "," 63,696 "," 64,772 "," 66,142 "," 68,328 ",,,,
25810,Northern Grampians (S)," 6,384 "," 6,382 "," 6,273 "," 6,263 "," 6,294 "," 6,132 ", 47 , 47 , 48 , 48 , 48 , 48 ," 258,000,000 "," 270,000,000 "," 269,000,000 "," 276,000,000 "," 278,000,000 "," 266,000,000 "," 34,580 "," 36,617 "," 36,896 "," 37,948 "," 37,539 "," 37,933 "," 40,384 "," 42,365 "," 42,829 "," 44,072 "," 44,123 "," 43,456 ",,,,
25900,Port Phillip (C)," 59,483 "," 61,011 "," 63,418 "," 65,632 "," 68,392 "," 68,478 ", 36 , 36 , 37 , 37 , 37 , 37 ," 4,480,000,000 "," 4,800,000,000 "," 5,090,000,000 "," 5,430,000,000 "," 5,740,000,000 "," 5,920,000,000 "," 52,852 "," 55,255 "," 57,033 "," 57,470 "," 58,898 "," 60,274 "," 75,289 "," 78,625 "," 80,212 "," 82,723 "," 83,954 "," 86,399 ",,,,
25990,Pyrenees (S)," 3,313 "," 3,374 "," 3,365 "," 3,389 "," 3,416 "," 3,406 ", 49 , 49 , 49 , 49 , 50 , 50 ," 114,000,000 "," 121,000,000 "," 122,000,000 "," 130,000,000 "," 140,000,000 "," 151,000,000 "," 28,994 "," 30,453 "," 31,370 "," 32,497 "," 35,325 "," 35,452 "," 34,449 "," 35,901 "," 36,188 "," 38,212 "," 40,976 "," 44,444 ",,,,
26080,Queenscliffe (B)," 1,957 "," 1,939 "," 1,889 "," 1,914 "," 1,898 "," 1,867 ", 56 , 56 , 57 , 58 , 58 , 59 ," 98,453,078 "," 105,000,000 "," 109,000,000 "," 113,000,000 "," 108,000,000 "," 110,000,000 "," 32,251 "," 34,768 "," 35,200 "," 36,757 "," 39,762 "," 40,086 "," 50,308 "," 54,357 "," 57,701 "," 58,875 "," 57,144 "," 59,140 ",,,,
