            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates of Personal Income for Small Areas, 2011-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11:30 am (Canberra time) Tuesday 19 June 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 5 ESTIMATES OF PERSONAL INCOME, Total Income, 2011-16 Local Government Area (a)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earners (persons),,,,,,Median age of earners (years),,,,,,Income ($),,,,,,Median ($),,,,,,Mean ($),,,,,,,,,
LGA,LGA NAME,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,,,,
10850,Blayney (A)," 3,652 "," 3,698 "," 3,636 "," 3,769 "," 3,796 "," 3,694 ", 45 , 46 , 46 , 46 , 46 , 46 ," 170,000,000 "," 185,000,000 "," 184,000,000 "," 189,000,000 "," 207,000,000 "," 204,000,000 "," 38,795 "," 40,934 "," 41,031 "," 41,780 "," 44,143 "," 45,397 "," 46,686 "," 50,156 "," 50,472 "," 50,247 "," 54,570 "," 55,139 ",,,,
10900,Blue Mountains (C)," 42,632 "," 42,648 "," 42,468 "," 43,163 "," 44,301 "," 44,952 ", 46 , 47 , 47 , 47 , 47 , 47 ," 2,170,000,000 "," 2,290,000,000 "," 2,350,000,000 "," 2,450,000,000 "," 2,560,000,000 "," 2,680,000,000 "," 41,204 "," 43,302 "," 44,920 "," 45,821 "," 46,563 "," 47,705 "," 50,888 "," 53,662 "," 55,376 "," 56,710 "," 57,737 "," 59,537 ",,,,
10950,Bogan (A)," 1,474 "," 1,494 "," 1,507 "," 1,573 "," 1,598 "," 1,568 ", 44 , 44 , 44 , 45 , 45 , 45 ," 74,707,356 "," 68,059,600 "," 72,157,870 "," 78,224,453 "," 98,966,025 "," 92,803,415 "," 39,550 "," 37,968 "," 38,760 "," 41,296 "," 49,652 "," 47,806 "," 50,683 "," 45,555 "," 47,882 "," 49,729 "," 61,931 "," 59,186 ",,,,
11150,Bourke (A)," 1,319 "," 1,372 "," 1,339 "," 1,337 "," 1,298 "," 1,196 ", 42 , 42 , 42 , 43 , 44 , 44 ," 62,130,827 "," 65,714,334 "," 59,141,276 "," 62,115,627 "," 68,603,400 "," 64,501,909 "," 41,202 "," 41,968 "," 41,875 "," 43,895 "," 47,815 "," 49,471 "," 47,104 "," 47,897 "," 44,168 "," 46,459 "," 52,853 "," 53,931 ",,,,
11200,Brewarrina (A), 596 , 613 , 592 , 567 , 555 , 545 , 45 , 46 , 46 , 47 , 46 , 45 ," 29,629,683 "," 28,516,907 "," 26,856,659 "," 23,740,845 "," 23,948,321 "," 26,887,546 "," 38,439 "," 39,389 "," 40,123 "," 39,822 "," 41,177 "," 45,005 "," 49,714 "," 46,520 "," 45,366 "," 41,871 "," 43,150 "," 49,335 ",,,,
11250,Broken Hill (C)," 8,234 "," 8,465 "," 8,355 "," 8,402 "," 8,548 "," 8,341 ", 44 , 44 , 44 , 45 , 45 , 45 ," 382,000,000 "," 427,000,000 "," 444,000,000 "," 451,000,000 "," 474,000,000 "," 474,000,000 "," 38,290 "," 42,240 "," 44,581 "," 45,514 "," 46,595 "," 48,050 "," 46,404 "," 50,434 "," 53,110 "," 53,639 "," 55,425 "," 56,771 ",,,,
11300,Burwood (A)," 19,215 "," 19,580 "," 19,774 "," 20,056 "," 20,941 "," 21,898 ", 37 , 38 , 38 , 38 , 38 , 37 ," 922,000,000 "," 983,000,000 "," 1,030,000,000 "," 1,090,000,000 "," 1,150,000,000 "," 1,230,000,000 "," 34,962 "," 36,601 "," 38,728 "," 39,914 "," 40,677 "," 41,388 "," 47,988 "," 50,181 "," 52,301 "," 54,359 "," 54,861 "," 56,346 ",,,,
11350,Byron (A)," 17,473 "," 17,880 "," 18,280 "," 18,995 "," 19,849 "," 20,654 ", 46 , 46 , 46 , 46 , 46 , 45 ," 670,000,000 "," 726,000,000 "," 775,000,000 "," 867,000,000 "," 932,000,000 "," 988,000,000 "," 26,913 "," 28,454 "," 29,825 "," 31,240 "," 32,263 "," 33,178 "," 38,354 "," 40,611 "," 42,386 "," 45,647 "," 46,976 "," 47,857 ",,,,
11400,Cabonne (A)," 6,713 "," 6,902 "," 7,062 "," 7,122 "," 7,215 "," 6,986 ", 46 , 46 , 47 , 47 , 47 , 46 ," 296,000,000 "," 327,000,000 "," 337,000,000 "," 355,000,000 "," 396,000,000 "," 390,000,000 "," 36,624 "," 38,719 "," 38,826 "," 39,834 "," 43,402 "," 43,918 "," 44,092 "," 47,309 "," 47,708 "," 49,829 "," 54,868 "," 55,845 ",,,,
11450,Camden (A)," 31,707 "," 33,322 "," 35,064 "," 37,634 "," 41,085 "," 44,818 ", 40 , 40 , 40 , 40 , 40 , 40 ," 1,710,000,000 "," 1,890,000,000 "," 2,080,000,000 "," 2,290,000,000 "," 2,560,000,000 "," 2,880,000,000 "," 46,765 "," 49,179 "," 51,406 "," 53,040 "," 54,110 "," 55,907 "," 54,004 "," 56,693 "," 59,227 "," 60,777 "," 62,301 "," 64,240 ",,,,
11500,Campbelltown (C) (NSW)," 74,741 "," 74,934 "," 75,195 "," 76,790 "," 79,227 "," 82,078 ", 40 , 40 , 41 , 41 , 40 , 40 ," 3,470,000,000 "," 3,640,000,000 "," 3,780,000,000 "," 3,920,000,000 "," 4,140,000,000 "," 4,400,000,000 "," 42,640 "," 44,437 "," 45,674 "," 46,438 "," 47,465 "," 48,832 "," 46,461 "," 48,624 "," 50,264 "," 51,061 "," 52,218 "," 53,574 ",,,,
11520,Canada Bay (A)," 44,980 "," 46,463 "," 48,670 "," 50,720 "," 52,812 "," 54,582 ", 40 , 41 , 41 , 41 , 41 , 41 ," 3,060,000,000 "," 3,320,000,000 "," 3,540,000,000 "," 3,820,000,000 "," 4,030,000,000 "," 4,230,000,000 "," 49,748 "," 51,961 "," 53,713 "," 54,509 "," 55,457 "," 56,096 "," 68,096 "," 71,411 "," 72,704 "," 75,325 "," 76,384 "," 77,472 ",,,,
11570,Canterbury-Bankstown (A)," 151,545 "," 153,226 "," 154,841 "," 158,702 "," 165,369 "," 171,435 ", 40 , 40 , 41 , 40 , 40 , 40 ," 6,640,000,000 "," 7,030,000,000 "," 7,400,000,000 "," 7,760,000,000 "," 8,270,000,000 "," 8,790,000,000 "," 36,901 "," 38,549 "," 40,165 "," 40,919 "," 41,707 "," 42,542 "," 43,838 "," 45,882 "," 47,819 "," 48,892 "," 50,036 "," 51,252 ",,,,
11600,Carrathool (A)," 1,531 "," 1,551 "," 1,589 "," 1,635 "," 1,667 "," 1,600 ", 44 , 44 , 44 , 44 , 43 , 43 ," 72,712,838 "," 68,493,042 "," 75,420,640 "," 85,049,360 "," 88,843,623 "," 76,695,378 "," 36,679 "," 37,984 "," 38,621 "," 39,299 "," 41,385 "," 40,566 "," 47,494 "," 44,161 "," 47,464 "," 52,018 "," 53,296 "," 47,935 ",,,,
11650,Central Coast (C) (NSW)," 162,235 "," 164,019 "," 164,703 "," 166,947 "," 171,604 "," 174,576 ", 44 , 44 , 45 , 45 , 45 , 45 ," 7,480,000,000 "," 7,960,000,000 "," 8,370,000,000 "," 8,730,000,000 "," 9,220,000,000 "," 9,620,000,000 "," 37,700 "," 39,637 "," 41,433 "," 42,501 "," 43,676 "," 44,951 "," 46,135 "," 48,519 "," 50,790 "," 52,314 "," 53,716 "," 55,128 ",,,,
11700,Central Darling (A), 746 , 743 , 743 , 721 , 729 , 622 , 46 , 45 , 47 , 46 , 47 , 48 ," 34,954,053 "," 38,386,339 "," 36,165,627 "," 41,696,195 "," 44,485,935 "," 39,176,314 "," 38,363 "," 38,264 "," 39,772 "," 43,699 "," 47,308 "," 47,438 "," 46,855 "," 51,664 "," 48,675 "," 57,831 "," 61,023 "," 62,984 ",,,,
11720,Cessnock (C)," 24,097 "," 24,726 "," 24,688 "," 24,838 "," 25,282 "," 25,922 ", 41 , 41 , 41 , 42 , 42 , 42 ," 1,190,000,000 "," 1,330,000,000 "," 1,380,000,000 "," 1,380,000,000 "," 1,420,000,000 "," 1,440,000,000 "," 39,496 "," 42,042 "," 43,384 "," 43,936 "," 44,724 "," 45,107 "," 49,215 "," 53,746 "," 55,854 "," 55,595 "," 55,981 "," 55,566 ",,,,
