Australian Bureau of Statistics,,,,,,,,,,
"81550DO001_201617 Australian Industry, 2016-17",,,,,,,,,,
Released at 11:30 am (Canberra time) Fri 25 May 2018,,,,,,,,,,
Table 6 States and territories by industry division,,,,,,,,,,
,Employment at end of June,,,Wages and salaries,,,Sales and service income,,,
,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,2014-15,2015-16,2016-17,
,'000,'000,'000,$m,$m,$m,$m,$m,$m,
Public administration and safety (private),5,4,4,215,205,204,571,543,478,
Education and training (private),28,27,26,"1,456","1,351","1,370","1,411","1,521","1,605",
Health care and social assistance (private),76,80,85,"3,043","3,186","3,527","5,404","5,906","6,450",
Arts and recreation services,11,11,10,292,330,325,"1,243","1,280","1,272",
Other services,28,28,28,"1,049","1,129","1,134","3,357","3,458","3,649",
Total selected industries,668,661,680,"29,635","29,555","30,804","169,975","169,119","176,458",
WESTERN AUSTRALIA,,,,,,,,,,
"Agriculture, forestry and fishing",57,61,59,998,"1,106","1,125","11,946","12,634","13,040",
Mining,80,77,74,"13,321","12,910","11,682","125,985","103,937","110,525",
Manufacturing,92,86,81,"6,530","6,193","5,689","56,816","53,921","52,721",
"Electricity, gas, water and waste services",14,12,12,"1,355","1,308","1,237","11,712","11,718","11,337",
Construction,159,159,139,"12,351","12,486","10,522","72,590","67,129","52,635",
Wholesale trade,49,50,49,"3,008","3,212","3,229","51,721","50,242","48,671",
Retail trade,141,141,135,"4,297","4,287","4,427","42,403","43,256","43,015",
Accommodation and food services,101,106,99,"2,932","3,130","2,853","10,019","10,145","9,563",
"Transport, postal and warehousing",69,67,66,"4,358","4,257","4,157","20,081","18,775","17,270",
Information media and telecommunications,10,10,10,790,802,761,"4,588","4,824","4,528",
"Rental, hiring and real estate services",48,47,42,"2,060","2,038","1,807","13,389","13,242","12,112",
"Professional, scientific and technical services",105,101,101,"7,939","7,854","7,639","23,434","21,952","21,042",
Administrative and support services,89,82,88,"5,343","4,857","4,213","9,496","8,529","7,395",
Public administration and safety (private),10,10,10,546,581,546,"1,199","1,195","1,240",
Education and training (private),39,40,39,"1,893","2,041","2,001","2,040","2,276","2,190",
