Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"East Fremantle (T)",20,9,8,23,3,10,8,5,8,27,21,45,23,30,25,49,16,115,56,47,25,10,20,14,2670,3281,
"East Pilbara (S)",190,297,76,252,42,77,44,68,24,37,15,48,9,32,15,23,8,43,4,5,3,0,5,146,1858,3317,
"Esperance (S)",201,32,41,99,37,117,77,122,73,150,82,171,57,90,37,61,18,44,4,0,0,0,5,63,5043,6642,
"Exmouth (S)",28,16,4,26,19,23,23,23,15,20,19,21,10,18,12,26,11,76,18,19,5,4,28,49,1904,2417,
"Fremantle (C)",106,83,105,381,125,161,84,127,50,138,109,209,106,209,139,252,94,600,374,161,78,46,62,143,10653,14594,
"Gingin (S)",55,3,4,16,12,26,10,28,14,37,14,38,17,33,9,18,0,10,0,0,0,0,4,24,3512,3890,
"Gnowangerup (S)",36,7,5,19,12,18,8,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,519,657,
"Goomalling (S)",18,9,10,9,4,13,7,10,4,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,415,524,
"Gosnells (C)",268,66,88,250,174,306,179,284,169,367,349,1063,590,1224,712,1001,340,1176,151,18,12,7,27,322,35265,44408,
"Greater Geraldton (C)",182,63,73,244,146,223,221,425,195,450,288,626,266,362,129,193,29,103,12,0,0,7,16,165,13097,17538,
"Halls Creek (S)",108,135,66,62,56,25,14,20,9,9,3,6,4,4,0,4,5,0,3,0,0,0,0,124,778,1441,
"Harvey (S)",99,20,16,77,39,75,41,124,75,129,100,278,131,263,166,201,45,80,15,3,0,0,4,54,8960,10977,
"Irwin (S)",42,7,0,38,23,21,19,18,16,47,41,39,12,21,3,5,0,9,0,0,0,0,11,32,1582,1988,
