Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Melbourne (C)",948,191,161,793,343,515,381,570,632,999,950,1854,1378,2358,2213,3082,1638,8791,5341,2249,1078,553,1053,1278,36460,75805,
"Melton (C)",224,40,47,120,67,153,141,334,535,1225,981,1458,786,1053,456,470,144,329,55,14,19,11,30,308,37704,46705,
"Mildura (RC)",257,126,134,439,258,619,659,751,519,649,391,487,198,187,56,52,15,46,20,21,8,4,13,255,17935,24104,
"Mitchell (S)",133,33,32,130,67,142,141,251,258,397,278,479,260,198,52,58,8,43,4,4,3,0,7,121,13207,16324,
"Moira (S)",225,44,35,215,149,283,252,352,198,247,125,152,54,72,28,24,5,9,3,7,0,0,9,119,11179,13794,
"Monash (C)",532,98,78,506,253,418,284,343,365,385,454,1119,1044,1892,1590,1829,943,3458,1436,490,176,59,207,643,52028,70623,
"Moonee Valley (C)",363,165,150,676,222,332,267,368,517,695,735,1356,991,1467,1034,1103,491,1729,652,248,99,46,107,450,35890,50167,
"Moorabool (S)",114,26,27,104,62,82,91,209,138,244,166,293,193,134,40,23,11,14,9,4,0,0,7,76,11040,13123,
"Moreland (C)",532,135,129,612,265,369,341,586,644,1112,1216,2337,1903,2959,1587,1735,810,3113,1293,530,197,97,203,672,47343,70711,
"Mornington Peninsula (S)",583,88,67,442,178,321,256,536,467,1058,996,1540,931,1173,654,643,260,925,296,159,75,34,94,424,76906,89110,
"Mount Alexander (S)",75,25,7,110,35,74,63,119,84,150,134,191,58,64,27,16,6,16,7,0,4,0,5,48,7973,9307,
"Moyne (S)",234,41,23,96,42,104,78,114,71,103,63,60,20,45,16,18,4,13,3,3,0,0,5,68,6847,8072,
"Murrindindi (S)",78,22,14,49,29,54,70,112,77,98,37,74,17,32,11,10,0,12,3,3,0,0,9,45,6695,7560,
"Nillumbik (S)",121,14,14,72,27,34,24,48,29,46,58,163,120,182,117,182,73,297,116,39,18,7,15,88,19851,21755,
"Northern Grampians (S)",85,24,27,122,106,180,141,146,66,63,23,14,5,8,0,4,0,3,0,0,3,3,10,62,5018,6116,
"Port Phillip (C)",389,142,146,895,229,381,403,538,485,964,920,1579,1208,1875,1572,2065,938,4163,2327,1234,682,368,744,646,32976,57869,
"Pyrenees (S)",73,19,10,42,19,38,27,50,18,32,13,15,0,0,3,0,3,4,4,0,0,0,0,25,3172,3579,
"Queenscliffe (B)",25,4,4,7,5,10,12,8,11,22,17,29,17,27,10,9,0,9,3,0,0,0,0,11,2579,2807,
"South Gippsland (S)",221,52,61,111,70,127,150,291,237,267,135,111,42,30,7,12,4,7,3,4,0,0,13,91,13843,15911,
"Southern Grampians (S)",149,59,42,161,88,171,97,186,104,141,54,53,12,12,3,5,3,9,0,3,0,0,3,52,6587,8003,
"Stonnington (C)",447,84,107,574,212,275,216,310,349,702,754,1411,1074,1961,1434,1709,758,3372,2064,968,540,306,750,594,33219,54176,
"Strathbogie (S)",109,26,13,59,53,78,69,108,59,92,39,41,7,22,6,4,0,6,5,0,0,4,3,44,4837,5681,
"Surf Coast (S)",139,17,9,48,19,50,42,85,48,108,95,175,90,186,156,210,105,384,84,22,8,5,7,79,16096,18264,
"Swan Hill (RC)",162,73,70,181,154,252,225,309,175,190,70,79,20,40,20,22,0,4,5,4,0,0,3,98,7038,9204,
"Towong (S)",70,16,12,52,33,76,40,42,24,33,10,12,3,4,0,0,0,0,0,0,0,0,0,15,2660,3114,
"Wangaratta (RC)",144,40,36,183,143,268,230,311,229,309,161,178,64,89,34,24,3,13,3,5,0,0,5,103,10491,13073,
"Warrnambool (C)",78,59,52,257,141,234,231,448,273,490,318,443,206,239,95,131,26,73,12,3,0,0,10,122,11238,15183,
"Wellington (S)",282,79,64,301,162,364,266,458,297,451,192,267,114,154,56,55,18,54,10,6,3,4,13,177,18388,22242,
"West Wimmera (S)",102,29,28,43,22,32,9,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1934,2238,
"Whitehorse (C)",507,113,135,505,249,362,261,592,379,468,426,1095,1061,1643,1488,1661,840,2448,835,366,131,51,142,594,49530,65881,
"Whittlesea (C)",393,83,50,189,116,202,178,256,292,674,1189,3272,2352,2911,1051,763,203,561,121,43,47,18,100,523,55428,71013,
"Wodonga (C)",70,59,45,337,160,289,315,632,477,649,464,491,264,313,159,135,41,63,10,10,5,5,6,144,11378,16517,
"Wyndham (C)",346,64,44,214,118,243,173,478,575,1600,2236,3836,2513,2675,1118,971,308,756,185,71,36,12,114,565,56047,75310,
"Yarra (C)",276,202,252,1097,423,514,339,535,321,574,535,992,589,983,897,1252,588,3613,2601,1366,695,382,445,579,23990,44033,
"Yarra Ranges (S)",332,81,65,220,129,201,145,383,256,444,457,910,632,956,588,624,195,474,100,27,23,4,27,324,51367,58971,
