Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by RNTRD Rent (weekly) Ranges"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"RNTRD Rent (weekly) Ranges","Nil payments","$1-$74","$75-$99","$100-$124","$125-$149","$150-$174","$175-$199","$200-$224","$225-$249","$250-$274","$275-$299","$300-$324","$325-$349","$350-$374","$375-$399","$400-$424","$425-$449","$450-$549","$550-$649","$650-$749","$750-$849","$850-$949","$950 and over","Not stated","Not applicable","Total",
"LGA",
"Peterborough (DC)",14,14,11,17,31,45,8,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,916,1087,
"Playford (C)",137,254,557,763,405,648,691,1304,1281,2138,1466,1191,378,286,85,72,22,64,23,8,5,0,18,398,24109,36308,
"Port Adelaide Enfield (C)",340,329,992,1322,579,946,663,996,882,1560,1273,1845,1099,1467,877,703,185,401,103,38,25,10,26,635,36353,53639,
"Port Augusta (C)",53,50,115,199,139,280,211,227,110,155,67,86,36,32,10,14,4,7,0,3,5,0,3,123,4865,6792,
"Port Lincoln (C)",51,46,135,153,75,149,160,195,110,192,145,199,78,71,27,24,17,27,9,0,0,0,0,73,4841,6784,
"Port Pirie City and Dists (M)",72,52,166,215,173,376,286,224,138,167,65,46,31,16,14,4,3,5,0,0,0,0,0,91,6294,8442,
"Prospect (C)",61,22,72,92,55,90,56,96,139,323,244,282,138,193,142,164,54,177,45,8,9,3,3,56,6405,8926,
"Renmark Paringa (DC)",51,40,67,107,74,177,170,130,54,69,30,30,18,17,0,3,0,3,0,5,4,5,10,43,3415,4523,
"Robe (DC)",21,8,3,7,3,13,15,22,14,25,10,6,0,0,0,0,0,0,0,5,0,0,0,7,1356,1522,
"Roxby Downs (M)",35,4,7,53,94,89,136,132,42,81,44,42,7,25,9,18,0,5,6,3,0,3,0,25,910,1771,
"Salisbury (C)",259,210,609,724,358,597,575,975,771,1687,1708,2489,1020,926,366,234,85,235,62,20,12,5,16,525,40777,55247,
"Southern Mallee (DC)",43,16,3,29,11,34,17,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,920,1105,
"Streaky Bay (DC)",37,13,10,18,9,23,13,25,14,11,12,6,0,4,0,0,0,0,0,0,0,0,0,4,1125,1324,
"Tatiara (DC)",93,25,19,60,49,91,49,91,29,31,5,9,0,0,0,0,0,3,0,0,0,0,0,34,2462,3058,
"Tea Tree Gully (C)",171,81,257,340,137,231,147,269,203,563,601,1205,777,778,368,200,63,146,17,8,6,5,13,205,33294,40085,
"The Coorong (DC)",114,44,34,66,42,68,37,75,24,15,0,3,0,0,0,0,0,0,0,0,0,0,0,32,2465,3012,
"Tumby Bay (DC)",45,9,9,29,3,39,27,21,11,25,9,15,0,6,0,0,0,4,5,0,0,0,0,9,1301,1581,
"Unley (C)",120,49,99,163,72,142,120,193,209,395,337,501,309,337,233,254,133,481,178,90,53,18,26,110,12526,17136,
"Victor Harbor (C)",54,12,25,55,52,78,65,136,170,236,217,164,97,64,9,14,0,10,4,0,0,0,3,51,7680,9206,
"Wakefield (DC)",90,21,22,45,33,60,65,101,58,53,14,9,0,0,3,0,0,0,0,0,0,0,0,24,2603,3214,
"Walkerville (M)",31,30,39,71,25,27,14,34,16,33,31,60,45,78,38,67,24,93,36,19,11,5,15,31,2661,3517,
"Wattle Range (DC)",96,41,62,122,147,163,136,122,43,36,15,9,3,0,0,3,0,0,3,0,0,0,4,50,4786,5843,
"West Torrens (C)",197,158,265,404,202,360,295,525,547,959,671,831,468,671,411,455,196,505,102,30,20,13,9,256,18323,26877,
"Whyalla (C)",60,171,264,496,220,409,450,393,166,269,118,157,36,46,13,27,5,15,0,3,0,0,5,147,7842,11308,
"Wudinna (DC)",37,8,8,17,12,7,6,22,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,559,697,
"Yankalilla (DC)",34,9,8,27,9,28,25,59,27,70,56,29,7,16,0,4,0,5,3,0,0,0,0,18,3443,3882,
"Yorke Peninsula (DC)",118,32,64,84,46,86,72,141,90,87,19,14,5,5,0,3,0,8,0,6,4,0,5,43,8795,9742,
"Unincorporated SA",108,147,93,67,17,31,9,10,0,0,0,0,0,4,0,4,0,4,0,0,0,0,9,95,2553,3143,
"Migratory - Offshore - Shipping (SA)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,
"Total",6027,3582,8038,11364,6087,10382,8534,12635,10318,18435,14702,19719,10279,11908,6482,6597,2526,6865,2194,945,482,250,535,6661,581731,767264,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
