Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Hobsons Bay (C)",92,439,258,690,914,2052,1184,1964,2015,2449,2189,1930,1803,3462,2224,1645,1461,727,733,661,539,51,2376,873,4453,37183,
"Horsham (RC)",32,54,64,180,311,714,466,652,689,738,673,477,438,673,348,179,110,50,75,24,36,7,535,264,1441,9232,
"Hume (C)",193,808,451,1202,1407,3400,2530,4363,4517,5586,5052,4068,3787,6716,3932,2266,1561,781,559,520,309,60,4824,1529,6982,67404,
"Indigo (S)",18,42,49,131,197,431,276,520,453,540,514,356,350,591,371,199,129,70,42,35,27,5,470,190,1029,7036,
"Kingston (C)",124,684,434,1012,1494,3510,2300,3581,3566,4336,4016,3323,3214,6270,4271,2831,2231,1138,1091,949,545,85,4016,1436,7406,63861,
"Knox (C)",107,623,324,782,1123,2877,2070,3521,3559,4420,4104,3431,3349,6539,4293,2581,1848,1099,816,692,424,56,4082,1226,5211,59148,
"Latrobe (C)",65,343,258,909,1283,2684,1716,2630,2133,2320,1974,1501,1451,2429,1351,823,683,335,287,189,108,25,1938,1045,5690,34167,
"Loddon (S)",19,50,50,105,148,432,164,331,277,277,202,144,121,157,73,35,22,15,9,9,15,0,231,148,1137,4173,
"Macedon Ranges (S)",34,156,116,244,355,876,542,953,935,1230,1110,1006,910,1815,1190,785,701,359,346,259,220,25,1361,408,2718,18657,
"Manningham (C)",135,878,417,679,820,2039,1471,2494,2356,2880,2610,2200,2181,3934,2680,1999,1889,1229,1083,1052,818,169,3452,943,4994,45408,
"Mansfield (S)",8,47,36,79,103,316,205,315,266,330,263,178,176,256,152,79,66,28,28,10,15,0,266,148,2595,5950,
"Maribyrnong (C)",83,578,303,859,972,1658,1127,1784,1826,2422,2114,1874,1762,3333,2190,1536,1398,619,614,559,449,24,2097,705,4850,35738,
"Maroondah (C)",98,427,271,643,922,2345,1729,2531,2643,3240,2988,2510,2503,4635,3269,2002,1412,772,636,555,327,42,2781,898,4345,44501,
"Melbourne (C)",400,7304,1222,1972,1620,2006,1962,2311,2929,3894,3602,3251,2957,6068,2827,2038,3257,980,1111,1070,1161,119,3675,2410,15671,75805,
"Melton (C)",131,483,251,655,763,1897,1560,2637,2747,3706,3568,2998,2844,5419,3263,1903,1213,579,442,399,234,32,3122,1032,4831,46705,
"Mildura (RC)",58,208,182,555,836,1832,1140,1989,1698,1825,1592,1145,1073,1664,889,457,319,136,126,73,88,17,1477,936,3778,24104,
"Mitchell (S)",45,130,94,257,360,840,594,1009,984,1211,1143,912,914,1552,966,501,308,177,143,90,60,12,1098,468,2448,16324,
"Moira (S)",45,113,108,311,421,1151,617,1155,919,1020,865,598,576,841,440,231,145,67,41,39,55,11,799,555,2686,13794,
"Monash (C)",242,2026,754,1274,1507,3420,2379,3924,3734,4806,4126,3497,3350,6656,4418,2981,2520,1398,1308,1234,911,139,4853,1323,7847,70623,
"Moonee Valley (C)",117,632,386,929,1198,2460,1584,2691,2493,3062,2853,2481,2252,4577,3030,2093,2170,1106,1128,1196,904,114,3206,1193,6328,50167,
"Moorabool (S)",38,135,95,229,297,737,493,866,736,949,862,716,635,1256,771,482,312,180,135,105,64,12,814,313,1892,13123,
"Moreland (C)",137,970,509,1455,1795,3893,2357,3819,3655,4757,4401,3789,3581,6802,4377,2965,2406,1103,1100,964,633,52,4636,1487,9071,70711,
"Mornington Peninsula (S)",158,673,443,1081,1715,4411,3092,4755,4299,5020,4262,3343,3207,5425,3328,2012,1716,958,851,737,591,76,4416,2143,30399,89110,
