Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Mid Murray (DC)",8,41,46,127,169,487,227,460,322,320,259,205,142,209,100,59,46,10,13,7,8,3,241,130,3123,6763,
"Mitcham (C)",41,234,181,434,501,1394,1086,1468,1428,1872,1697,1338,1306,2418,1813,1297,1018,603,606,531,421,53,1883,385,2674,26682,
"Mount Barker (DC)",25,77,75,215,290,734,569,885,863,1043,924,794,830,1365,854,466,329,184,153,113,81,18,1032,237,1404,13541,
"Mount Gambier (C)",20,76,78,324,457,1085,634,1005,874,965,820,661,587,904,470,220,147,60,51,37,41,0,620,331,1860,12328,
"Mount Remarkable (DC)",8,14,17,38,49,122,78,137,92,117,76,54,63,68,59,23,22,3,12,6,0,0,106,63,456,1677,
"Murray Bridge (RC)",22,75,55,256,375,820,487,908,709,791,633,441,407,616,282,140,94,36,22,38,19,0,525,274,1627,9660,
"Naracoorte and Lucindale (DC)",10,35,24,74,95,238,179,286,277,287,333,207,180,299,166,77,40,23,18,19,23,0,235,91,627,3842,
"Northern Areas (DC)",8,19,19,44,68,210,96,196,141,193,161,105,97,140,81,40,20,9,11,9,14,0,135,67,463,2357,
"Norwood Payneham St Peters (C)",33,269,142,389,618,1213,769,1019,995,1181,1034,801,696,1321,786,564,625,312,326,322,270,31,1024,297,2489,17520,
"Onkaparinga (C)",122,472,396,1384,1953,5029,3545,5846,5366,6222,5312,4155,3720,6273,3567,1906,1100,555,387,280,146,33,4349,1345,8271,71741,
"Orroroo/Carrieton (DC)",0,3,9,8,19,44,25,31,24,40,26,19,16,31,16,8,5,0,4,0,0,0,31,25,116,502,
"Peterborough (DC)",0,16,8,38,56,146,46,97,84,59,46,28,24,20,16,5,3,0,0,0,3,0,42,60,288,1087,
"Playford (C)",93,286,258,1045,1412,2881,2023,3306,2954,3146,2626,1955,1636,2602,1202,631,369,124,96,78,74,15,2071,991,4441,36308,
"Port Adelaide Enfield (C)",129,657,423,1513,2189,4050,2506,3931,3679,4219,3622,2812,2586,4313,2599,1493,978,392,325,257,164,10,3011,1176,6604,53639,
"Port Augusta (C)",19,62,58,173,225,430,303,438,403,464,395,285,257,421,258,162,103,48,28,21,15,3,425,284,1506,6792,
"Port Lincoln (C)",17,47,38,183,251,486,306,523,425,520,407,306,277,484,261,124,85,41,44,30,27,7,405,202,1292,6784,
"Port Pirie City and Dists (M)",13,73,62,255,377,879,425,772,563,554,464,333,317,524,303,151,96,45,42,24,23,4,488,235,1403,8442,
"Prospect (C)",22,99,44,182,199,458,327,468,471,636,515,460,431,804,519,435,355,196,161,174,128,19,606,129,1105,8926,
"Renmark Paringa (DC)",4,41,33,111,146,343,237,429,314,368,319,212,183,290,133,64,50,24,19,17,34,6,254,153,739,4523,
"Robe (DC)",8,10,4,16,22,48,31,56,58,60,59,30,21,55,26,16,7,0,5,5,0,0,40,23,915,1522,
"Roxby Downs (M)",0,4,4,5,8,5,13,11,29,36,57,60,96,249,158,94,116,52,58,39,29,0,102,20,535,1771,
"Salisbury (C)",133,546,370,1269,1669,3971,2740,4708,4389,5146,4384,3318,2966,4686,2429,1139,701,304,224,173,97,17,3278,1174,5424,55247,
"Southern Mallee (DC)",5,5,10,14,24,85,29,59,69,75,68,56,54,70,34,16,10,3,6,3,4,0,44,26,316,1105,
"Streaky Bay (DC)",0,10,7,20,37,68,52,84,77,83,64,46,53,71,37,24,15,5,8,0,7,0,68,36,456,1324,
"Tatiara (DC)",14,22,20,59,66,193,106,269,222,231,247,167,141,207,121,60,48,16,17,5,13,0,167,79,571,3058,
"Tea Tree Gully (C)",67,302,225,612,886,2413,1585,2941,2791,3454,2918,2425,2278,4264,2663,1579,955,470,360,298,119,13,2428,685,3347,40085,
"The Coorong (DC)",7,18,24,54,110,256,141,232,187,238,153,91,124,117,60,36,30,8,15,7,11,4,145,88,862,3012,
"Tumby Bay (DC)",3,18,13,35,40,137,74,118,86,102,82,63,49,85,43,19,17,3,9,3,9,8,99,46,422,1581,
"Unley (C)",30,208,123,289,387,860,635,899,853,1068,973,785,754,1414,870,689,817,403,472,505,393,59,1133,281,2225,17136,
"Victor Harbor (C)",10,56,47,143,250,836,526,943,639,710,486,248,259,321,147,71,62,36,26,16,15,0,351,200,2798,9206,
"Wakefield (DC)",16,10,21,56,130,298,150,248,210,296,227,136,124,194,99,61,41,24,12,11,17,0,194,79,573,3214,
"Walkerville (M)",13,54,34,98,86,169,103,152,167,187,173,146,146,296,160,121,182,74,103,97,117,23,224,85,518,3517,
"Wattle Range (DC)",15,56,44,129,195,485,251,460,380,395,371,240,236,360,196,104,81,30,40,16,26,9,315,175,1248,5843,
"West Torrens (C)",63,338,196,581,886,1873,1281,1856,1818,2121,1745,1477,1213,2288,1364,872,617,265,257,231,115,12,1553,524,3349,26877,
"Whyalla (C)",10,91,109,459,534,914,483,835,621,618,528,455,422,765,465,279,207,107,78,37,31,5,549,356,2348,11308,
"Wudinna (DC)",0,0,4,19,20,51,19,47,35,56,46,28,29,46,22,15,10,6,3,3,7,0,19,17,183,697,
"Yankalilla (DC)",9,20,32,64,96,231,159,259,198,214,176,114,121,142,71,31,29,12,14,8,7,3,130,66,1683,3882,
