Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Eurobodalla (A)",42,149,147,409,645,1651,1041,1826,1451,1582,1331,721,707,993,503,258,201,78,96,53,53,4,1021,591,7912,23448,
"Fairfield (C)",226,1176,512,1609,1957,4021,2579,4998,4237,4866,4216,3369,3085,5034,3346,2125,1410,832,596,585,369,77,4794,1438,5313,62779,
"Federation (A)",18,48,44,114,166,513,277,525,429,446,419,255,237,381,207,117,67,24,23,18,22,7,354,268,1399,6376,
"Forbes (A)",9,28,37,98,148,322,197,347,297,350,296,164,184,311,146,105,62,27,18,18,19,5,235,173,800,4388,
"Georges River (A)",109,1061,376,901,1107,2416,1712,2833,2756,3689,3340,2919,2786,5508,3599,2480,2077,1164,1115,1110,910,158,3849,1011,5032,54018,
"Gilgandra (A)",7,13,17,38,77,159,84,177,132,168,106,88,66,113,62,39,27,4,11,8,16,0,124,68,356,1974,
"Glen Innes Severn (A)",18,37,36,123,175,476,223,407,304,319,266,166,143,188,109,48,37,15,15,9,3,0,231,156,874,4379,
"Goulburn Mulwaree (A)",28,94,123,258,443,989,576,912,847,931,833,622,611,1063,629,390,261,128,117,56,60,14,753,371,2537,13642,
"Greater Hume Shire (A)",17,22,34,87,118,333,190,329,302,339,302,221,201,326,197,90,81,28,36,25,36,3,285,141,818,4559,
"Griffith (C)",23,92,60,162,264,588,356,655,650,706,729,576,474,887,510,300,208,93,98,63,72,14,659,354,1710,10312,
"Gundagai (A)",23,45,38,117,176,493,253,491,375,407,311,221,196,328,163,89,73,26,33,14,33,3,345,182,933,5371,
"Gunnedah (A)",24,33,34,107,183,387,229,376,315,370,323,250,260,447,258,147,166,71,63,40,27,4,323,200,875,5510,
"Gwydir (A)",20,28,27,63,95,235,101,243,171,197,159,97,79,153,49,33,27,6,10,8,9,3,146,111,529,2605,
"Hawkesbury (C)",59,179,137,337,491,1096,782,1238,1228,1654,1520,1411,1323,2495,1775,1146,889,501,372,342,252,52,1672,510,2627,24098,
"Hay (A)",0,21,17,40,48,105,51,98,83,103,101,55,62,99,45,21,21,8,9,7,3,0,103,71,420,1574,
"Hilltops (A)",29,68,79,183,279,785,430,778,620,652,529,393,393,493,253,142,110,37,45,25,48,5,524,300,1762,8939,
"Hornsby (A)",61,493,306,596,739,1835,1417,2077,2139,2850,2755,2343,2466,5191,3808,2942,2956,1955,2028,1897,1499,212,3965,762,4202,51505,
"Hunters Hill (A)",22,84,28,78,112,187,113,178,166,215,194,164,175,374,246,208,350,211,247,289,391,82,433,95,659,5262,
"Inner West (A)",135,922,472,1173,1571,2853,1967,2945,3103,4240,4049,3800,3624,7838,4756,3847,4935,2215,2515,2864,3001,200,5252,1244,11071,80616,
"Inverell (A)",25,68,54,188,264,667,369,708,573,562,501,313,296,424,216,103,95,33,33,19,27,5,423,279,1049,7284,
"Junee (A)",11,22,16,48,76,178,97,193,137,169,156,93,112,176,100,60,46,11,15,9,9,0,136,65,392,2342,
"Kempsey (A)",25,94,97,312,490,1226,772,1378,1034,1041,800,566,474,700,334,179,120,42,38,32,33,5,746,514,2579,13640,
"Kiama (A)",14,63,42,99,182,493,363,542,552,648,544,436,481,791,538,388,323,190,160,123,99,8,667,180,2040,9962,
"Ku-ring-gai (A)",75,609,257,391,389,969,939,1191,1407,1882,1787,1605,1636,3422,2365,1997,3125,2047,2253,2559,3016,474,3714,648,3748,42512,
"Kyogle (A)",17,41,42,168,217,454,225,425,329,358,274,149,140,186,98,48,35,13,17,6,18,3,224,108,903,4514,
"Lachlan (A)",16,26,15,69,112,190,150,215,164,218,154,124,97,198,84,42,34,8,19,9,13,10,182,117,658,2917,
"Lake Macquarie (C)",121,623,441,1372,2295,6017,3386,6334,5146,6190,5366,4196,3973,7404,4882,3023,2116,1141,983,820,530,63,5235,1898,9025,82595,
"Lane Cove (A)",26,159,81,139,204,386,321,418,508,674,679,648,700,1667,914,713,1152,534,646,739,920,124,1039,243,1919,15569,
"Leeton (A)",9,40,32,98,146,316,180,349,311,366,314,218,245,411,198,107,68,36,14,17,19,5,250,154,857,4764,
"Lismore (C)",42,129,128,488,675,1599,1052,1538,1378,1618,1321,970,882,1341,688,367,279,117,115,80,55,9,1113,425,2698,19100,
"Lithgow (C)",22,89,85,277,406,893,446,806,577,659,507,362,362,627,337,214,178,86,85,81,43,3,512,312,1749,9714,
"Liverpool (C)",136,774,445,1213,1624,3099,2090,3752,3677,4570,4282,3662,3501,6629,4555,2999,2108,1183,976,848,513,109,4813,1472,6895,65923,
"Liverpool Plains (A)",18,27,23,85,156,269,170,304,223,285,221,157,143,231,118,65,41,11,14,25,25,5,212,132,772,3717,
"Lockhart (A)",7,10,9,29,44,112,58,92,102,97,97,62,62,88,50,22,16,7,25,3,8,3,109,37,278,1423,
"Maitland (C)",47,209,160,468,762,1871,1190,2174,1914,2225,2063,1749,1642,3047,1936,1152,776,450,362,327,189,28,2023,699,3151,30635,
"Mid-Coast (A)",103,396,389,1023,1556,4386,2428,4781,3437,3644,2791,1742,1588,2180,1166,534,486,180,158,112,134,26,2456,1494,10353,47544,
"Mid-Western Regional (A)",33,96,96,226,338,902,454,819,636,722,595,423,460,802,464,270,251,129,126,88,56,4,670,358,2532,11531,
"Moree Plains (A)",29,42,50,142,159,336,206,403,326,415,394,267,274,441,223,139,115,36,37,23,50,10,398,303,1362,6191,
"Mosman (A)",26,133,55,117,171,304,255,298,434,533,537,506,493,1086,521,413,1164,483,519,661,1057,143,1006,229,2090,13245,
"Murray River (A)",28,54,40,120,161,452,259,446,364,447,347,241,239,391,221,111,69,32,32,22,26,8,325,238,1244,5907,
"Murrumbidgee (A)",0,7,10,28,45,98,77,113,114,136,115,92,83,119,70,29,20,8,10,4,8,3,132,75,506,1903,
"Muswellbrook (A)",19,61,64,149,201,409,279,432,405,451,381,327,311,659,371,237,184,84,98,54,44,6,426,210,1436,7293,
"Nambucca (A)",30,75,90,269,418,983,517,1027,732,737,589,348,329,453,227,106,97,22,34,28,30,4,520,324,1525,9518,
"Narrabri (A)",24,48,36,125,177,389,219,356,333,395,347,282,283,468,258,170,122,46,41,42,37,3,363,225,1225,6008,
"Narrandera (A)",12,17,17,56,108,236,137,203,169,194,186,105,100,180,86,41,32,8,22,5,9,0,170,115,587,2805,
"Narromine (A)",15,14,35,60,89,207,142,226,167,187,171,125,117,198,106,65,41,19,14,8,11,3,203,113,529,2878,
"Newcastle (C)",103,656,373,1471,2208,4548,2825,4358,4006,4746,4387,3529,3328,6191,3934,2592,2005,973,896,891,602,52,4348,1507,8479,69019,
"North Sydney (A)",70,398,184,322,468,820,695,881,1075,1497,1601,1602,1574,3943,1818,1606,3522,1101,1318,1446,1896,139,2062,626,6206,36849,
"Northern Beaches (A)",165,809,468,1059,1502,3442,2603,3506,3837,5297,4836,4348,4375,9294,6524,4977,6183,3549,3809,4017,3922,431,7829,1906,12926,101626,
"Oberon (A)",11,18,26,52,55,168,75,162,122,170,158,128,117,177,85,56,41,25,16,10,14,5,160,69,695,2612,
"Orange (C)",35,143,133,349,557,1151,734,1149,998,1292,1099,858,865,1505,892,575,428,204,225,151,117,13,1006,455,2513,17453,
"Parkes (A)",23,57,51,141,250,538,286,458,407,425,381,291,287,474,265,157,102,47,45,20,26,0,426,238,1371,6780,
"Parramatta (C)",210,1334,554,1361,1705,3316,2468,3847,4049,5546,5452,4930,4835,9718,6053,4215,3719,1798,1697,1571,1204,183,5329,1418,9230,85723,
"Penrith (C)",128,617,291,965,1412,3249,2225,3852,3750,5035,4804,4224,4215,8205,5315,3400,2352,1256,1027,910,584,116,4569,1513,7101,71111,
"Port Macquarie-Hastings (A)",58,302,207,655,1184,3073,1914,3509,2725,2932,2488,1606,1492,2495,1400,785,587,273,238,187,170,10,2000,1236,5160,36686,
"Port Stephens (A)",53,272,174,507,814,2196,1346,2423,2043,2396,1989,1471,1363,2327,1441,806,568,322,281,197,126,19,1964,814,7221,33142,
"Queanbeyan-Palerang Regional (A)",35,141,99,295,459,960,644,1020,1059,1408,1312,1192,1154,2348,1538,1278,1166,600,621,534,440,61,1536,426,3720,24037,
"Randwick (C)",170,1588,466,1124,1384,2262,1654,2059,2254,2853,2783,2576,2417,5297,3401,2638,3197,1573,1751,1867,1920,225,4198,1358,7688,58707,
"Richmond Valley (A)",34,78,60,217,372,1009,551,1040,817,915,703,424,454,619,327,135,111,44,26,13,10,8,554,369,1426,10319,
"Rockdale (C)",121,757,310,719,953,2102,1384,2357,2314,2839,2695,2413,2237,4561,2672,1933,1583,747,679,628,451,56,2932,808,5063,43315,
"Ryde (C)",112,1067,348,751,923,1945,1304,2048,2156,2864,2685,2509,2365,4770,3008,2231,2244,1184,1187,1178,990,144,2880,752,4584,46242,
"Shellharbour (C)",40,213,148,434,767,1752,1031,2122,1610,1934,1714,1462,1382,2535,1599,946,660,371,291,207,118,25,1821,585,2676,26456,
"Shoalhaven (C)",95,400,328,993,1584,4005,2318,4452,3304,3623,3035,2072,1800,2803,1554,851,614,271,270,195,167,30,2749,1469,15534,54518,
"Singleton (A)",19,71,55,148,202,454,287,454,434,550,508,430,455,976,594,375,354,201,197,147,76,16,653,181,1518,9355,
"Snowy Monaro Regional (A)",23,69,78,198,297,608,438,687,604,686,641,505,457,822,493,291,279,92,107,114,104,49,633,489,3301,12077,
"Snowy Valleys (A)",20,46,42,153,229,508,289,482,402,475,424,321,292,539,256,134,95,36,35,21,21,6,473,200,1471,6969,
"Strathfield (A)",47,274,107,243,298,504,387,646,652,900,825,757,705,1478,909,645,550,325,321,360,374,122,1116,227,1705,14472,
"Sutherland Shire (A)",124,713,428,969,1432,3571,2390,3704,3864,5101,4463,4034,4135,8666,6542,4962,4245,2632,2523,2421,1870,300,6047,1571,7816,84526,
"Sydney (C)",368,4170,882,2153,2745,3402,2365,3026,3615,4783,4676,4616,4398,10287,5054,4164,7493,2229,2628,2881,3248,274,6061,3083,21440,110036,
