Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"LGA by HIND Total Household Income (weekly)"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"HIND Total Household Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Partial income stated","All incomes not stated","Not applicable","Total",
"LGA",
"Derby-West Kimberley (S)",0,20,25,102,91,145,120,203,201,246,221,165,153,269,137,103,76,28,36,24,24,11,247,197,873,3695,
"Donnybrook-Balingup (S)",16,20,29,51,64,178,99,214,159,171,153,120,111,177,109,62,52,27,25,23,13,0,231,58,611,2774,
"Dowerin (S)",3,0,3,5,4,19,21,36,20,23,26,14,15,19,7,6,5,4,4,0,10,0,16,14,98,380,
"Dumbleyung (S)",0,8,0,8,11,18,13,15,35,28,24,14,12,22,8,7,5,0,0,0,0,0,27,7,120,386,
"Dundas (S)",0,6,5,22,27,57,18,44,26,35,30,24,24,31,7,3,8,8,0,0,0,0,26,75,289,774,
"East Fremantle (T)",7,38,22,49,57,135,85,132,118,132,152,132,141,219,149,141,191,137,118,145,116,17,274,40,537,3281,
"East Pilbara (S)",0,14,12,22,21,61,28,83,80,99,104,90,103,308,154,111,188,69,69,59,47,8,149,149,1282,3317,
"Esperance (S)",12,41,41,96,156,380,228,361,319,400,383,301,265,496,344,180,139,64,69,37,64,12,480,226,1556,6642,
"Exmouth (S)",8,24,24,37,47,113,56,185,128,192,144,95,93,195,108,64,64,28,35,31,24,6,131,162,420,2417,
"Fremantle (C)",37,158,91,417,459,814,469,602,610,733,676,573,568,1124,716,537,629,301,316,294,265,30,1076,293,2800,14594,
"Gingin (S)",7,37,32,49,49,165,91,178,145,173,138,90,105,164,87,28,60,25,24,8,23,0,217,99,1888,3890,
"Gnowangerup (S)",3,8,0,15,14,35,16,28,22,45,31,27,20,49,28,6,6,4,13,4,15,3,38,17,215,657,
"Goomalling (S)",0,3,0,15,20,37,10,43,29,30,24,17,19,37,27,8,10,4,8,4,8,4,27,17,123,524,
"Gosnells (C)",108,588,259,744,853,2236,1453,2619,2513,3271,3104,2584,2380,4721,2793,1705,1272,641,501,412,228,35,3427,803,5155,44408,
"Greater Geraldton (C)",39,179,120,369,492,914,659,1065,831,1062,948,766,785,1435,829,562,419,196,186,126,114,15,1537,441,3442,17538,
"Halls Creek (S)",0,11,14,54,34,62,62,58,91,84,53,49,49,78,37,16,27,4,10,5,5,0,80,106,441,1441,
"Harvey (S)",25,90,68,137,199,525,334,672,572,608,581,533,559,1075,643,409,323,151,147,106,62,7,1026,222,1903,10977,
"Irwin (S)",7,26,13,46,54,134,80,145,103,122,105,67,62,126,63,45,40,18,21,4,15,5,174,48,468,1988,
"Jerramungup (S)",5,4,3,11,3,24,20,42,34,41,40,13,30,39,24,17,11,3,3,0,7,0,31,12,399,821,
"Joondalup (C)",104,548,319,710,830,2283,1656,2720,2725,3598,3200,2873,2905,6314,4605,3243,3030,1846,1754,1470,926,133,5467,910,6176,60348,
"Kalamunda (S)",44,221,134,297,379,1034,725,1217,1149,1565,1388,1242,1202,2354,1583,1018,863,440,370,358,233,40,1985,428,2529,22786,
"Kalgoorlie/Boulder (C)",20,98,65,167,210,364,244,404,374,552,595,601,665,1435,886,670,683,298,290,250,153,14,954,373,2686,13047,
"Karratha (C)",11,56,33,67,69,127,88,196,194,284,276,298,353,1033,520,434,772,350,343,322,238,21,596,265,2860,9815,
"Katanning (S)",3,11,13,41,42,84,65,149,99,119,114,83,78,123,78,44,36,14,13,11,13,0,130,53,426,1835,
"Kellerberrin (S)",0,10,3,6,12,52,30,42,42,42,29,24,17,30,24,20,3,0,5,3,10,0,36,21,109,566,
"Kent (S)",0,0,0,5,0,5,6,17,17,25,19,6,10,20,11,3,6,0,8,4,0,0,23,8,103,304,
"Kojonup (S)",6,3,13,19,23,61,40,46,59,52,62,42,51,70,41,26,16,10,14,0,13,0,54,34,223,970,
"Kondinin (S)",0,3,0,13,16,26,10,22,25,25,28,19,15,39,11,13,9,0,8,0,9,0,33,14,112,445,
"Koorda (S)",4,0,0,9,9,12,8,23,9,16,8,15,3,13,10,3,3,0,0,0,7,0,19,6,63,245,
"Kulin (S)",0,3,3,5,8,20,15,25,27,32,20,10,17,36,11,9,9,0,8,0,3,4,34,6,164,466,
"Kwinana (C)",28,144,64,264,331,726,506,810,863,1117,1030,924,838,1575,965,518,344,161,115,113,63,14,1200,264,2334,15307,
"Lake Grace (S)",4,4,0,5,14,29,22,30,40,41,38,27,28,57,25,15,19,5,9,5,13,3,48,23,262,753,
"Laverton (S)",0,0,8,11,7,18,15,17,17,16,23,16,13,20,8,5,0,0,0,0,0,0,18,7,160,368,
