,,,Employee income earners,Employee income earners - median age ,Total Employee income,Median Employee income,Mean Employee income,Employee income as main source of income,Own unincorporated business income earners,Own unincorporated business income earners - median age ,Total Own unincorporated business income,Median Own unincorporated business income,Mean Own unincorporated business income,Own unincorporated business income as main source of income ,Investment income earners,Investment income earners - median age,Total Investment income,Median Investment income,Mean Investment income,Investment income as main source of income,Superannuation and annuity income earners,Superannuation and annuity income earners - median age,Total Superannuation and annuity income,Median Superannuation and annuity income,Mean Superannuation and annuity income,Superannuation and annuity income as main source of income, Total income earners (excl. Government pensions),Total income earners (excl. Government pensions and allowances) - median age,Total income (excl. Government pensions),Median Total income (excl. Government pensions),Mean Total income (excl. Government pensions),Total income (excl. Government pensions and allowances) - P80/P20,Total income (excl. Government pensions and allowances) - P80/P50,Total income (excl. Government pensions and allowances) - P20/P50 ,Total income (excl. Government pensions and allowances) - P10/P50,Total income (excl. Government pensions and allowances) - Gini coefficient,Total income (excl. Government pensions and allowances) - Income share of top 1% of earners,Total income (excl. Government pensions and allowances) - Income share of top 5% of earners,Total income (excl. Government pensions and allowances) - Income share of top 10% of earners,Total income (excl. Government pensions and allowances) - Lowest Quartile,Total income (excl. Government pensions and allowances) - Second Quartile,Total income (excl. Government pensions and allowances) - Third Quartile,Total income (excl. Government pensions and allowances) - Highest Quartile,Gross Capital Gains - Persons,Gross Capital Gains - Amount ,Gross Capital Gains - Median,Gross Capital Gains - Mean,Age Pension - Centrelink,Age Pension - DVA,Service Pension - DVA,Income Support Supplement - DVA,Carer Payment,Disability Support Pension,Newstart Allowance,Parenting Payment - Single,Parenting Payment - Partnered,Youth Allowance (Full time students/apprentices),Youth Allowance (Other),Family Tax Benefit A,Family Tax Benefit B,Persons earning $1-$499 per week,Persons earning $500-$999 per week,Persons earning $1000-$1999 per week,Persons earning $2000-$2999 per week,Persons earning $3000 or more per week,Persons earning nil income,Persons with a negative income,Median equivalised total household income (weekly)
CODE,LABEL,YEAR,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,%,no.,years,$,$,$,ratio,ratio,ratio, ratio,no.,%,%,%,%,%,%,%,no.,$m,$,$,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,%,%,%,%,%,%,%,$
21450,Cardinia (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,106",4,284,104,865,"2,238","2,381","1,372",429,684,343,"8,193","6,311",-,-,-,-,-,-,-,-
21610,Casey (C),2011,"124,100",38,"5,605,558,169","41,577","45,170",84.1,"17,087",42,"320,493,168","12,388","18,757",7.2,"75,184",42,"391,206,417",189,"5,203",7.5,"2,558",57,"44,967,049","10,000","17,579",0.8,"134,484",40,"6,275,928,640","41,153","46,667",3.96,1.65,0.42,0.2,0.409,6.6,17.6,27.6,22.1,27.4,30.8,19.7,"4,876",181.3,"2,854","37,189","17,617",-,-,-,"2,283","8,104","5,457","4,080",-,"4,713",850,-,-,-,-,-,-,-,-,-,746
21610,Casey (C),2012,"127,875",38,"5,989,634,254","42,930","46,840",84,"17,342",43,"323,695,863","12,352","18,665",7.2,"80,310",42,"435,069,262",178,"5,417",7.6,"2,638",57,"50,341,656","10,925","19,083",0.8,"137,365",40,"6,678,817,242","42,665","48,621",3.86,1.66,0.43,0.22,0.407,6.7,17.6,27.7,22.3,28.1,30.6,19,"3,844",114.2,"2,304","29,698","18,467",19,956,409,"2,655","8,550","6,037","4,013",-,"3,942",898,"27,025","21,654",-,-,-,-,-,-,-,-
21610,Casey (C),2013,"132,501",38,"6,372,007,593","44,088","48,090",83.6,"17,865",42,"327,262,984","12,659","18,319",7.3,"82,831",42,"415,927,004",148,"5,021",7.7,"2,721",57,"51,801,953","10,000","19,038",0.8,"140,427",40,"7,006,824,808","44,037","49,897",3.7,1.65,0.45,0.23,0.4,6,17,27.1,22.5,28.5,30.5,18.5,"4,487",106.1,"1,765","23,640","19,512",17,892,382,"2,925","8,640","7,920","3,068",-,"3,543","1,409","26,805","22,096",-,-,-,-,-,-,-,-
21610,Casey (C),2014,"138,387",38,"6,800,251,679","44,964","49,139",83.4,"19,098",42,"367,312,076","13,391","19,233",7.6,"88,053",42,"427,276,296",119,"4,852",7.7,"2,945",57,"56,743,288","10,000","19,268",0.8,"146,508",40,"7,445,882,083","44,833","50,822",3.71,1.65,0.45,0.23,0.399,5.8,16.8,27,22.6,28.8,30.4,18.2,"4,975",145.7,"2,491","29,286","20,400",19,843,352,"3,357","8,923","8,535","3,183",-,"3,499","1,399","26,993","22,467",-,-,-,-,-,-,-,-
21610,Casey (C),2015,"146,007",38,"7,344,083,524","46,058","50,300",82.4,"20,731",41,"416,883,706","14,058","20,109",8.2,"95,469",42,"435,338,315",100,"4,560",8.1,"3,089",57,"63,983,132","10,849","20,713",0.9,"153,331",40,"7,932,249,859","45,726","51,733",3.77,1.66,0.44,0.22,0.4,5.6,16.7,26.9,22.9,28.6,30.2,18.3,"5,723",194.5,"3,008","33,991","21,449",18,790,309,"3,581","8,963","8,925","3,210",-,"3,553","1,350","27,253","22,821",-,-,-,-,-,-,-,-
21610,Casey (C),2016,"152,575",38,"7,939,273,905","47,492","52,035",82.3,"22,666",40,"458,195,882","13,543","20,215",8.4,"102,866",41,"468,083,253",79,"4,550",8,"3,156",58,"69,717,410","11,089","22,090",0.9,"161,779",40,"8,572,543,704","46,719","52,989",3.87,1.67,0.43,0.22,0.403,5.7,16.8,27.1,22.7,28.5,30.1,18.7,"5,662",232.4,"3,344","41,052","22,399",18,753,280,"3,746","8,652","8,514","3,313",-,"3,576","1,092","27,642","22,147",26.9,26.2,22.6,3.2,1.2,11.7,0.7,842
21610,Casey (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"22,740",16,671,265,"3,794","8,471","8,468","3,374","1,905","3,440","1,090","27,719","21,121",-,-,-,-,-,-,-,-
21670,Central Goldfields (S),2011,"4,644",42,"161,254,244","31,630","34,723",72.2,"1,139",52,"15,052,301","5,076","13,215",9.8,"3,643",51,"19,623,089",479,"5,387",15.6,203,58,"3,437,013","14,444","16,931",2,"5,580",47,"195,887,146","30,358","35,105",5.76,1.76,0.31,0.11,0.464,6.4,18.4,29.6,33.9,30.5,24.6,11,369,4.7,"2,496","12,766","2,710",-,-,-,276,"1,153",468,284,-,206,95,-,-,-,-,-,-,-,-,-,478
21670,Central Goldfields (S),2012,"4,814",42,"171,064,846","32,240","35,535",72.4,"1,134",53,"15,914,585","6,598","14,034",10,"3,711",51,"20,884,059",463,"5,628",15,204,58,"4,760,357","15,746","23,335",2.1,"5,599",47,"208,291,723","32,370","37,202",4.91,1.72,0.35,0.13,0.452,6.4,18.4,29.3,32.8,32.5,24.1,10.6,271,5.5,"2,608","20,168","2,776",6,146,84,287,"1,195",478,267,-,123,103,"1,192",932,-,-,-,-,-,-,-,-
21670,Central Goldfields (S),2013,"4,854",43,"183,163,191","34,814","37,734",72.1,"1,156",54,"14,744,842","5,132","12,755",9.8,"3,765",51,"20,682,851",412,"5,493",14.9,225,57,"4,447,651","15,780","19,767",2.3,"5,659",48,"217,062,728","33,898","38,357",4.96,1.72,0.35,0.12,0.45,6,17.9,28.8,33.1,31.9,24.6,10.4,320,5.3,"1,876","16,632","2,861",4,133,84,307,"1,170",590,201,-,80,116,"1,153",925,-,-,-,-,-,-,-,-
21670,Central Goldfields (S),2014,"4,839",43,"184,800,944","35,644","38,190",72.2,"1,126",53,"15,971,468","6,663","14,184",9.9,"3,834",51,"20,589,237",327,"5,370",15.2,216,57,"4,470,981","15,487","20,699",2.3,"5,600",48,"218,368,204","35,181","38,994",5.08,1.67,0.33,0.12,0.442,6,17.4,28.1,32.5,32.3,25.3,9.9,336,5.4,"1,594","16,027","2,899",4,121,87,346,"1,163",662,201,-,59,143,"1,125",903,-,-,-,-,-,-,-,-
21670,Central Goldfields (S),2015,"4,902",43,"191,496,459","37,139","39,065",71.4,"1,106",54,"15,776,430","7,319","14,264",10.1,"3,927",51,"20,396,037",282,"5,194",15.7,227,57,"4,864,500","12,530","21,430",2.4,"5,653",48,"223,926,925","35,590","39,612",5.2,1.69,0.33,0.12,0.447,5.9,17.5,28.2,33.6,31.4,25.3,9.7,344,5.5,"2,093","16,014","2,977",-,115,84,346,"1,153",709,198,-,48,154,"1,112",915,-,-,-,-,-,-,-,-
21670,Central Goldfields (S),2016,"4,875",43,"197,341,449","37,347","40,480",71.9,"1,033",54,"12,511,631","6,706","12,112",9.8,"3,911",51,"19,043,698",230,"4,869",15.3,218,58,"4,622,598","11,878","21,205",2.5,"5,607",48,"224,392,854","35,144","40,020",5.6,1.76,0.31,0.11,0.464,6.5,18.3,29.2,34.4,31.1,24.6,9.9,340,6.2,"1,352","18,320","3,052",-,107,79,371,"1,102",790,195,-,60,118,"1,084",871,45.1,26.1,10.5,1.1,0.6,6.1,0.6,519
21670,Central Goldfields (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,016",-,102,74,384,"1,090",737,203,82,59,131,"1,065",811,-,-,-,-,-,-,-,-
21750,Colac-Otway (S),2011,"9,748",40,"366,921,641","34,027","37,641",70,"2,836",53,"49,000,077","8,432","17,278",12,"8,175",49,"60,728,788",581,"7,429",16.4,398,58,"6,545,519","7,817","16,446",1.1,"12,082",45,"479,528,712","34,368","39,690",5.67,1.79,0.32,0.12,0.465,6.4,18.6,29.5,30.7,27.9,26,15.5,839,29.4,"3,092","35,092","2,806",-,-,-,177,"1,097",505,332,-,255,109,-,-,-,-,-,-,-,-,-,610
21750,Colac-Otway (S),2012,"9,812",41,"381,479,510","35,425","38,879",69.8,"2,857",53,"47,709,243","7,928","16,699",11.8,"8,446",50,"68,414,650",596,"8,100",16.6,436,58,"7,904,329","8,885","18,129",1.4,"12,051",46,"499,686,756","35,851","41,464",5.24,1.77,0.34,0.13,0.459,6.5,18.6,29.4,30.4,28.7,26.8,14.2,627,20.1,"2,294","32,101","2,829",4,161,104,191,"1,105",541,344,-,150,137,"1,824","1,380",-,-,-,-,-,-,-,-
21750,Colac-Otway (S),2013,"9,940",41,"401,177,902","36,631","40,360",69.8,"2,855",54,"25,976,541","4,030","9,099",10.3,"8,376",50,"65,072,562",545,"7,769",17.5,447,58,"7,581,324","9,777","16,960",1.4,"12,034",46,"490,948,263","35,636","40,797",5.63,1.81,0.32,0.1,0.477,6.1,18.2,29.3,32.8,28.4,25.3,13.5,688,20.2,"1,778","29,341","2,875",4,151,95,206,"1,111",691,235,-,109,155,"1,773","1,344",-,-,-,-,-,-,-,-
21750,Colac-Otway (S),2014,"10,029",41,"417,531,698","37,664","41,632",70.2,"2,831",54,"42,683,242","6,455","15,077",11.1,"8,448",50,"70,411,530",450,"8,335",17,427,58,"6,739,552","9,761","15,783",1.3,"12,057",46,"526,635,093","37,530","43,679",5.35,1.78,0.33,0.12,0.464,6.6,18.8,29.8,31.5,28.7,25.7,14.1,801,33.8,"2,684","42,192","2,945",4,137,80,212,"1,092",725,229,-,96,164,"1,711","1,310",-,-,-,-,-,-,-,-
21750,Colac-Otway (S),2015,"10,304",41,"436,483,382","38,170","42,361",69.3,"2,906",54,"50,439,229","8,210","17,357",12.1,"8,710",50,"69,608,589",379,"7,992",16.8,402,58,"8,509,212","10,026","21,167",1.4,"12,222",46,"547,039,181","38,634","44,759",4.93,1.76,0.36,0.13,0.45,6.1,18.2,29,30.4,29,26.6,14,835,28.3,"2,980","33,839","3,052",4,127,75,227,"1,066",732,238,-,71,140,"1,664","1,285",-,-,-,-,-,-,-,-
21750,Colac-Otway (S),2016,"10,457",41,"462,257,104","40,309","44,206",70.1,"2,785",54,"42,908,787","6,983","15,407",11.4,"8,779",50,"72,822,579",319,"8,295",16.6,425,58,"7,903,463","10,000","18,596",1.4,"12,418",46,"567,219,966","39,721","45,677",5.13,1.73,0.34,0.12,0.46,6.8,18.7,29.5,30.2,28.5,27.4,13.8,783,25.3,"2,806","32,251","3,065",-,116,67,225,"1,053",713,233,-,88,96,"1,605","1,192",33.8,28.8,18,1.9,1.3,5.5,0.8,695
21750,Colac-Otway (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,951",6,105,62,225,"1,016",695,212,58,73,83,"1,518","1,084",-,-,-,-,-,-,-,-
21830,Corangamite (S),2011,"6,511",40,"240,197,312","32,806","36,891",60.5,"3,383",51,"85,309,299","15,929","25,217",22,"6,495",50,"47,937,062",781,"7,381",15.9,252,58,"3,525,113","6,842","13,989",0.9,"9,174",47,"373,884,517","34,742","40,755",5.88,1.86,0.32,0.11,0.487,6.1,18.9,30.3,29.9,27.6,24.6,17.8,793,32.4,"2,607","40,811","2,060",-,-,-,123,701,301,210,-,197,55,-,-,-,-,-,-,-,-,-,599
21830,Corangamite (S),2012,"6,629",40,"255,129,337","34,064","38,487",60.5,"3,400",52,"77,048,363","14,570","22,661",20.9,"6,701",50,"54,846,739",835,"8,185",17,268,58,"4,613,262","7,223","17,214",1,"9,245",47,"386,910,298","35,615","41,851",5.73,1.84,0.32,0.11,0.488,6.5,19.5,30.6,31.2,27.9,24.7,16.2,574,20.7,"2,453","35,997","2,134",7,102,88,125,721,307,200,-,125,45,"1,348",972,-,-,-,-,-,-,-,-
21830,Corangamite (S),2013,"6,631",41,"262,587,520","35,012","39,600",61.5,"3,256",53,"28,339,611","6,263","8,704",17,"6,651",50,"51,185,230",699,"7,696",18.8,241,58,"3,997,380","8,688","16,587",1.1,"9,138",47,"341,165,351","32,413","37,335",6.74,1.91,0.28,0.06,0.552,6.4,19.7,31.7,36.2,28.2,22.6,13,809,19.3,"2,050","23,903","2,152",8,97,84,149,715,382,154,-,82,54,"1,275",927,-,-,-,-,-,-,-,-
21830,Corangamite (S),2014,"6,826",41,"278,519,283","35,400","40,803",61.5,"3,308",53,"97,920,355","16,790","29,601",21.5,"6,640",51,"50,657,475",614,"7,629",15.3,262,58,"5,148,492","8,538","19,651",1.1,"9,204",48,"425,209,242","38,371","46,198",5.38,1.86,0.35,0.13,0.482,6.5,19.6,30.8,30.9,27.3,24.5,17.2,"1,017",47.2,"4,059","46,441","2,207",7,94,81,166,720,444,158,-,62,51,"1,236",928,-,-,-,-,-,-,-,-
21830,Corangamite (S),2015,"7,025",41,"297,560,849","37,112","42,357",60.9,"3,329",54,"94,594,911","17,706","28,415",22.3,"6,878",50,"55,200,107",565,"8,026",15.4,247,58,"4,200,332","9,926","17,005",0.9,"9,312",48,"439,077,134","39,657","47,152",5.19,1.84,0.35,0.13,0.479,6.4,19.4,30.6,30,28.2,24.7,17.2,861,25.7,"3,396","29,798","2,276",6,81,70,163,694,440,159,-,58,50,"1,151",880,-,-,-,-,-,-,-,-
21830,Corangamite (S),2016,"6,918",42,"302,337,687","38,374","43,703",61.8,"3,128",54,"56,698,967","11,768","18,126",19.6,"6,792",50,"51,350,468",476,"7,560",17.1,229,58,"4,503,851","10,502","19,667",1.1,"9,090",48,"401,013,379","37,852","44,116",5.85,1.86,0.32,0.1,0.498,5.8,18.5,30.2,32.3,28.2,24.3,15.2,754,24.9,"1,916","32,966","2,295",4,71,64,171,676,453,162,-,62,57,"1,120",834,34.3,25.8,17.4,2.1,1.9,6.3,1.1,669
21830,Corangamite (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,198",-,63,61,174,662,479,169,60,61,41,"1,097",784,-,-,-,-,-,-,-,-
21890,Darebin (C),2011,"66,234",36,"3,194,794,546","41,302","48,235",81,"10,448",40,"208,450,413","9,207","19,951",7.3,"48,995",40,"280,750,043",436,"5,730",10.4,"1,563",58,"30,123,149","12,101","19,273",0.9,"71,900",38,"3,623,536,464","41,385","50,397",4.78,1.82,0.38,0.18,0.445,6.9,19.2,30.1,23.8,25.4,26.2,24.5,"3,451",104.1,"2,460","30,167","16,750",-,-,-,"1,383","6,378","3,733","1,520",-,"2,998",329,-,-,-,-,-,-,-,-,-,746
21890,Darebin (C),2012,"67,821",36,"3,403,225,997","42,995","50,180",80.9,"10,701",41,"217,343,721","9,417","20,311",7.3,"51,160",40,"321,189,587",431,"6,278",10.5,"1,595",58,"32,679,730","13,689","20,489",0.9,"72,901",38,"3,861,167,975","43,311","52,965",4.64,1.81,0.39,0.19,0.445,7.3,19.5,30.4,24,25.6,26.5,23.8,"2,844",75.0,"1,967","26,380","16,552",21,592,446,"1,497","6,110","4,068","1,407",-,"2,857",312,"8,194","6,917",-,-,-,-,-,-,-,-
21890,Darebin (C),2013,"70,089",36,"3,617,368,675","44,090","51,611",80.6,"11,064",41,"218,013,874","9,453","19,705",7.4,"52,766",40,"330,632,595",384,"6,266",10.5,"1,637",58,"35,360,107","12,455","21,601",1,"74,143",39,"4,054,507,800","44,838","54,685",4.42,1.8,0.41,0.2,0.439,6.8,19.1,29.9,24.2,25.7,26.5,23.6,"3,375",79.5,"1,572","23,569","16,549",18,503,415,"1,526","5,979","4,849",974,-,"2,827",431,"7,876","6,895",-,-,-,-,-,-,-,-
21890,Darebin (C),2014,"72,221",36,"3,835,473,482","45,305","53,107",80.6,"11,253",41,"231,504,693","10,358","20,573",7.5,"54,324",40,"346,074,552",353,"6,371",10.5,"1,666",58,"38,001,609","13,295","22,810",1,"75,882",39,"4,254,224,883","45,812","56,064",4.49,1.8,0.4,0.19,0.443,7,19.3,30.2,24.5,25.5,26.3,23.7,"4,191",115.1,"2,053","27,475","16,400",16,452,366,"1,624","5,998","4,954",975,-,"2,755",473,"7,696","6,870",-,-,-,-,-,-,-,-
21890,Darebin (C),2015,"76,541",36,"4,208,153,294","46,815","54,979",80.2,"11,819",41,"252,602,571","9,985","21,373",7.6,"57,382",40,"371,409,427",304,"6,473",10.8,"1,723",58,"41,451,868","14,482","24,058",1.1,"78,669",39,"4,548,668,249","47,153","57,820",4.56,1.81,0.4,0.19,0.446,7,19.4,30.4,24.5,25.2,26.4,23.9,"4,608",172.9,"2,980","37,529","16,387",13,399,313,"1,684","5,785","5,203",949,-,"2,730",417,"7,410","6,580",-,-,-,-,-,-,-,-
21890,Darebin (C),2016,"79,100",36,"4,532,107,068","48,779","57,296",80.3,"12,564",40,"267,787,032","10,224","21,314",7.6,"60,157",40,"380,848,649",255,"6,331",10.6,"1,678",58,"40,461,925","14,926","24,113",1,"81,790",38,"4,874,549,434","48,679","59,598",4.64,1.82,0.39,0.19,0.446,6.8,19.2,30.3,24,25,26.3,24.7,"4,637",143.0,"2,221","30,843","16,208",12,362,268,"1,666","5,440","4,782",944,-,"2,707",366,"7,166","5,958",29.2,21.7,22.7,5,2.8,8.9,0.5,902
21890,Darebin (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"15,576",10,315,227,"1,604","5,166","4,634",891,426,"2,408",387,"6,784","5,374",-,-,-,-,-,-,-,-
22110,East Gippsland (S),2011,"17,648",43,"661,007,965","32,406","37,455",68,"5,184",53,"79,171,267","7,153","15,272",11.3,"15,229",53,"120,556,108",750,"7,916",17.8,928,59,"19,060,504","14,992","20,539",2.2,"22,362",49,"869,371,763","31,769","38,877",5.93,1.86,0.31,0.11,0.485,7.7,20.7,32,32.4,30,23.1,14.5,"1,710",39.9,"3,730","23,339","7,495",-,-,-,502,"2,639","1,360",799,-,521,184,-,-,-,-,-,-,-,-,-,551
22110,East Gippsland (S),2012,"17,931",43,"706,356,966","33,562","39,393",68.3,"5,167",54,"73,662,967","6,981","14,256",11,"15,675",53,"119,077,892",705,"7,597",17.8,952,59,"21,424,070","15,839","22,504",2.3,"22,458",49,"906,535,581","33,066","40,366",5.61,1.85,0.33,0.12,0.484,7.4,20.7,31.9,32.9,30.4,22.9,13.8,"1,419",31.4,"3,035","22,153","7,765",12,552,228,569,"2,631","1,414",766,-,312,182,"3,557","2,765",-,-,-,-,-,-,-,-
22110,East Gippsland (S),2013,"18,211",44,"752,278,214","35,334","41,309",68.5,"5,172",54,"63,377,178","6,192","12,254",10.6,"15,572",53,"118,314,924",643,"7,598",18,896,59,"19,256,027","15,770","21,491",2.1,"22,423",49,"934,201,835","34,232","41,663",5.44,1.84,0.34,0.12,0.482,7,20.3,31.6,33.3,30.2,22.6,13.9,"1,485",33.1,"2,158","22,307","8,041",9,523,215,614,"2,634","1,725",597,-,191,314,"3,489","2,783",-,-,-,-,-,-,-,-
22110,East Gippsland (S),2014,"18,605",44,"788,661,784","36,000","42,390",68.9,"5,259",54,"77,715,068","7,072","14,778",10.9,"15,938",53,"119,149,459",544,"7,476",17.4,885,59,"19,681,955","15,796","22,239",2.1,"22,730",49,"982,515,164","35,309","43,225",5.43,1.85,0.34,0.12,0.478,7.1,20.4,31.7,32.7,30.7,22.5,14.1,"1,644",41.5,"3,236","25,255","8,338",8,489,201,721,"2,677","1,904",603,-,180,321,"3,499","2,789",-,-,-,-,-,-,-,-
22110,East Gippsland (S),2015,"19,099",44,"831,067,319","37,137","43,514",68.1,"5,322",55,"85,140,648","8,587","15,998",12,"16,398",53,"121,679,738",464,"7,420",17.1,890,59,"21,582,664","16,397","24,250",2.2,"23,006",49,"1,023,617,845","36,706","44,494",5.29,1.84,0.35,0.13,0.473,6.8,20,31.3,32.3,30.2,23.3,14.2,"1,692",50.0,"3,397","29,535","8,708",4,469,186,764,"2,642","2,019",591,-,183,279,"3,428","2,757",-,-,-,-,-,-,-,-
22110,East Gippsland (S),2016,"19,127",44,"846,333,852","37,835","44,248",68.1,"5,325",55,"90,566,945","8,813","17,008",12,"16,617",53,"121,044,114",374,"7,284",17.1,865,59,"20,886,433","16,156","24,146",2.2,"23,136",50,"1,038,250,921","37,018","44,876",5.47,1.85,0.34,0.12,0.476,6.9,20,31.3,32.4,30.5,22.8,14.2,"1,644",40.5,"2,416","24,629","9,002",-,457,169,774,"2,532","2,103",594,-,176,234,"3,362","2,636",37.5,26.4,15,1.8,1.2,5.6,0.6,621
22110,East Gippsland (S),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,985",4,426,155,766,"2,461","2,193",619,211,165,282,"3,274","2,484",-,-,-,-,-,-,-,-
22170,Frankston (C),2011,"62,479",39,"2,820,041,263","40,612","45,136",81.4,"8,568",44,"164,119,835","11,865","19,155",7,"40,818",45,"197,259,493",252,"4,833",9.6,"2,018",58,"39,237,762","13,417","19,444",1.4,"68,823",41,"3,153,072,276","40,235","45,814",4.29,1.7,0.4,0.18,0.417,5.7,17.1,27.5,23.4,27.3,29.2,20,"3,033",73.2,"2,411","24,135","13,548",-,-,-,"1,017","5,515","3,632","2,690",-,"2,121",600,-,-,-,-,-,-,-,-,-,723
22170,Frankston (C),2012,"64,143",39,"3,011,687,864","42,180","46,953",81.5,"8,547",44,"167,649,909","12,297","19,615",6.9,"42,707",45,"210,318,397",236,"4,925",9.7,"1,988",59,"40,771,356","14,556","20,509",1.4,"69,959",41,"3,338,215,944","41,874","47,717",4.14,1.7,0.41,0.19,0.413,5.7,17.1,27.5,23.8,27.7,29.3,19.2,"2,439",55.5,"2,095","22,759","13,675",40,"1,096",450,"1,044","5,600","3,914","2,581",-,"1,552",614,"11,846","9,854",-,-,-,-,-,-,-,-
22170,Frankston (C),2013,"65,187",39,"3,150,529,133","43,407","48,331",81.1,"8,708",44,"165,948,749","12,154","19,057",7,"43,308",45,"211,345,725",194,"4,880",9.8,"2,077",58,"41,145,038","12,444","19,810",1.4,"70,048",42,"3,461,673,089","43,217","49,419",3.98,1.7,0.43,0.21,0.409,5.5,16.8,27.2,23.9,28.1,29,19,"2,785",59.2,"1,358","21,241","14,083",38,"1,012",416,"1,172","5,711","4,811","1,965",-,"1,417",884,"11,593","9,933",-,-,-,-,-,-,-,-
22170,Frankston (C),2014,"66,885",40,"3,304,280,172","44,461","49,402",81.3,"8,875",44,"176,626,815","12,581","19,902",7.1,"44,727",45,"222,874,660",162,"4,983",9.7,"2,124",58,"41,578,159","12,444","19,575",1.4,"71,210",42,"3,602,577,325","44,371","50,591",3.97,1.69,0.43,0.21,0.408,5.6,16.8,27.2,23.8,28.1,29.2,18.9,"3,036",73.5,"2,260","24,222","14,306",31,936,384,"1,329","5,893","5,090","2,093",-,"1,460",809,"11,511","9,967",-,-,-,-,-,-,-,-
22170,Frankston (C),2015,"69,898",40,"3,568,669,614","45,806","51,055",81,"9,128",44,"187,456,903","12,904","20,536",7.1,"47,449",45,"231,919,603",137,"4,888",9.8,"2,247",58,"51,644,169","13,465","22,984",1.6,"73,181",42,"3,817,923,495","45,704","52,171",3.95,1.69,0.43,0.21,0.409,5.5,16.9,27.4,23.5,28,29.4,19.2,"3,368",92.4,"3,053","27,429","14,832",27,891,352,"1,436","5,755","5,352","2,125",-,"1,421",740,"11,268","9,839",-,-,-,-,-,-,-,-
22170,Frankston (C),2016,"71,105",40,"3,785,881,584","47,678","53,244",81,"9,227",44,"195,774,409","13,766","21,218",7.1,"49,711",44,"244,680,458",116,"4,922",9.9,"2,261",58,"48,653,085","13,253","21,518",1.5,"74,898",42,"4,042,947,719","47,260","53,979",4,1.69,0.42,0.2,0.41,5.6,16.9,27.3,22.8,27.7,29.5,19.9,"3,354",100.3,"2,855","29,908","15,119",25,810,329,"1,497","5,577","4,904","2,005",-,"1,318",615,"11,041","9,157",28.5,26.2,23.2,3.4,1.4,7.8,0.4,836
22170,Frankston (C),2017,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"14,873",23,715,312,"1,466","5,329","4,712","1,971",420,"1,226",573,"10,557","8,523",-,-,-,-,-,-,-,-
22250,Gannawarra (S),2011,"4,233",43,"146,114,938","30,981","34,518",62.4,"1,842",54,"22,840,644","5,755","12,400",15.6,"4,202",52,"29,049,204",934,"6,913",20.4,151,58,"2,737,928","7,142","18,132",1.1,"5,685",48,"197,075,301","29,466","34,666",7.03,1.85,0.26,0.08,0.506,6.8,19.7,31.4,35.6,29.7,22.8,12,578,24.7,"3,055","42,669","1,888",-,-,-,135,506,264,140,-,130,41,-,-,-,-,-,-,-,-,-,526
22250,Gannawarra (S),2012,"4,341",43,"157,673,392","32,966","36,322",63.1,"1,816",54,"25,525,401","6,661","14,056",15.5,"4,243",52,"32,520,282",939,"7,664",19.9,163,58,"3,533,390","11,061","21,677",1.2,"5,691",49,"213,991,226","33,116","37,602",6.52,1.8,0.28,0.08,0.504,6.2,19.2,30.7,34.7,28.8,23.9,12.7,393,22.1,"7,131","56,124","1,923",4,115,89,146,536,244,142,-,76,47,904,643,-,-,-,-,-,-,-,-
