Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"Canada Bay (A)",413,8232,2456,3687,4475,4325,4084,4205,5247,6245,4732,4615,3516,6515,5342,5635,14289,88015,
"Canterbury-Bankstown (A)",2043,36156,11801,24144,27954,24015,20483,20791,22089,21324,13340,9910,6593,8599,3492,22537,71037,346300,
"Carrathool (A)",17,130,74,109,197,215,182,197,218,215,136,77,45,62,50,265,539,2723,
"Central Coast (C) (NSW)",1081,19754,11130,18915,27709,27876,23587,22117,22630,21486,13719,11451,7987,10255,4940,22675,60430,327736,
"Central Darling (A)",6,108,38,179,139,154,94,85,90,82,43,33,29,31,21,345,349,1831,
"Cessnock (C)",171,3251,1706,3609,5118,4692,3608,3543,3345,3126,1871,1466,1057,1750,695,5167,11376,55561,
"Clarence Valley (A)",209,2512,1686,4045,6183,5421,4044,3683,3126,2473,1356,1094,741,792,399,4599,8303,50670,
"Cobar (A)",17,315,121,203,290,289,226,231,222,236,165,197,148,312,118,539,1029,4650,
"Coffs Harbour (C)",307,3622,2398,4842,6757,6346,5637,5562,5326,4312,2694,1986,1398,1581,793,6026,13351,72949,
"Coolamon (A)",23,237,138,255,375,288,262,273,289,290,131,133,91,88,79,477,885,4313,
"Coonamble (A)",33,160,85,253,386,299,261,251,213,191,131,90,54,48,49,609,797,3919,
"Cowra (A)",45,611,361,888,1397,1212,946,999,828,663,371,299,190,192,130,1153,2160,12464,
"Cumberland (A)",1645,24430,7275,15118,16191,14298,12277,13235,14746,13569,8407,6198,3970,5081,1687,13591,44370,216077,
"Dungog (A)",27,549,327,564,738,738,658,563,565,553,334,272,228,284,162,735,1662,8976,
"Edward River (A)",41,410,273,547,760,721,637,645,657,578,325,268,149,209,97,966,1576,8847,
"Eurobodalla (A)",135,1628,1250,2665,4319,3886,3283,2898,2596,2134,1197,777,539,613,361,3633,5320,37229,
"Fairfield (C)",1446,21469,7486,18018,20316,15278,11530,12311,12935,11277,6580,4409,2566,2771,1050,11443,37934,198816,
"Federation (A)",43,572,351,759,1215,1127,978,804,897,813,486,334,193,211,106,1273,2096,12279,
"Forbes (A)",45,508,283,518,840,823,694,711,640,573,325,270,160,202,91,949,1952,9589,
"Georges River (A)",680,16728,5299,7871,9545,9039,8669,9027,10293,10488,7030,5884,4153,6280,3633,7607,24620,146834,
"Gilgandra (A)",32,202,127,272,424,362,343,302,290,216,133,106,81,58,54,432,793,4234,
"Glen Innes Severn (A)",58,370,291,716,947,954,670,634,540,423,206,162,101,129,61,1067,1508,8832,
"Goulburn Mulwaree (A)",107,1582,925,1664,2277,2329,2056,2063,2027,2000,1206,1035,760,897,303,3005,5376,29608,
"Greater Hume Shire (A)",53,554,351,572,807,775,775,665,762,662,433,300,203,212,145,830,2236,10357,
"Griffith (C)",115,1351,785,1283,1632,1608,1649,2026,2180,1700,1022,753,496,596,311,2768,5361,25635,
"Gundagai (A)",62,510,330,696,1183,1066,884,802,807,647,357,249,190,224,150,969,2015,11144,
"Gunnedah (A)",71,578,359,710,980,1003,794,782,822,686,475,383,298,468,244,1030,2528,12214,
"Gwydir (A)",51,272,137,377,567,490,364,341,358,290,152,88,82,73,53,588,974,5255,
"Hawkesbury (C)",263,4121,2073,3200,3839,3973,4029,4164,4741,5034,3475,2924,1985,2531,1002,4366,12870,64591,
"Hay (A)",12,160,89,170,236,237,205,201,198,192,117,79,44,67,39,384,512,2945,
"Hilltops (A)",105,924,605,1170,1793,1721,1430,1393,1325,1022,545,455,299,360,220,1517,3609,18497,
