Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by INCP Total Personal Income (weekly)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"INCP Total Personal Income (weekly)","Negative income","Nil income","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)","Not stated","Not applicable","Total",
"LGA (UR)",
"Manningham (C)",530,12002,5199,6926,7711,7139,6999,6515,7125,7417,5367,4848,3430,5556,4389,6382,18732,116260,
"Mansfield (S)",40,472,278,516,729,745,689,622,593,577,354,244,162,185,94,741,1539,8589,
"Maribyrnong (C)",391,6675,2578,5290,5378,4964,4416,4732,5640,5953,4318,3720,2614,4099,2006,6322,13189,82285,
"Maroondah (C)",367,7508,4531,6140,6606,7650,7002,6960,7796,8348,5952,4954,3374,4686,2026,5870,20606,110372,
"Melbourne (C)",1022,23876,4539,6936,6513,6346,6710,6240,7764,9133,7336,6407,4511,7969,5922,16001,8728,135964,
"Melton (C)",713,11289,4684,7335,7627,6953,7320,8186,9531,9851,6597,4795,3084,3577,1224,9333,33342,135443,
"Mildura (RC)",252,2876,1791,3599,4793,4536,3831,3955,3909,3270,2007,1487,864,867,506,5088,10231,53878,
"Mitchell (S)",188,2794,1474,2160,2803,2589,2409,2653,2980,2861,2008,1448,960,1074,401,3629,8475,40916,
"Moira (S)",178,1391,1013,1833,3007,2795,2269,2027,1987,1769,1008,736,468,412,284,2819,5133,29108,
"Monash (C)",1011,23378,8025,11127,12122,11317,10390,10103,11101,11897,8241,7103,5111,8241,4445,10100,28897,182617,
"Moonee Valley (C)",473,8283,4315,6576,7618,6990,6266,6214,7223,8121,6382,5514,3992,6449,4428,8282,19555,116674,
"Moorabool (S)",156,2224,1240,1782,2261,2104,1976,1955,2125,2155,1552,1235,868,1078,416,2262,6443,31820,
"Moreland (C)",615,11919,5141,10082,12018,11288,9631,9412,10965,11950,8757,7522,5081,7410,3365,11298,26101,162564,
"Mornington Peninsula (S)",522,9173,5592,8400,11970,12463,11682,10553,10712,10171,6978,5577,3996,5064,3756,11546,26840,154996,
"Mount Alexander (S)",58,875,720,1158,1710,1793,1466,1304,1266,1107,668,542,319,401,224,2322,2813,18762,
"Moyne (S)",122,861,559,933,1211,1228,1198,1067,1206,1174,722,529,333,350,253,1390,3363,16499,
"Murrindindi (S)",87,792,444,866,1348,1212,1048,919,954,927,539,364,259,313,173,1307,2180,13730,
"Nillumbik (S)",175,4490,2845,2916,2906,3131,3539,3364,3939,4232,3350,3087,2241,3555,2298,3141,12061,61274,
"Northern Grampians (S)",67,511,410,785,1272,1240,922,904,818,677,399,286,182,180,77,1004,1710,11436,
