"Australian Exporters: by Export Value Range, Industry, State, and Destination Country",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Total Goods and Services Credit ($m),404125,"per 5368.0 Table 1 'Credits, Total goods and services' for FY 2018",,,,,,
,DATA SOURCE,5368.0.55.006 Tables 6 & 7,,5368.0.55.006 Table 1.1,,,5368.0.55.006 Table 5.1,,,,,,,,,,"5368.0.55.006 Table 5.2, and 5368.0 Table 1",,,,,,,,
,,,,Number of Goods Exporters,,,Industry of exporter,,,,,,,,,,Value of Goods and Services Exports in FY 2018 by Industry of exporter (ratio per cell multiplied by Total Goods and Services),,,,,,,,
Destination Country,Value Range,State,Size,Total,,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL,,"Agriculture, forestry and fishing",Mining,Manufacturing,Construction,Wholesale Trade,Retail Trade,"Transport, postal and warehousing",Other (c),TOTAL
,,,,no.,%,,no.,no.,no.,no.,no.,no.,no.,no.,no.,,$,$,$,$,$,$,$,$,$
FINLAND,"$100,000 and less than $250,000",VIC,Medium,11,3%,,0,0,3,0,5,1,0,2,11,,0,0,17641,0,40067,7945,0,13806,79459
FINLAND,"$55,000 and less than $100,000",VIC,Medium,19,6%,,0,0,5,1,8,2,1,3,20,,0,0,29712,1813,67483,13381,11460,23253,147103
FINLAND,"$10,000 and less than $55,000",VIC,Small,19,6%,,0,0,4,1,7,3,1,5,21,,0,0,1934,252,6227,1871,772,2748,13804
FINLAND,"Less than $10,000",VIC,Small,33,10%,,1,0,7,1,12,4,1,8,34,,1466,0,3345,436,10767,3236,1335,4751,25335
FINLAND,$100m or more,QLD,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$50m and less than $100m,QLD,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$10m and less than $50m,QLD,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$1m and less than $10m,QLD,Large,4,1%,,0,0,1,0,1,1,0,1,4,,0,0,924788,0,610548,17689,0,73790,1626815
FINLAND,"$875,000 and less than $1m",QLD,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$750,000 and less than $875,000",QLD,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$500,000 and less than $750,000",QLD,Medium,2,1%,,0,0,1,0,1,0,0,0,2,,0,0,1300,0,2436,0,0,0,3736
FINLAND,"$250,000 and less than $500,000",QLD,Medium,4,1%,,0,0,1,0,1,1,0,1,4,,0,0,2780,0,5208,601,0,2290,10879
FINLAND,"$100,000 and less than $250,000",QLD,Medium,6,2%,,0,0,2,0,2,1,0,1,6,,0,0,4781,0,8957,1033,0,3938,18709
FINLAND,"$55,000 and less than $100,000",QLD,Medium,11,3%,,0,0,3,1,3,1,0,2,10,,0,0,8052,858,15086,1740,0,6633,32369
FINLAND,"$10,000 and less than $55,000",QLD,Small,11,3%,,0,0,2,1,3,2,0,3,11,,0,0,524,119,1392,243,0,784,3063
FINLAND,"Less than $10,000",QLD,Small,19,5%,,1,0,4,1,5,3,1,5,20,,315,0,906,206,2407,421,87,1355,5698
FINLAND,$100m or more,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$50m and less than $100m,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$10m and less than $50m,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$1m and less than $10m,SA,Large,1,0%,,0,0,1,0,1,0,0,0,2,,0,0,3374828,0,2564176,0,0,0,5939004
FINLAND,"$875,000 and less than $1m",SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$750,000 and less than $875,000",SA,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$500,000 and less than $750,000",SA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$250,000 and less than $500,000",SA,Medium,1,0%,,0,0,1,0,0,0,0,0,1,,0,0,10145,0,0,0,0,0,10145
FINLAND,"$100,000 and less than $250,000",SA,Medium,2,1%,,0,0,1,0,1,0,0,0,2,,0,0,17446,0,37617,0,0,0,55063
FINLAND,"$55,000 and less than $100,000",SA,Medium,4,1%,,0,0,1,0,1,0,0,1,3,,0,0,29383,0,63357,0,0,13474,106214
FINLAND,"$10,000 and less than $55,000",SA,Small,4,1%,,0,0,1,0,1,0,0,1,3,,0,0,1913,0,5846,0,0,1592,9351
FINLAND,"Less than $10,000",SA,Small,6,2%,,1,0,2,0,2,1,0,1,7,,913,0,3308,0,10108,916,0,2753,17998
FINLAND,$100m or more,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$50m and less than $100m,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$10m and less than $50m,WA,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$1m and less than $10m,WA,Large,3,1%,,0,0,1,0,1,0,0,1,3,,0,0,1629271,0,464114,0,0,22018,2115403
FINLAND,"$875,000 and less than $1m",WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$750,000 and less than $875,000",WA,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$500,000 and less than $750,000",WA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$250,000 and less than $500,000",WA,Medium,2,1%,,0,0,1,0,1,0,0,1,3,,0,0,4898,0,3959,0,0,683,9540
FINLAND,"$100,000 and less than $250,000",WA,Medium,4,1%,,0,0,1,0,1,0,0,1,3,,0,0,8422,0,6809,0,0,1175,16406
FINLAND,"$55,000 and less than $100,000",WA,Medium,6,2%,,0,0,2,0,2,1,0,1,6,,0,0,14185,0,11468,480,0,1979,28113
FINLAND,"$10,000 and less than $55,000",WA,Small,6,2%,,0,0,1,0,2,1,0,2,6,,0,0,924,0,1058,67,0,234,2283
FINLAND,"Less than $10,000",WA,Small,10,3%,,0,0,2,1,3,1,0,3,10,,0,0,1597,116,1830,116,0,404,4063
FINLAND,$100m or more,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$50m and less than $100m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$10m and less than $50m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$1m and less than $10m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$875,000 and less than $1m",TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$750,000 and less than $875,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$500,000 and less than $750,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$250,000 and less than $500,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$100,000 and less than $250,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$55,000 and less than $100,000",TAS,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$10,000 and less than $55,000",TAS,Small,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"Less than $10,000",TAS,Small,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$100m or more,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$50m and less than $100m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$10m and less than $50m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$1m and less than $10m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$875,000 and less than $1m",NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$750,000 and less than $875,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$500,000 and less than $750,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$250,000 and less than $500,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$100,000 and less than $250,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$55,000 and less than $100,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$10,000 and less than $55,000",NT,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"Less than $10,000",NT,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$100m or more,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$50m and less than $100m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$10m and less than $50m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,$1m and less than $10m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$875,000 and less than $1m",ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$750,000 and less than $875,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$500,000 and less than $750,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$250,000 and less than $500,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$100,000 and less than $250,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$55,000 and less than $100,000",ACT,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"$10,000 and less than $55,000",ACT,Small,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FINLAND,"Less than $10,000",ACT,Small,1,0%,,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,9047,9047
FRANCE,$100m or more,NSW,Large,3,0%,,0,0,1,0,1,0,0,1,3,,0,0,2465564,0,1578702,0,0,237230,4281496
FRANCE,$50m and less than $100m,NSW,Large,2,0%,,0,0,0,0,1,0,0,1,2,,0,0,0,0,985955,0,0,148159,1134114
FRANCE,$10m and less than $50m,NSW,Large,9,1%,,0,0,2,0,3,1,1,2,9,,0,0,7561674,0,4841743,166916,419376,727565,13717274
FRANCE,$1m and less than $10m,NSW,Large,42,3%,,1,1,9,1,14,4,2,10,42,,951581,52130171,36149385,178656,23146468,797959,2004871,3478202,118837293
FRANCE,"$875,000 and less than $1m",NSW,Large,5,0%,,0,0,1,0,2,0,0,1,4,,0,0,4014561,0,2570526,0,0,386271,6971358
FRANCE,"$750,000 and less than $875,000",NSW,Medium,5,0%,,0,0,1,0,2,1,0,1,5,,0,0,14502,0,26352,3618,0,14406,58878
FRANCE,"$500,000 and less than $750,000",NSW,Medium,16,1%,,0,0,4,1,6,2,1,3,17,,0,0,50823,3776,92352,12679,22170,50488,232288
FRANCE,"$250,000 and less than $500,000",NSW,Medium,35,2%,,1,0,8,1,13,4,1,7,35,,14677,0,108665,8074,197458,27108,47403,107948,511333
FRANCE,"$100,000 and less than $250,000",NSW,Medium,59,4%,,1,0,13,2,23,7,2,12,60,,25239,0,186870,13884,339566,46618,81518,185637,879331
FRANCE,"$55,000 and less than $100,000",NSW,Medium,100,6%,,2,0,22,4,38,11,4,20,101,,42509,0,314739,23385,571919,78516,137297,312662,1481028
FRANCE,"$10,000 and less than $55,000",NSW,Small,100,6%,,2,0,17,3,35,14,3,27,101,,2621,0,20491,3252,52770,10980,9251,36946,136311
FRANCE,"Less than $10,000",NSW,Small,173,11%,,3,1,30,6,60,24,6,46,176,,4532,1629,35431,5623,91246,18985,15997,63883,237327
FRANCE,$100m or more,VIC,Large,3,0%,,0,0,1,0,1,0,0,1,3,,0,0,3685326,0,2949390,0,0,279344,6914060
FRANCE,$50m and less than $100m,VIC,Large,2,0%,,0,0,0,0,1,0,0,0,1,,0,0,0,0,1841998,0,0,0,1841998
FRANCE,$10m and less than $50m,VIC,Large,8,0%,,0,0,2,0,3,1,0,2,8,,0,0,11302580,0,9045528,450415,0,856724,21655247
FRANCE,$1m and less than $10m,VIC,Large,37,2%,,1,0,9,1,13,3,2,8,37,,4874392,0,54033182,219342,43243108,2153255,2649563,4095659,111268501
FRANCE,"$875,000 and less than $1m",VIC,Large,4,0%,,0,0,1,0,2,0,0,1,4,,0,0,6000642,0,4802353,0,0,454842,11257838
FRANCE,"$750,000 and less than $875,000",VIC,Medium,4,0%,,0,0,1,0,2,1,0,1,5,,0,0,21676,0,49231,9762,0,16964,97634
FRANCE,"$500,000 and less than $750,000",VIC,Medium,14,1%,,0,0,4,1,6,2,1,3,17,,0,0,75966,4636,172535,34213,29300,59450,376100
FRANCE,"$250,000 and less than $500,000",VIC,Medium,31,2%,,1,0,8,1,12,3,1,6,32,,75180,0,162424,9912,368899,73150,62646,127112,879323
FRANCE,"$100,000 and less than $250,000",VIC,Medium,52,3%,,1,0,14,2,21,5,2,9,54,,129285,0,279318,17046,634389,125795,107731,218592,1512157
FRANCE,"$55,000 and less than $100,000",VIC,Medium,88,6%,,2,0,23,3,35,9,3,16,91,,217751,0,470446,28711,1068480,211873,181447,368167,2546875
FRANCE,"$10,000 and less than $55,000",VIC,Small,88,6%,,2,0,18,3,32,11,3,21,90,,13427,0,30628,3992,98588,29628,12226,43504,231994
FRANCE,"Less than $10,000",VIC,Small,153,10%,,3,0,31,4,55,20,4,36,153,,23216,0,52960,6903,170470,51231,21141,75224,401145
FRANCE,$100m or more,QLD,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$50m and less than $100m,QLD,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$10m and less than $50m,QLD,Large,4,0%,,0,0,1,0,1,0,0,1,3,,0,0,3062891,0,2022132,0,0,244391,5329414
FRANCE,$1m and less than $10m,QLD,Large,21,1%,,0,1,5,1,6,2,1,5,21,,0,93264753,14642476,103788,9667017,280069,172620,1168337,119299059
FRANCE,"$875,000 and less than $1m",QLD,Large,2,0%,,0,0,1,0,1,0,0,1,3,,0,0,1626117,0,1073568,0,0,129749,2829434
FRANCE,"$750,000 and less than $875,000",QLD,Medium,2,0%,,0,0,1,0,1,0,0,1,3,,0,0,5874,0,11006,0,0,4839,21719
FRANCE,"$500,000 and less than $750,000",QLD,Medium,8,1%,,0,0,2,1,2,1,0,2,8,,0,0,20586,2194,38570,4450,0,16959,82759
FRANCE,"$250,000 and less than $500,000",QLD,Medium,17,1%,,0,0,4,1,5,2,1,4,17,,0,0,44015,4690,82468,9515,4081,36260,181029
FRANCE,"$100,000 and less than $250,000",QLD,Medium,29,2%,,1,0,8,2,9,4,1,6,31,,27782,0,75693,8066,141818,16362,7019,62356,339095
FRANCE,"$55,000 and less than $100,000",QLD,Medium,50,3%,,1,1,13,3,15,6,2,10,51,,46792,22165,127486,13585,238859,27558,11821,105024,593292
FRANCE,"$10,000 and less than $55,000",QLD,Small,50,3%,,1,1,10,3,13,8,1,14,51,,2885,1685,8300,1889,22039,3854,797,12410,53859
FRANCE,"Less than $10,000",QLD,Small,86,5%,,2,1,17,5,23,13,2,24,87,,4989,2914,14352,3266,38109,6663,1377,21459,93129
FRANCE,$100m or more,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$50m and less than $100m,SA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$10m and less than $50m,SA,Large,1,0%,,0,0,1,0,1,0,0,0,2,,0,0,11177407,0,8492532,0,0,0,19669939
FRANCE,$1m and less than $10m,SA,Large,7,0%,,0,0,2,0,2,0,0,1,5,,0,0,53434780,0,40599450,0,0,2373206,96407436
FRANCE,"$875,000 and less than $1m",SA,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$750,000 and less than $875,000",SA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$500,000 and less than $750,000",SA,Medium,3,0%,,0,0,1,0,1,0,0,1,3,,0,0,75125,0,161987,0,0,34448,271560
FRANCE,"$250,000 and less than $500,000",SA,Medium,6,0%,,0,0,2,0,2,0,0,1,5,,0,0,160625,0,346346,0,0,73654,580626
FRANCE,"$100,000 and less than $250,000",SA,Medium,10,1%,,1,0,4,0,3,1,0,2,11,,80531,0,276225,0,595606,35601,0,126662,1114624
FRANCE,"$55,000 and less than $100,000",SA,Medium,17,1%,,1,0,6,1,5,1,1,3,18,,135636,0,465236,26363,1003159,59961,72195,213332,1975882
FRANCE,"$10,000 and less than $55,000",SA,Small,17,1%,,1,0,5,1,5,2,0,4,18,,8363,0,30289,3666,92561,8385,0,25208,168472
FRANCE,"Less than $10,000",SA,Small,29,2%,,2,0,8,1,8,3,1,6,29,,14461,0,52373,6339,160048,14499,8412,43588,299720
FRANCE,$100m or more,WA,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$50m and less than $100m,WA,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$10m and less than $50m,WA,Large,2,0%,,0,0,1,0,1,0,0,1,3,,0,0,5396133,0,1537144,0,0,72924,7006201
FRANCE,$1m and less than $10m,WA,Large,12,1%,,0,2,3,1,3,1,1,3,14,,0,86371306,25796786,58562,7348479,77280,92913,348622,120093948
FRANCE,"$875,000 and less than $1m",WA,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$750,000 and less than $875,000",WA,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$500,000 and less than $750,000",WA,Medium,5,0%,,0,0,1,0,1,1,0,1,4,,0,0,36268,0,29320,1228,0,5060,71876
FRANCE,"$250,000 and less than $500,000",WA,Medium,10,1%,,0,0,2,1,3,1,0,2,9,,0,0,77545,2647,62689,2625,0,10820,156325
FRANCE,"$100,000 and less than $250,000",WA,Medium,17,1%,,1,1,4,1,4,2,1,4,18,,11155,12187,133353,4551,107804,4515,3778,18606,295950
FRANCE,"$55,000 and less than $100,000",WA,Medium,28,2%,,1,1,7,2,7,3,1,6,28,,18788,20527,224603,7665,181571,7604,6363,31338,498459
FRANCE,"$10,000 and less than $55,000",WA,Small,28,2%,,1,1,5,2,7,4,1,8,29,,1158,1561,14623,1066,16753,1063,429,3703,40356
FRANCE,"Less than $10,000",WA,Small,48,3%,,2,2,9,3,11,6,2,14,49,,2003,2699,25284,1843,28969,1839,741,6403,69781
FRANCE,$100m or more,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$50m and less than $100m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$10m and less than $50m,TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$1m and less than $10m,TAS,Large,1,0%,,0,0,1,0,0,0,0,0,1,,0,0,60046982,0,0,0,0,0,60046982
FRANCE,"$875,000 and less than $1m",TAS,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$750,000 and less than $875,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$500,000 and less than $750,000",TAS,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$250,000 and less than $500,000",TAS,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$100,000 and less than $250,000",TAS,Medium,2,0%,,0,0,1,0,0,0,0,0,1,,0,0,310406,0,0,0,0,0,310406
FRANCE,"$55,000 and less than $100,000",TAS,Medium,3,0%,,1,0,1,0,1,0,0,1,4,,385234,0,522806,0,216008,0,0,0,1124047
FRANCE,"$10,000 and less than $55,000",TAS,Small,3,0%,,1,0,1,0,1,0,0,1,4,,23754,0,34037,0,19931,0,0,0,77721
FRANCE,"Less than $10,000",TAS,Small,5,0%,,1,0,2,0,1,1,0,1,6,,41073,0,58854,0,34463,12655,0,0,147044
FRANCE,$100m or more,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$50m and less than $100m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$10m and less than $50m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$1m and less than $10m,NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$875,000 and less than $1m",NT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$750,000 and less than $875,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$500,000 and less than $750,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$250,000 and less than $500,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$100,000 and less than $250,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$55,000 and less than $100,000",NT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$10,000 and less than $55,000",NT,Small,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"Less than $10,000",NT,Small,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$100m or more,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$50m and less than $100m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$10m and less than $50m,ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,$1m and less than $10m,ACT,Large,1,0%,,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,7798700,7798700
FRANCE,"$875,000 and less than $1m",ACT,Large,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$750,000 and less than $875,000",ACT,Medium,0,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$500,000 and less than $750,000",ACT,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$250,000 and less than $500,000",ACT,Medium,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRANCE,"$100,000 and less than $250,000",ACT,Medium,2,0%,,0,0,0,0,1,0,0,1,2,,0,0,0,0,698929,0,0,416229,1115158
FRANCE,"$55,000 and less than $100,000",ACT,Medium,3,0%,,0,0,1,0,1,1,0,1,4,,0,0,326809,0,1177182,477503,0,701040,2682535
FRANCE,"$10,000 and less than $55,000",ACT,Small,3,0%,,0,0,0,0,1,1,0,2,4,,0,0,0,0,108618,66774,0,82838,258230
FRANCE,"Less than $10,000",ACT,Small,6,0%,,0,0,1,0,1,1,0,3,6,,0,0,36790,0,187813,115460,0,143237,483300
FRENCH POLYNESIA,$100m or more,NSW,Large,1,0%,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,$50m and less than $100m,NSW,Large,0,0.001119349,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,$10m and less than $50m,NSW,Large,2,0.005496805,,0,0,1,0,1,0,0,1,3,,0,0,1193949,0,764486,0,0,114879,2073313
FRENCH POLYNESIA,$1m and less than $10m,NSW,Large,10,0.02627806,,0,0,2,0,4,1,1,2,10,,0,0,5707798,0,3654705,125994,316559,549190,10354245
FRENCH POLYNESIA,"$875,000 and less than $1m",NSW,Large,1,0.002918304,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,"$750,000 and less than $875,000",NSW,Medium,1,0.002918304,,0,0,0,0,1,0,0,0,1,,0,0,0,0,4161,0,0,0,4161
FRENCH POLYNESIA,"$500,000 and less than $750,000",NSW,Medium,4,0.010227389,,0,0,1,0,2,1,0,1,5,,0,0,8025,0,14582,2002,0,7972,32580
FRENCH POLYNESIA,"$250,000 and less than $500,000",NSW,Medium,8,0.02186729,,0,0,2,0,3,1,0,2,8,,0,0,17158,0,31178,4280,0,17044,69660
FRENCH POLYNESIA,"$100,000 and less than $250,000",NSW,Medium,15,0.03760481,,0,0,3,1,6,2,1,3,16,,0,0,29506,2192,53616,7361,12871,29311,134857
FRENCH POLYNESIA,"$55,000 and less than $100,000",NSW,Medium,25,0.063336521,,0,0,6,1,9,3,1,5,25,,0,0,49696,3692,90303,12397,21679,49368,227135
FRENCH POLYNESIA,"$10,000 and less than $55,000",NSW,Small,25,0.063336521,,1,0,4,1,9,4,1,7,27,,414,0,3235,513,8332,1734,1461,5834,21523
FRENCH POLYNESIA,"Less than $10,000",NSW,Small,42,0.109516346,,1,0,7,1,15,6,2,11,43,,716,0,5594,888,14407,2998,2526,10087,37215
FRENCH POLYNESIA,$100m or more,VIC,Large,1,0.001581573,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,$50m and less than $100m,VIC,Large,0,0.000987748,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
FRENCH POLYNESIA,$10m and less than $50m,VIC,Large,2,0.004850549,,0,0,1,0,1,0,0,0,2,,0,0,1784618,0,1428241,0,0,0,3212859
